participant's id,list,number,trial_num,image,ans,agens,patiens,age,cond,agens_gender,patiens_gender,agens_num,patiens_num,patiens_animacy,practice,translation,transcription,reaction time,fluency,sentence type,word order,comments,
К01,1,1,0,cut_apple.png,tr1.wav,"(0.0,0.0)","(0.0,0.0)",n,0,n,n,0,0,0,1,Бабушка режет яблоко,--,-,-,-,-,,
К01,1,2,0,drag-2-2-e.png,tr2.wav,"(0.0,0.0)","(0.0,0.0)",n,0,n,n,0,0,0,1,Две девочки везут двух мальчиков,--,-,-,-,-,,
К01,1,3,0,dogs_bite.png,tr3.wav,"(0.0,0.0)","(0.0,0.0)",n,0,n,n,0,0,0,1,Собаки кусают мужчину,--,-,-,-,-,,
К01,1,4,1,call-1-1-r.png,call-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",old,0,f,m,1,1,1,0,Бабушка зовёт дедушку,Чачамйак  кэйн'ив'н'ынын  ынпыӄлавол ,1353,yes,direct,AVP,,
К01,1,5,2,break-2-2-r.png,break-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",child,1,m,n,2,2,0,0,Два мальчика ломают два домика,"К'айыкмин'ыйык  накончимав'н'ынат  яя,пиляк'ат",1288,yes,inverse,AVP,,
К01,1,6,3,feed-1-2-l.png,feed-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",old,0,m,f,1,2,1,0,Дедушка кормит двух бабушек,Ынпыӄлавола  купайг'нынын'  чачамйыт,1340,yes,direct,AVP,,
К01,1,7,4,eat-2-1-l.png,eat-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,1,f,n,2,1,0,0,Две женщины едят одно яблоко,"Навыткатпэляк'ыйык нэкув,итэйнын яблокан",1678,yes,inverse,AVP,,
К01,1,8,5,wake-2-2-r.png,wake-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,1,f,m,2,2,1,0,Две женщины будят двух мужчин,"Эльг'айык  нэкуг'эйнев,ныт  к'лавыт",2861,yes,inverse,AVP,,
К01,1,9,6,pick-1-1-r.png,pick-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",child,0,m,n,1,1,0,0,Мальчик срывает цветок,К'айыкмин'а  купыйг'ын'нын мэчг'а,2056,yes,direct,AVP,,
К01,1,10,7,makelaugh-2-1-l.png,makelaugh-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",old,1,f,m,2,1,1,0,Две бабушки смешат дедушку,Чачамйык  наконачачгав'нынын  ынпыӄлавол,3515,yes,inverse,AVP,,
К01,1,11,8,carry-1-2-l.png,carry-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,0,f,n,1,2,0,0,Женщина несёт два ведра,Эльг'ата  кунн'ин'ныв'  н'ыччек вед[рата],2097,yes,direct,AVP,,
