id,list,number,trial_num,image,age,cond,agens_gender,patiens_gender,agens_num,patiens_num,comb,patiens_animacy,freq,translation,transcription,fluency,sentence_type,vf_acc,verb_number,vn_acc,patient_number,pn_acc,reaction time,word order,comments
K01,1,4,1,call-1-1-r.png,old,0,f,m,1,1,1 1,1,0.45,Бабушка зовёт дедушку,Чачамйак  кэйн'ив'н'ынын  ынпыӄлавол ,1,direct,1,1,1,1,1,1353,AVP,
K01,1,5,2,break-2-2-r.png,child,1,m,n,2,2,2 2,0,0.45,Два мальчика ломают два домика,"К'айыкмин'ыйык  накончимав'н'ынат  яя,пиляк'ат",1,inverse,1,2,1,2,1,1288,AVP,
K01,1,6,3,feed-1-2-l.png,old,0,m,f,1,2,1 2,1,0.45,Дедушка кормит двух бабушек,Ынпыӄлавола  купайг'нынын'  чачамйыт,1,direct,1,1,1,2,1,1340,AVP,
K01,1,7,4,eat-2-1-l.png,adult,1,f,n,2,1,2 1,0,0.45,Две женщины едят одно яблоко,"Навыткатпэляк'ыйык нэкув,итэйнын яблокан",1,inverse,1,1,1,1,1,1678,AVP,
K01,1,8,5,wake-2-2-r.png,adult,1,f,m,2,2,2 2,1,0.45,Две женщины будят двух мужчин,"Эльг'айык  нэкуг'эйнев,ныт  к'лавыт",1,inverse,1,2,1,2,1,2861,AVP,
K01,1,9,6,pick-1-1-r.png,child,0,m,n,1,1,1 1,0,0.45,Мальчик срывает цветок,К'айыкмин'а  купыйг'ын'нын мэчг'а,1,direct,1,1,1,1,1,2056,AVP,
K01,1,10,7,makelaugh-2-1-l.png,old,1,f,m,2,1,2 1,1,0.45,Две бабушки смешат дедушку,Чачамйык  наконачачгав'нынын  ынпыӄлавол,1,inverse,1,1,1,1,1,3515,AVP,
K01,1,11,8,carry-1-2-l.png,adult,0,f,n,1,2,1 2,0,0.45,Женщина несёт два ведра,Эльг'ата  кунн'ин'ныв'  н'ыччек вед[рата],1,direct,1,3,0,2,1,2097,AVP,
K01,1,12,9,teach-1-1-r.png,adult,0,f,m,1,1,1 1,1,0.45,Женщина учит мужчину,Эльг'ата  кунгыев'н'нын к'лавол,1,direct,1,1,1,1,1,3168,AVP,
K01,1,13,10,open-2-2-r.png,old,1,m,n,2,2,2 2,0,0.45,Двое дедушек открывают две двери,Ынпыӄлаволаийк  нэкунв'эн'эныт  тыллыт,1,inverse,1,2,1,2,1,1752,AVP,
