participant,asc_file,block,trial_index,trial_num,image,rt_ms,n_fixations,pre_fixations,post_fixations,unknown_phase_fixations,agent_fixations,patient_fixations,other_fixations,sentence_type,word_order,fluency,trial_svg
K01,k01.asc,4,4,1,call-1-1-r.png,1353,12,4,8,0,7,5,0,direct,AVP,yes,participant_trials/k01/b004_t4_call-1-1-r.svg
K01,k01.asc,5,5,2,break-2-2-r.png,1288,12,4,8,0,4,8,0,inverse,AVP,yes,participant_trials/k01/b005_t5_break-2-2-r.svg
K01,k01.asc,6,6,3,feed-1-2-l.png,1340,12,4,8,0,9,3,0,direct,AVP,yes,participant_trials/k01/b006_t6_feed-1-2-l.svg
K01,k01.asc,7,7,4,eat-2-1-l.png,1678,14,6,8,0,11,2,1,inverse,AVP,yes,participant_trials/k01/b007_t7_eat-2-1-l.svg
K01,k01.asc,8,8,5,wake-2-2-r.png,2861,21,11,10,0,11,10,0,inverse,AVP,yes,participant_trials/k01/b008_t8_wake-2-2-r.svg
K01,k01.asc,10,10,6,pick-1-1-r.png,2056,11,7,4,0,6,5,0,direct,AVP,yes,participant_trials/k01/b010_t10_pick-1-1-r.svg
K01,k01.asc,11,11,7,makelaugh-2-1-l.png,3515,21,13,8,0,6,15,0,inverse,AVP,yes,participant_trials/k01/b011_t11_makelaugh-2-1-l.svg
K01,k01.asc,12,12,8,carry-1-2-l.png,2097,11,5,6,0,8,3,0,direct,AVP,yes,participant_trials/k01/b012_t12_carry-1-2-l.svg
K01,k01.asc,13,13,9,teach-1-1-r.png,3168,15,9,6,0,9,6,0,direct,AVP,yes,participant_trials/k01/b013_t13_teach-1-1-r.svg
K01,k01.asc,14,14,10,open-2-2-r.png,1752,13,6,7,0,8,5,0,inverse,AVP,yes,participant_trials/k01/b014_t14_open-2-2-r.svg
K01,k01.asc,15,15,11,dress-1-2-l.png,1623,12,5,7,0,9,3,0,direct,AVP,yes,participant_trials/k01/b015_t15_dress-1-2-l.svg
K01,k01.asc,16,16,12,throw-2-1-l.png,1420,11,6,5,0,9,2,0,inverse,AVP,yes,participant_trials/k01/b016_t16_throw-2-1-l.svg
