ppt_id,item ,cond,rep,type,wo,sol,ppt.no
ATL_a3,1,none,ok,act,APV,1792,1
ATL_a3,2,A,ok,act,APV,1900,1
ATL_a3,3,P,ok,act,APV,2830,1
ATL_a3,4,none,ok,act,APV,1912,1
ATL_a3,5,A,ok,act,APV,1505,1
ATL_a3,6,P,ok,act,APV,3120,1
ATL_a3,7,none,ok,act,APV,1531,1
ATL_a3,8,A,ok,NA,NA,1825,1
ATL_a3,9,P,ok,act,APV,2242,1
ATL_a3,10,none,ok,act,APV,1641,1
ATL_a3,11,A,ok,NA,NA,1725,1
ATL_a3,12,P,ok,act,APV,4312,1
ATL_a3,13,none,ok,act,APV,3214,1
ATL_a3,14,A,ok,act,APV,2474,1
ATL_a3,15,P,ok,pass,PAV,1738,1
ATL_a3,16,none,ok,act,APV,3504,1
ATL_a3,17,A,ok,act,APV,1919,1
ATL_a3,18,P,ok,pass,PAV,2200,1
ATL_a3,19,none,ok,act,APV,2160,1
ATL_a3,20,A,ok,act,APV,2397,1
ATL_a3,21,P,ok,pass,PAV,2250,1
ATL_a3,22,none,ok,act,APV,2340,1
ATL_a3,23,A,ok,pass,PAV,2696,1
ATL_a3,24,P,ok,pass,PAV,3716,1
ATL_b2,1,P,ok,pass,PAV,2418,1
ATL_b2,2,none,ok,act,APV,2614,1
ATL_b2,3,A,ok,act,APV,2649,1
ATL_b2,4,P,ok,act,APV,3088,1
ATL_b2,5,none,ok,act,APV,3730,1
ATL_b2,6,A,ok,act,APV,2247,1
ATL_b2,7,P,ok,act,APV,2061,1
ATL_b2,8,none,ok,NA,NA,2683,1
ATL_b2,9,A,NA,NA,NA,7000,1
ATL_b2,10,P,ok,pass,PAV,2084,1
ATL_b2,11,none,ok,NA,NA,3114,1
ATL_b2,12,A,ok,act,APV,3225,1
ATL_b2,13,P,ok,act,APV,4230,1
ATL_b2,14,none,ok,act,APV,1934,1
ATL_b2,15,A,ok,act,APV,2081,1
ATL_b2,16,P,ok,act,APV,2842,1
ATL_b2,17,none,ok,act,APV,1500,1
ATL_b2,18,A,ok,act,APV,1835,1
