type,time_ms,n_trial_bins
act,0,414
act,50,414
act,100,414
act,150,414
act,200,414
act,250,414
act,300,414
act,350,414
act,400,414
act,450,414
act,500,414
act,550,414
act,600,414
act,650,414
act,700,414
act,750,414
act,800,414
act,850,414
act,900,413
act,950,412
act,1000,411
act,1050,409
act,1100,408
act,1150,405
act,1200,402
act,1250,399
act,1300,395
act,1350,389
act,1400,385
act,1450,380
act,1500,376
act,1550,368
act,1600,365
act,1650,355
act,1700,348
act,1750,332
act,1800,321
act,1850,315
act,1900,306
act,1950,290
act,2000,279
act,2050,267
act,2100,260
act,2150,252
act,2200,242
act,2250,230
act,2300,220
act,2350,212
act,2400,203
act,2450,193
act,2500,182
act,2550,177
act,2600,171
act,2650,158
act,2700,152
act,2750,142
act,2800,136
act,2850,130
act,2900,122
act,2950,115
act,3000,109
act,3050,106
act,3100,100
act,3150,95
act,3200,94
act,3250,89
act,3300,88
act,3350,84
act,3400,79
act,3450,74
pass,0,168
pass,50,168
pass,100,168
pass,150,168
pass,200,168
pass,250,168
pass,300,168
pass,350,168
pass,400,168
pass,450,168
pass,500,168
pass,550,168
pass,600,168
pass,650,168
pass,700,168
pass,750,168
pass,800,168
pass,850,168
pass,900,168
pass,950,168
pass,1000,168
pass,1050,167
pass,1100,164
pass,1150,164
pass,1200,161
pass,1250,157
pass,1300,150
pass,1350,149
pass,1400,147
pass,1450,141
pass,1500,136
pass,1550,132
pass,1600,129
pass,1650,127
pass,1700,124
pass,1750,119
pass,1800,114
pass,1850,111
pass,1900,107
pass,1950,105
pass,2000,102
pass,2050,98
pass,2100,90
pass,2150,85
pass,2200,83
pass,2250,79
pass,2300,75
pass,2350,72
pass,2400,71
pass,2450,66
pass,2500,65
pass,2550,64
pass,2600,62
pass,2650,60
pass,2700,56
pass,2750,52
pass,2800,49
pass,2850,46
pass,2900,43
pass,2950,41
pass,3000,40
pass,3050,38
pass,3100,38
pass,3150,33
pass,3200,33
pass,3250,31
pass,3300,31
pass,3350,28
pass,3400,27
pass,3450,26
