type,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act,agent,0,0.389227,0.473782,414,0.342657,0.435797
act,agent,50,0.388309,0.475993,414,0.341522,0.435097
act,agent,100,0.385942,0.479128,414,0.338846,0.433038
act,agent,150,0.398116,0.465093,414,0.352400,0.443832
act,agent,200,0.451353,0.454660,414,0.406662,0.496043
act,agent,250,0.461787,0.474282,414,0.415168,0.508407
act,agent,300,0.487101,0.477513,414,0.440165,0.534038
act,agent,350,0.496763,0.482909,414,0.449296,0.544231
act,agent,400,0.507440,0.481918,414,0.460070,0.554810
act,agent,450,0.522077,0.485228,414,0.474382,0.569773
act,agent,500,0.517198,0.488766,414,0.469155,0.565241
act,agent,550,0.529903,0.484644,414,0.482265,0.577541
act,agent,600,0.549758,0.484998,414,0.502086,0.597431
act,agent,650,0.583140,0.479593,414,0.535999,0.630282
act,agent,700,0.589420,0.480401,414,0.542199,0.636641
act,agent,750,0.621014,0.471683,414,0.574651,0.667378
act,agent,800,0.621353,0.476704,414,0.574495,0.668210
act,agent,850,0.625507,0.466373,414,0.579665,0.671349
act,agent,900,0.621643,0.470049,414,0.575439,0.667846
act,agent,950,0.605845,0.470241,414,0.559623,0.652068
act,agent,1000,0.592512,0.478459,414,0.545482,0.639542
act,agent,1050,0.591063,0.476578,414,0.544218,0.637908
act,agent,1100,0.601401,0.476001,414,0.554613,0.648189
act,agent,1150,0.604783,0.474789,414,0.558113,0.651452
act,agent,1200,0.580676,0.475601,414,0.533927,0.627425
act,agent,1250,0.558019,0.485861,414,0.510262,0.605777
act,agent,1300,0.543140,0.490509,414,0.494926,0.591355
act,agent,1350,0.543671,0.480839,414,0.496408,0.590935
act,agent,1400,0.540338,0.488715,414,0.492300,0.588376
act,agent,1450,0.530000,0.482204,414,0.482602,0.577398
act,agent,1500,0.535749,0.483337,414,0.488239,0.583258
act,agent,1550,0.541643,0.485839,414,0.493887,0.589398
act,agent,1600,0.524155,0.485655,414,0.476417,0.571892
act,agent,1650,0.515411,0.484296,414,0.467807,0.563014
act,agent,1700,0.505700,0.488485,414,0.457685,0.553716
act,agent,1750,0.496763,0.485000,414,0.449090,0.544436
act,agent,1800,0.501304,0.491435,414,0.452999,0.549610
act,agent,1850,0.494589,0.487062,414,0.446714,0.542465
act,agent,1900,0.495217,0.489470,414,0.447105,0.543330
act,agent,1950,0.493333,0.484207,414,0.445738,0.540928
act,agent,2000,0.477923,0.486558,414,0.430097,0.525749
act,agent,2050,0.459130,0.486710,414,0.411289,0.506971
act,agent,2100,0.440193,0.487822,414,0.392243,0.488143
act,agent,2150,0.444251,0.484492,414,0.396628,0.491874
act,agent,2200,0.460000,0.483186,414,0.412505,0.507495
act,agent,2250,0.444396,0.489078,414,0.396322,0.492470
act,agent,2300,0.442222,0.486962,414,0.394356,0.490088
act,agent,2350,0.436957,0.483143,414,0.389466,0.484447
act,agent,2400,0.442512,0.486867,414,0.394656,0.490369
act,agent,2450,0.421546,0.481170,414,0.374249,0.468842
act,agent,2500,0.403913,0.480271,414,0.356705,0.451121
act,agent,2550,0.385845,0.475273,414,0.339129,0.432562
act,agent,2600,0.376377,0.473501,414,0.329834,0.422919
act,agent,2650,0.365797,0.469994,414,0.319599,0.411995
act,agent,2700,0.362367,0.472675,414,0.315906,0.408829
act,agent,2750,0.354638,0.468812,414,0.308556,0.400719
act,agent,2800,0.359275,0.469224,414,0.313153,0.405398
act,agent,2850,0.355749,0.466357,414,0.309908,0.401589
act,agent,2900,0.342657,0.467007,414,0.296753,0.388561
act,agent,2950,0.325604,0.457111,414,0.280672,0.370535
act,agent,3000,0.319227,0.456392,414,0.274366,0.364088
act,agent,3050,0.322657,0.454528,414,0.277979,0.367335
act,agent,3100,0.329565,0.460223,414,0.284328,0.374803
act,agent,3150,0.333382,0.461474,414,0.288021,0.378742
act,agent,3200,0.327729,0.459063,414,0.282606,0.372853
act,agent,3250,0.349517,0.467148,414,0.303599,0.395435
act,agent,3300,0.345024,0.463219,414,0.299492,0.390556
act,agent,3350,0.352512,0.469288,414,0.306384,0.398641
act,agent,3400,0.357101,0.469827,414,0.310920,0.403283
act,agent,3450,0.348164,0.467362,414,0.302225,0.394103
act,patient,0,0.399517,0.476380,414,0.352691,0.446343
act,patient,50,0.405024,0.476543,414,0.358183,0.451866
act,patient,100,0.414783,0.484531,414,0.367156,0.462409
act,patient,150,0.428744,0.473057,414,0.382245,0.475243
act,patient,200,0.438599,0.456668,414,0.393711,0.483487
act,patient,250,0.472174,0.477985,414,0.425191,0.519157
act,patient,300,0.461498,0.476391,414,0.414671,0.508324
act,patient,350,0.454106,0.481294,414,0.406798,0.501415
act,patient,400,0.438309,0.477988,414,0.391326,0.485293
act,patient,450,0.418647,0.476507,414,0.371809,0.465485
act,patient,500,0.419324,0.482483,414,0.371898,0.466749
act,patient,550,0.400097,0.472375,414,0.353665,0.446529
act,patient,600,0.375652,0.472244,414,0.329233,0.422071
act,patient,650,0.347101,0.460109,414,0.301875,0.392328
act,patient,700,0.340918,0.462190,414,0.295487,0.386349
act,patient,750,0.313961,0.450879,414,0.269642,0.358280
act,patient,800,0.303961,0.450555,414,0.259674,0.348249
act,patient,850,0.282512,0.436148,414,0.239641,0.325383
act,patient,900,0.266184,0.425728,414,0.224337,0.308030
act,patient,950,0.265652,0.428134,414,0.223569,0.307735
act,patient,1000,0.274783,0.434386,414,0.232085,0.317480
act,patient,1050,0.286812,0.438482,414,0.243711,0.329912
act,patient,1100,0.275894,0.433375,414,0.233295,0.318492
act,patient,1150,0.274686,0.433550,414,0.232070,0.317302
act,patient,1200,0.297826,0.441672,414,0.254412,0.341240
act,patient,1250,0.323285,0.456126,414,0.278450,0.368120
act,patient,1300,0.334493,0.465311,414,0.288755,0.380230
act,patient,1350,0.343043,0.460078,414,0.297820,0.388267
act,patient,1400,0.344058,0.465238,414,0.298328,0.389788
act,patient,1450,0.349903,0.459274,414,0.304759,0.395048
act,patient,1500,0.348309,0.462530,414,0.302845,0.393773
act,patient,1550,0.340242,0.460680,414,0.294959,0.385524
act,patient,1600,0.358116,0.463570,414,0.312549,0.403682
act,patient,1650,0.364589,0.469305,414,0.318459,0.410720
act,patient,1700,0.369855,0.471568,414,0.323502,0.416208
act,patient,1750,0.364493,0.470318,414,0.318263,0.410723
act,patient,1800,0.357101,0.467355,414,0.311163,0.403040
act,patient,1850,0.361884,0.471863,414,0.315502,0.408266
act,patient,1900,0.374976,0.473569,414,0.328427,0.421525
act,patient,1950,0.390386,0.470258,414,0.344163,0.436610
act,patient,2000,0.394300,0.471914,414,0.347913,0.440686
act,patient,2050,0.399903,0.479320,414,0.352789,0.447018
act,patient,2100,0.413768,0.481721,414,0.366418,0.461119
act,patient,2150,0.420966,0.479381,414,0.373846,0.468087
act,patient,2200,0.420048,0.473772,414,0.373479,0.466618
act,patient,2250,0.421111,0.485022,414,0.373436,0.468786
act,patient,2300,0.407729,0.478462,414,0.360699,0.454760
act,patient,2350,0.412415,0.475153,414,0.365711,0.459120
act,patient,2400,0.398841,0.478513,414,0.351805,0.445876
act,patient,2450,0.406812,0.479634,414,0.359666,0.453957
act,patient,2500,0.423043,0.482415,414,0.375625,0.470462
act,patient,2550,0.435362,0.485164,414,0.387673,0.483051
act,patient,2600,0.461546,0.484314,414,0.413940,0.509151
act,patient,2650,0.456570,0.485356,414,0.408862,0.504278
act,patient,2700,0.453913,0.488993,414,0.405848,0.501978
act,patient,2750,0.458696,0.482868,414,0.411232,0.506159
act,patient,2800,0.445217,0.484017,414,0.397641,0.492794
act,patient,2850,0.445121,0.481522,414,0.397790,0.492452
act,patient,2900,0.466763,0.487882,414,0.418807,0.514719
act,patient,2950,0.485024,0.484694,414,0.437381,0.532667
act,patient,3000,0.501063,0.487097,414,0.453184,0.548942
act,patient,3050,0.495556,0.486184,414,0.447766,0.543345
act,patient,3100,0.506329,0.486284,414,0.458529,0.554128
act,patient,3150,0.498889,0.484942,414,0.451222,0.546556
act,patient,3200,0.479324,0.489913,414,0.431168,0.527480
act,patient,3250,0.475507,0.488231,414,0.427517,0.523498
act,patient,3300,0.493333,0.487248,414,0.445440,0.541227
act,patient,3350,0.494300,0.490531,414,0.446083,0.542516
act,patient,3400,0.500435,0.488564,414,0.452412,0.548458
act,patient,3450,0.504831,0.492672,414,0.456404,0.553258
pass,agent,0,0.420238,0.482841,168,0.345734,0.494742
pass,agent,50,0.443333,0.487740,168,0.368073,0.518593
pass,agent,100,0.479643,0.497387,168,0.402894,0.556391
pass,agent,150,0.466548,0.469860,168,0.394047,0.539049
pass,agent,200,0.459643,0.454378,168,0.389531,0.529755
pass,agent,250,0.450119,0.473059,168,0.377125,0.523114
pass,agent,300,0.447976,0.487654,168,0.372730,0.523223
pass,agent,350,0.450476,0.479321,168,0.376515,0.524437
pass,agent,400,0.456429,0.480829,168,0.382235,0.530622
pass,agent,450,0.469405,0.486936,168,0.394269,0.544541
pass,agent,500,0.508214,0.490779,168,0.432485,0.583943
pass,agent,550,0.533929,0.484261,168,0.459205,0.608652
pass,agent,600,0.537024,0.489402,168,0.461507,0.612540
pass,agent,650,0.566310,0.485232,168,0.491437,0.641182
