person,absolute_intercept_median,absolute_intercept_lower,absolute_intercept_upper,absolute_active_voice_half_difference_median,half_difference_lower,half_difference_upper,active_minus_passive_logit_median,active_minus_passive_lower,active_minus_passive_upper,p_active_minus_passive_gt_0,ppt_ids,n_trials_act,n_trials_pass,n_trials_total
1,0.9881810303215535,0.5559076142240819,1.4513957938908857,0.4035578175931295,0.19001641041746795,0.6205372053867574,0.807115635186259,0.3800328208349359,1.2410744107735148,1,ATL_a3;ATL_b2,35,8,43
2,0.5903029467589365,0.04783388472764349,1.1622349394166716,0.1616743185809095,-0.1413728790606589,0.46934217477794266,0.323348637161819,-0.2827457581213178,0.9386843495558853,0.8585,GVD_a2;GVD_b3,12,9,21
3,-0.1791519935588543,-0.5709608120684682,0.22653625183177403,0.052330177709817655,-0.106994978485073,0.2165261926910434,0.10466035541963531,-0.213989956970146,0.4330523853820868,0.73425,IEM_a1;IEM_a2;IEM_b3,42,15,57
4,1.3026857701160814,0.9090209674678886,1.732386172661198,-0.4861723680800731,-0.6868476741217071,-0.2933584292697595,-0.9723447361601462,-1.3736953482434142,-0.586716858539519,0,IMI_a3;IMI_b1;IMI_b2,52,15,67
5,0.18844552888199403,-0.3376745000851963,0.7088902795957218,-0.16387509176954126,-0.4184704250461354,0.08747703975082065,-0.32775018353908253,-0.8369408500922708,0.1749540795016413,0.10525,KSM_a1;KSM_b2,13,6,19
6,0.283561504688601,-0.15037265518809512,0.7319118033627353,0.009162307458038366,-0.18497601263035368,0.20656398647733293,0.01832461491607673,-0.36995202526070736,0.41312797295466586,0.54025,PRM_a1;PRM_b3,23,18,41
7,0.7965992717594645,0.39576167112103894,1.2136719421162454,0.025722605594923273,-0.13935572010945313,0.1880640289498931,0.051445211189846546,-0.27871144021890626,0.3761280578997862,0.62075,RAI_a3;RAI_b1;RAI_b2,42,27,69
8,0.137826176250606,-0.22624551815872443,0.5092135789594215,-0.10926912087058094,-0.2706931251821749,0.04771436744238769,-0.21853824174116188,-0.5413862503643498,0.09542873488477538,0.0885,REI_a2;REI_b1;REI_b3,35,12,47
9,0.5294400178545519,0.10771566512354791,0.9578195642073218,-0.15620783523611736,-0.3587165797188851,0.04732247770310781,-0.31241567047223473,-0.7174331594377702,0.09464495540621562,0.0685,RLI__b3;RLI_a1;RLI_b2,50,14,64
10,0.6366828362738105,0.13506566495418848,1.1447443139684403,-0.2914805809161267,-0.5382539702558585,-0.04387331493590134,-0.5829611618322534,-1.076507940511717,-0.08774662987180268,0.0105,SED__a2;SED_a3;SED_b1,23,27,50
11,0.46756400446711827,-0.1780343915674431,1.1320435893018728,-0.3054390255931376,-0.706997438323071,0.0655130486639044,-0.6108780511862753,-1.413994876646142,0.1310260973278088,0.0555,SLT_a1;SLT_b2,4,1,5
12,-0.8458125458286851,-1.2889775928559761,-0.4025341352811232,-0.069764202685507,-0.29238225766280224,0.1521683478281968,-0.139528405371014,-0.5847645153256045,0.3043366956563936,0.27525,TVG__a2;TVG_a3;TVG_b1,47,7,54
13,0.16659566435377485,-0.3110863715512204,0.6653743759468602,0.29999026168606313,0.038985176223027496,0.5724983605785867,0.5999805233721263,0.07797035244605499,1.1449967211571734,0.98725,ZAL_b1;ZAL_b3,25,8,33
14,0.23585155668292196,-0.4076524860627841,0.8918538352343984,-0.3337950238455556,-0.7996523350584738,0.07985873232109927,-0.6675900476911112,-1.5993046701169475,0.15971746464219855,0.0565,TPM_a1,11,1,12
