person,term,r_person,.lower,.upper,.width,.point,.interval,ppt_ids,n_trials_act,n_trials_pass,n_trials_total
1,Intercept,0.5999774605875974,0.12416876648632637,1.063854508170087,0.95,median,qi,ATL_a3;ATL_b2,35,8,43
1,active_voice,0.47006329912462885,0.21258220333698102,0.7600295858028369,0.95,median,qi,ATL_a3;ATL_b2,35,8,43
1,time,-0.8443016902158208,-1.310602655257419,-0.43557878006188,0.95,median,qi,ATL_a3;ATL_b2,35,8,43
2,Intercept,0.18727451132635942,-0.38045868474899663,0.7954485669268444,0.95,median,qi,GVD_a2;GVD_b3,12,9,21
2,active_voice,0.22780849316388907,-0.08846748954218352,0.5774796951932007,0.95,median,qi,GVD_a2;GVD_b3,12,9,21
2,time,0.002385749743666909,-0.5419118384134276,0.537982188409477,0.95,median,qi,GVD_a2;GVD_b3,12,9,21
3,Intercept,-0.5730799272152025,-1.0361399376019311,-0.13420754533251733,0.95,median,qi,IEM_a1;IEM_a2;IEM_b3,42,15,57
3,active_voice,0.11783645041441926,-0.10891311954313151,0.365588197804807,0.95,median,qi,IEM_a1;IEM_a2;IEM_b3,42,15,57
3,time,0.36826894242315256,-0.03409861971401102,0.7639363977244978,0.95,median,qi,IEM_a1;IEM_a2;IEM_b3,42,15,57
4,Intercept,0.9076640995266312,0.4662713322180304,1.361848118482165,0.95,median,qi,IMI_a3;IMI_b1;IMI_b2,52,15,67
4,active_voice,-0.410350806244855,-0.6882105017870146,-0.17642727472953304,0.95,median,qi,IMI_a3;IMI_b1;IMI_b2,52,15,67
4,time,-0.531775688250518,-0.9520883008769193,-0.13225250034593727,0.95,median,qi,IMI_a3;IMI_b1;IMI_b2,52,15,67
5,Intercept,-0.20703247478902395,-0.7663737913652122,0.31698968393950544,0.95,median,qi,KSM_a1;KSM_b2,13,6,19
5,active_voice,-0.09746399144120273,-0.39471585701887885,0.19410993606028876,0.95,median,qi,KSM_a1;KSM_b2,13,6,19
5,time,0.6130858272131132,0.10656794745108908,1.1872093219572268,0.95,median,qi,KSM_a1;KSM_b2,13,6,19
6,Intercept,-0.11102513451076827,-0.5986778945087247,0.37517829560247146,0.95,median,qi,PRM_a1;PRM_b3,23,18,41
6,active_voice,0.07843934465472215,-0.18408873272193849,0.3513929090634516,0.95,median,qi,PRM_a1;PRM_b3,23,18,41
6,time,-0.34573564062628126,-0.8314837632842884,0.10415767107089209,0.95,median,qi,PRM_a1;PRM_b3,23,18,41
7,Intercept,0.4024291741801822,-0.05460981606849909,0.8432012551706919,0.95,median,qi,RAI_a3;RAI_b1;RAI_b2,42,27,69
7,active_voice,0.09040851197132584,-0.1430596086362955,0.35458139079927575,0.95,median,qi,RAI_a3;RAI_b1;RAI_b2,42,27,69
7,time,-0.1839076690869964,-0.5984674953903327,0.228371818945151,0.95,median,qi,RAI_a3;RAI_b1;RAI_b2,42,27,69
8,Intercept,-0.25782407995088374,-0.6921630035700503,0.16631921395390664,0.95,median,qi,REI_a2;REI_b1;REI_b3,35,12,47
8,active_voice,-0.040666758593251154,-0.27936787753561104,0.20639699269105297,0.95,median,qi,REI_a2;REI_b1;REI_b3,35,12,47
8,time,0.33840829780442716,-0.05763206148129175,0.7239295948693911,0.95,median,qi,REI_a2;REI_b1;REI_b3,35,12,47
9,Intercept,0.13626628932532342,-0.34128567660358056,0.6116778383846205,0.95,median,qi,RLI__b3;RLI_a1;RLI_b2,50,14,64
9,active_voice,-0.08838989975144276,-0.35862940948029304,0.17758791460681606,0.95,median,qi,RLI__b3;RLI_a1;RLI_b2,50,14,64
9,time,-0.251491668737711,-0.6771515021359554,0.15958539816404807,0.95,median,qi,RLI__b3;RLI_a1;RLI_b2,50,14,64
10,Intercept,0.24278351989522112,-0.3019469911999389,0.7900801475864699,0.95,median,qi,SED__a2;SED_a3;SED_b1,23,27,50
10,active_voice,-0.21818109644577624,-0.5133236447316102,0.0781892407592323,0.95,median,qi,SED__a2;SED_a3;SED_b1,23,27,50
10,time,0.16011684170386448,-0.37919120695867503,0.6907955050140857,0.95,median,qi,SED__a2;SED_a3;SED_b1,23,27,50
11,Intercept,0.08209088063810566,-0.5884458432050449,0.7520699803604602,0.95,median,qi,SLT_a1;SLT_b2,4,1,5
11,active_voice,-0.2313242079639724,-0.656207015547547,0.14212204753213722,0.95,median,qi,SLT_a1;SLT_b2,4,1,5
11,time,-0.04607289883288124,-0.7080863462820748,0.5851491103475691,0.95,median,qi,SLT_a1;SLT_b2,4,1,5
12,Intercept,-1.232570418467846,-1.7542522553377893,-0.7780964182876048,0.95,median,qi,TVG__a2;TVG_a3;TVG_b1,47,7,54
12,active_voice,0.0016684832773359668,-0.27738924983039,0.27810940034420933,0.95,median,qi,TVG__a2;TVG_a3;TVG_b1,47,7,54
12,time,0.7930668672161711,0.38631378986656184,1.235216552925187,0.95,median,qi,TVG__a2;TVG_a3;TVG_b1,47,7,54
13,Intercept,-0.23414443821435377,-0.7492251373706197,0.2942152729223935,0.95,median,qi,ZAL_b1;ZAL_b3,25,8,33
13,active_voice,0.36549086978589396,0.06940567649381785,0.6895443888178969,0.95,median,qi,ZAL_b1;ZAL_b3,25,8,33
13,time,-0.06966818814857367,-0.5632476399500383,0.43159868986099253,0.95,median,qi,ZAL_b1;ZAL_b3,25,8,33
14,Intercept,-0.15679963553425175,-0.7995038027736484,0.5103191773261876,0.95,median,qi,TPM_a1,11,1,12
14,active_voice,-0.26269608097790165,-0.7579282373854452,0.1483020220334987,0.95,median,qi,TPM_a1,11,1,12
14,time,-0.11824850812974669,-0.7439842140033017,0.48161491324025124,0.95,median,qi,TPM_a1,11,1,12
