time_bin50,ppt.no,type,cond,wo,item,sol,ppt_ids,agent_sum,patient_sum,N,agent_patient_sum,person,time_rel,time_c,time_c2,time_c3
0,1,pass,A,PAV,23,2696,ATL_a3,49,0,49,49,1,0,-0.5,0.25,-0.125
0,1,pass,P,PAV,1,2418,ATL_b2,0,49,49,49,1,0,-0.5,0.25,-0.125
0,1,pass,P,PAV,10,2084,ATL_b2,0,49,49,49,1,0,-0.5,0.25,-0.125
0,1,pass,P,PAV,15,1738,ATL_a3,49,0,49,49,1,0,-0.5,0.25,-0.125
0,1,pass,P,PAV,18,2200,ATL_a3,0,49,49,49,1,0,-0.5,0.25,-0.125
0,1,pass,P,PAV,21,2250,ATL_a3,0,49,49,49,1,0,-0.5,0.25,-0.125
0,1,pass,P,PAV,22,3563,ATL_b2,49,0,49,49,1,0,-0.5,0.25,-0.125
0,1,pass,P,PAV,24,3716,ATL_a3,49,0,49,49,1,0,-0.5,0.25,-0.125
0,2,pass,P,AP,10,1697,GVD_a2,49,0,49,49,2,0,-0.5,0.25,-0.125
0,2,pass,P,APV,9,1829,GVD_b3,49,0,49,49,2,0,-0.5,0.25,-0.125
0,2,pass,P,AV,1,1410,GVD_a2,0,49,49,49,2,0,-0.5,0.25,-0.125
0,2,pass,P,AV,3,1261,GVD_b3,49,0,49,49,2,0,-0.5,0.25,-0.125
0,2,pass,P,AV,4,1735,GVD_a2,49,0,49,49,2,0,-0.5,0.25,-0.125
0,2,pass,P,AV,6,1312,GVD_b3,0,49,49,49,2,0,-0.5,0.25,-0.125
0,2,pass,P,AV,7,1445,GVD_a2,49,0,49,49,2,0,-0.5,0.25,-0.125
0,2,pass,P,PAV,18,2075,GVD_b3,0,49,49,49,2,0,-0.5,0.25,-0.125
0,2,pass,P,PAV,24,1546,GVD_b3,18,0,49,18,2,0,-0.5,0.25,-0.125
0,3,pass,P,A-PAV,8,1977,IEM_a1,49,0,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,A-PAV,21,1884,IEM_b3,49,0,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,APV,23,3133,IEM_a1,49,0,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,AV,2,1503,IEM_a1,49,0,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,AVP,9,1792,IEM_b3,0,49,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,PAV,13,2968,IEM_a2,29,0,49,29,3,0,-0.5,0.25,-0.125
0,3,pass,P,PAV,15,3484,IEM_b3,49,0,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,PAV,18,3821,IEM_b3,0,49,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,PAV,19,2749,IEM_a2,0,49,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,PAV,20,2589,IEM_a1,0,49,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,PAV,22,2716,IEM_a2,0,49,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,PAV,24,2802,IEM_b3,49,0,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,P,PVA,6,4730,IEM_b3,0,49,49,49,3,0,-0.5,0.25,-0.125
0,3,pass,none,PVA,17,3889,IEM_a2,0,49,49,49,3,0,-0.5,0.25,-0.125
0,4,pass,P,A-PAV,5,3747,IMI_b1,49,0,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,AV,1,1714,IMI_b2,49,0,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,AV,10,2036,IMI_b2,49,0,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,AV,22,2684,IMI_b2,49,0,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,2,2851,IMI_b1,1,48,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,11,2423,IMI_b1,49,0,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,14,1754,IMI_b1,49,0,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,15,1897,IMI_a3,49,0,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,17,2769,IMI_b1,49,0,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,18,3564,IMI_a3,26,23,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,19,5926,IMI_b2,49,0,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,20,1789,IMI_b1,0,49,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,21,2059,IMI_a3,0,49,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,23,2872,IMI_b1,49,0,49,49,4,0,-0.5,0.25,-0.125
0,4,pass,P,PAV,24,3351,IMI_a3,49,0,49,49,4,0,-0.5,0.25,-0.125
0,5,pass,P,APV,13,1763,KSM_b2,49,0,49,49,5,0,-0.5,0.25,-0.125
0,5,pass,P,AV,1,2085,KSM_b2,49,0,49,49,5,0,-0.5,0.25,-0.125
0,5,pass,P,AV,2,3888,KSM_a1,49,0,49,49,5,0,-0.5,0.25,-0.125
0,5,pass,P,AV,5,2915,KSM_a1,0,49,49,49,5,0,-0.5,0.25,-0.125
0,5,pass,P,AV,10,2704,KSM_b2,49,0,49,49,5,0,-0.5,0.25,-0.125
0,5,pass,none,AV,15,3718,KSM_a1,49,0,49,49,5,0,-0.5,0.25,-0.125
0,6,pass,A,AV,2,1297,PRM_b3,0,49,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,A,AV,8,1913,PRM_b3,0,49,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,2,2931,PRM_a1,49,0,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,3,1601,PRM_b3,49,0,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,5,1897,PRM_a1,0,49,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,6,2625,PRM_b3,0,49,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,9,1477,PRM_b3,0,49,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,12,2055,PRM_b3,0,27,49,27,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,14,2843,PRM_a1,49,0,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,15,1884,PRM_b3,49,0,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,17,2111,PRM_a1,0,49,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,18,2100,PRM_b3,0,49,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,20,1830,PRM_a1,0,49,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,21,1409,PRM_b3,49,0,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,23,2524,PRM_a1,49,0,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,AV,24,2197,PRM_b3,49,0,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,P,P-AV,8,3860,PRM_a1,49,0,49,49,6,0,-0.5,0.25,-0.125
0,6,pass,none,APV,9,1257,PRM_a1,0,49,49,49,6,0,-0.5,0.25,-0.125
0,7,pass,P,APV,4,2117,RAI_b2,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,APV,11,2777,RAI_b1,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,APV,12,1698,RAI_a3,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,1,1298,RAI_b2,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,2,2231,RAI_b1,43,6,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,5,1362,RAI_b1,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,6,2168,RAI_a3,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,7,3300,RAI_b2,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,8,2250,RAI_b1,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,9,1482,RAI_a3,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,10,1537,RAI_b2,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,13,1208,RAI_b2,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,15,4213,RAI_a3,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,17,2141,RAI_b1,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,18,2208,RAI_a3,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,19,2002,RAI_b2,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,21,2283,RAI_a3,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,22,1628,RAI_b2,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,23,2089,RAI_b1,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,AV,24,1572,RAI_a3,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,PAV,14,3226,RAI_b1,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,P,PAV,20,3226,RAI_b1,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,none,PAV,7,3492,RAI_a3,49,0,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,none,PAV,12,3420,RAI_b1,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,none,PAV,20,3946,RAI_b2,0,49,49,49,7,0,-0.5,0.25,-0.125
0,7,pass,none,PAV,24,3104,RAI_b1,49,0,49,49,7,0,-0.5,0.25,-0.125
0,8,pass,P,AV,1,3345,REI_a2,0,49,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,P,AV,2,3122,REI_b1,25,24,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,P,AV,5,3118,REI_b1,0,49,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,P,AV,8,3989,REI_b1,0,49,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,P,AV,10,2473,REI_a2,49,0,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,P,AV,14,3832,REI_b1,49,0,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,P,AV,18,3519,REI_b3,0,49,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,P,AV,19,4562,REI_a2,0,49,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,P,AV,20,5551,REI_b1,0,49,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,P,AV,21,2294,REI_b3,49,0,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,P,AV,23,3707,REI_b1,49,0,49,49,8,0,-0.5,0.25,-0.125
0,8,pass,none,PAV,6,5252,REI_b1,0,49,49,49,8,0,-0.5,0.25,-0.125
0,9,pass,P,APV,4,2662,RLI_b2,0,49,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,AV,5,2746,RLI_a1,49,0,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,1,2882,RLI_b2,49,0,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,3,1365,RLI__b3,0,49,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,9,1567,RLI__b3,35,14,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,12,2048,RLI__b3,0,49,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,13,2841,RLI_b2,0,49,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,15,1502,RLI__b3,0,49,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,18,1433,RLI__b3,0,49,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,19,1971,RLI_b2,49,0,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,21,1720,RLI__b3,49,0,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,22,2037,RLI_b2,0,49,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PAV,24,1715,RLI__b3,0,49,49,49,9,0,-0.5,0.25,-0.125
0,9,pass,P,PVA,16,2784,RLI_b2,10,39,49,49,9,0,-0.5,0.25,-0.125
0,10,pass,A,PAV,17,1919,SED_a3,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,A,NA,2,1974,SED_a3,0,49,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,APV,4,1085,SED__a2,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,APV,6,1018,SED_a3,0,49,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,APV,7,1164,SED__a2,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,APV,16,1262,SED__a2,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,APV,17,1579,SED_b1,0,49,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,2,1543,SED_b1,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,3,1251,SED_a3,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,5,1081,SED_b1,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,8,3328,SED_b1,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,9,1484,SED_a3,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,11,1201,SED_b1,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,14,2333,SED_b1,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,15,3148,SED_a3,35,14,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,18,1267,SED_a3,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,20,1686,SED_b1,0,49,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,21,1438,SED_a3,8,41,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,22,1478,SED__a2,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,23,1190,SED_b1,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,AV,24,1783,SED_a3,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,PAV,1,1240,SED__a2,0,49,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,PAV,13,1172,SED__a2,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,P,PAV,19,2056,SED__a2,0,49,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,none,PAV,5,1231,SED__a2,49,0,49,49,10,0,-0.5,0.25,-0.125
0,10,pass,none,PAV,17,1412,SED__a2,49,0,49,49,10,0,-0.5,0.25,-0.125
0,11,pass,A,PVA,10,5331,SLT_a1,0,49,49,49,11,0,-0.5,0.25,-0.125
0,12,pass,P,APV,1,2054,TVG__a2,0,49,49,49,12,0,-0.5,0.25,-0.125
0,12,pass,P,APV,13,1838,TVG__a2,0,49,49,49,12,0,-0.5,0.25,-0.125
0,12,pass,P,AV,5,1458,TVG_b1,0,49,49,49,12,0,-0.5,0.25,-0.125
0,12,pass,P,PAV,3,3855,TVG_a3,0,49,49,49,12,0,-0.5,0.25,-0.125
0,12,pass,P,PAV,6,2102,TVG_a3,49,0,49,49,12,0,-0.5,0.25,-0.125
0,12,pass,none,PAV,22,2329,TVG_a3,49,0,49,49,12,0,-0.5,0.25,-0.125
0,13,pass,P,APV,18,2427,ZAL_b3,0,49,49,49,13,0,-0.5,0.25,-0.125
0,13,pass,P,AV,5,2308,ZAL_b1,49,0,49,49,13,0,-0.5,0.25,-0.125
0,13,pass,P,AV,21,2407,ZAL_b3,42,0,49,42,13,0,-0.5,0.25,-0.125
0,13,pass,P,AVP,14,3035,ZAL_b1,49,0,49,49,13,0,-0.5,0.25,-0.125
0,13,pass,P,PAV,3,3027,ZAL_b3,49,0,49,49,13,0,-0.5,0.25,-0.125
0,13,pass,none,APV,24,2640,ZAL_b1,0,49,49,49,13,0,-0.5,0.25,-0.125
0,14,pass,P,AV,5,2699,TPM_a1,0,49,49,49,14,0,-0.5,0.25,-0.125
1,1,pass,A,PAV,23,2696,ATL_a3,26,24,50,50,1,0.04770992366412214,-0.45229007633587787,0.20456631315191423,-0.09252331339122838
1,1,pass,P,PAV,1,2418,ATL_b2,0,50,50,50,1,0.05500550055005501,-0.444994499449945,0.19802010454070712,-0.08811785730111775
1,1,pass,P,PAV,10,2084,ATL_b2,0,50,50,50,1,0.0673854447439353,-0.4326145552560647,0.18715535341940265,-0.08096612998332647
1,1,pass,P,PAV,15,1738,ATL_a3,50,0,50,50,1,0.08787346221441125,-0.4121265377855887,0.1698482831471363,-0.06999898488225563
1,1,pass,P,PAV,18,2200,ATL_a3,0,50,50,50,1,0.0625,-0.4375,0.19140625,-0.083740234375
1,1,pass,P,PAV,21,2250,ATL_a3,0,50,50,50,1,0.06060606060606061,-0.4393939393939394,0.19306703397612487,-0.08483248462587306
1,1,pass,P,PAV,22,3563,ATL_b2,50,0,50,50,1,0.03374957813027337,-0.46625042186972665,0.21738945589369807,-0.10135792552046706
1,1,pass,P,PAV,24,3716,ATL_a3,50,0,50,50,1,0.03209242618741977,-0.46790757381258025,0.21893749763117523,-0.10244251333320074
1,2,pass,P,AP,10,1697,GVD_a2,50,0,50,50,2,0.09115770282588878,-0.40884229717411125,0.1671520239586043,-0.06833881745253786
1,2,pass,P,APV,9,1829,GVD_b3,50,0,50,50,2,0.08136696501220504,-0.41863303498779497,0.17525361798309236,-0.07336695398885357
1,2,pass,P,AV,1,1410,GVD_a2,0,50,50,50,2,0.12345679012345678,-0.3765432098765432,0.14178478890413046,-0.053388099525629375
1,2,pass,P,AV,3,1261,GVD_b3,50,0,50,50,2,0.15128593040847202,-0.34871406959152795,0.121601502331085,-0.04240415474631632
1,2,pass,P,AV,4,1735,GVD_a2,50,0,50,50,2,0.0881057268722467,-0.4118942731277533,0.16965689223544023,-0.06988070230843021
1,2,pass,P,AV,6,1312,GVD_b3,0,50,50,50,2,0.1404494382022472,-0.3595505617977528,0.12927660648907965,-0.04648147649045561
1,2,pass,P,AV,7,1445,GVD_a2,50,0,50,50,2,0.11834319526627218,-0.3816568047337278,0.14566191659955885,-0.05559286166077838
1,2,pass,P,PAV,18,2075,GVD_b3,0,50,50,50,2,0.06779661016949153,-0.4322033898305085,0.18679977018098248,-0.08073549389178057
