person,average_agent_share_median,average_agent_share_lower,average_agent_share_upper,average_agent_minus_patient_share_median,average_agent_minus_patient_share_lower,average_agent_minus_patient_share_upper,average_log_agent_over_patient_median,average_log_agent_over_patient_lower,average_log_agent_over_patient_upper,p_average_agent_gt_patient,midpoint_agent_share_median,midpoint_agent_share_lower,midpoint_agent_share_upper,p_midpoint_agent_gt_patient,ppt_ids,passive_trials,total_bins,modeled_bins,total_samples,agent_looks,patient_looks,agent_or_patient_looks,raw_agent_share
1,0.5032970193902895,0.4512224698189491,0.5517229946572034,0.00659403878057907,-0.09755506036210183,0.10344598931440681,0.006780859451010143,-0.23564054040442334,0.2338167019495202,0.547,0.5296771183191737,0.4694967366757564,0.5851371730974907,0.8385,ATL_a3;ATL_b2,8,163,160,7932,4158,3563,7721,0.5385312783318223
2,0.6268659169742372,0.5696562592470861,0.6783427283856414,0.25373183394847454,0.13931251849417212,0.35668545677128277,0.5304937142108378,0.2876648900716994,0.7625584973555078,0.99975,0.6553011648277329,0.5991276726290868,0.7058518254111175,1,GVD_a2;GVD_b3,9,94,94,4452,2769,1652,4421,0.626328884867677
3,0.6010594746387308,0.5424911727355667,0.6538447550653478,0.20211894927746155,0.08498234547113329,0.3076895101306958,0.4128360357017222,0.17147194887988226,0.6408398390231306,0.99975,0.6285918937826106,0.5704135254884792,0.6798466807065061,1,IEM_a1;IEM_a2;IEM_b3,15,342,329,16730,8916,6580,15496,0.5753742901393908
4,0.7529572097213226,0.7093230712012788,0.7907980730853468,0.5059144194426453,0.4186461424025577,0.5815961461706937,1.2029478006348389,0.9645977613427662,1.4327492070383865,1,0.788593092591664,0.7466980653419495,0.82481792899259,1,IMI_a3;IMI_b1;IMI_b2,15,331,329,16214,11981,4106,16087,0.7447628519922919
5,0.6877057683948369,0.633835559197346,0.7352963124127407,0.37541153678967365,0.2676711183946921,0.4705926248254814,0.801075311238023,0.556185748820638,1.0358948765335256,1,0.7136672797290649,0.6615426423799143,0.7590734576117772,1,KSM_a1;KSM_b2,6,138,133,6735,4673,1750,6423,0.7275416472053557
6,0.5662303365673683,0.5082037638130521,0.6196955491167255,0.13246067313473664,0.01640752762610417,0.23939109823345112,0.26838700742163707,0.031152733731553025,0.49312035830341205,0.9855,0.5942704426159093,0.5362479486853553,0.6474444932147392,0.99925,PRM_a1;PRM_b3,18,280,249,13499,6224,5203,11427,0.5446748927977597
7,0.7392650760248829,0.6907261727940821,0.779918123486133,0.4785301520497659,0.3814523455881644,0.5598362469722661,1.0507550579964873,0.8101322093793418,1.2748807014565846,1,0.7619839923304177,0.7157825171187897,0.8004910886218386,1,RAI_a3;RAI_b1;RAI_b2,27,516,489,25044,16140,7292,23432,0.6888016387845681
8,0.6047681296396157,0.5450859649883149,0.6567320546692554,0.20953625927923147,0.09017192997662968,0.31346410933851093,0.4287414011578645,0.18199027950226787,0.6541820344217618,0.99975,0.6320785663390245,0.5745776926881102,0.6832009712661634,0.99975,REI_a2;REI_b1;REI_b3,12,382,373,18779,10280,7803,18083,0.5684897417463917
9,0.5564256998003002,0.49660668822912174,0.6111277807810456,0.11285139960060042,-0.006786623541756504,0.22225556156209114,0.2282398690832438,-0.014289013810636391,0.45527226899457446,0.97,0.5845551165680298,0.5248880081540145,0.6389140684308402,0.99675,RLI__b3;RLI_a1;RLI_b2,14,216,215,10433,6157,4240,10397,0.5921900548235067
10,0.7599618395297872,0.7140396493103791,0.7995003462474715,0.5199236790595745,0.4280792986207583,0.5990006924949431,1.1633106423379913,0.9237019901376118,1.3955602569959513,1,0.7816905132914498,0.7386008095968614,0.8189547924673156,1,SED__a2;SED_a3;SED_b1,27,274,269,13084,9705,3151,12856,0.754900435594275
11,0.6323183855820792,0.5711598446551552,0.6865793398344235,0.2646367711641584,0.1423196893103105,0.37315867966884686,0.5490176200708625,0.2899997052693912,0.7927473244204748,1,0.6598779481022048,0.6007245058034888,0.7120176900276924,1,SLT_a1,1,48,48,2365,1286,1079,2365,0.5437632135306554
12,0.427337337376999,0.3705388511140325,0.4851471254361725,-0.14532532524600195,-0.258922297771935,-0.02970574912765503,-0.29565745345654043,-0.5348446048296291,-0.06013868426961214,0.00925,0.4544527308754934,0.3968535049262939,0.5139482466832755,0.061,TVG__a2;TVG_a3;TVG_b1,7,124,104,5996,2359,2419,4778,0.49372122226873166
13,0.6031831094530378,0.5460422792207867,0.6580595251200964,0.20636621890607565,0.09208455844157339,0.31611905024019277,0.4222072902657733,0.18580820243535612,0.6601580814838686,0.99975,0.6308203531141409,0.5742913970132151,0.6839951235502556,0.99975,ZAL_b1;ZAL_b3,8,162,109,7820,3369,1759,5128,0.65698127925117
14,0.7288403701493789,0.6819085284779149,0.7722099774864338,0.4576807402987576,0.3638170569558298,0.5444199549728679,1.2325034332071068,0.9283378494104546,1.5493331751954642,1,0.793351124480016,0.7394331773791595,0.8403908212185366,1,TPM_a1,1,21,21,1049,845,204,1049,0.8055290753098189
