person,ppt_ids,passive_trials,total_bins,modeled_bins,total_samples,agent_looks,patient_looks,agent_or_patient_looks,raw_agent_share
1,ATL_a3;ATL_b2,8,163,160,7932,4158,3563,7721,0.5385312783318223
2,GVD_a2;GVD_b3,9,94,94,4452,2769,1652,4421,0.626328884867677
3,IEM_a1;IEM_a2;IEM_b3,15,342,329,16730,8916,6580,15496,0.5753742901393908
4,IMI_a3;IMI_b1;IMI_b2,15,331,329,16214,11981,4106,16087,0.7447628519922919
5,KSM_a1;KSM_b2,6,138,133,6735,4673,1750,6423,0.7275416472053557
6,PRM_a1;PRM_b3,18,280,249,13499,6224,5203,11427,0.5446748927977597
7,RAI_a3;RAI_b1;RAI_b2,27,516,489,25044,16140,7292,23432,0.6888016387845681
8,REI_a2;REI_b1;REI_b3,12,382,373,18779,10280,7803,18083,0.5684897417463917
9,RLI__b3;RLI_a1;RLI_b2,14,216,215,10433,6157,4240,10397,0.5921900548235067
10,SED__a2;SED_a3;SED_b1,27,274,269,13084,9705,3151,12856,0.754900435594275
11,SLT_a1,1,48,48,2365,1286,1079,2365,0.5437632135306554
12,TVG__a2;TVG_a3;TVG_b1,7,124,104,5996,2359,2419,4778,0.49372122226873166
13,ZAL_b1;ZAL_b3,8,162,109,7820,3369,1759,5128,0.65698127925117
14,TPM_a1,1,21,21,1049,845,204,1049,0.8055290753098189
