person,term,r_person_median,r_person_lower,r_person_upper,p_r_person_gt_0,ppt_ids,passive_trials,total_bins,modeled_bins,total_samples,agent_looks,patient_looks,agent_or_patient_looks,raw_agent_share
1,Intercept,-0.5617037237160671,-0.8490008651095364,-0.27736568465534234,5e-4,ATL_a3;ATL_b2,8,163,160,7932,4158,3563,7721,0.5385312783318223
1,time_c,-2.5753467788449678,-3.438602022186433,-1.6486340515181392,0,ATL_a3;ATL_b2,8,163,160,7932,4158,3563,7721,0.5385312783318223
2,Intercept,-0.0370206172670502,-0.32590867836412296,0.2375449450483077,0.3985,GVD_a2;GVD_b3,9,94,94,4452,2769,1652,4421,0.626328884867677
2,time_c,-0.7093432429192726,-1.552839476492448,0.2176701232059075,0.0645,GVD_a2;GVD_b3,9,94,94,4452,2769,1652,4421,0.626328884867677
3,Intercept,-0.1544245745906208,-0.44059377628033247,0.12593745412449328,0.123,IEM_a1;IEM_a2;IEM_b3,15,342,329,16730,8916,6580,15496,0.5753742901393908
3,time_c,0.19658695802290266,-0.6501399031267004,1.1231330229926528,0.69425,IEM_a1;IEM_a2;IEM_b3,15,342,329,16730,8916,6580,15496,0.5753742901393908
4,Intercept,0.637458100559769,0.35119003590839254,0.9117201243569614,0.9995,IMI_a3;IMI_b1;IMI_b2,15,331,329,16214,11981,4106,16087,0.7447628519922919
4,time_c,-1.8480683875993629,-2.684677790682012,-0.9256140058775039,0.0015,IMI_a3;IMI_b1;IMI_b2,15,331,329,16214,11981,4106,16087,0.7447628519922919
5,Intercept,0.23352195558486605,-0.055671307357979344,0.511704330496616,0.94275,KSM_a1;KSM_b2,6,138,133,6735,4673,1750,6423,0.7275416472053557
5,time_c,0.7164094175950144,-0.12964295944778803,1.6488420606045116,0.95325,KSM_a1;KSM_b2,6,138,133,6735,4673,1750,6423,0.7275416472053557
6,Intercept,-0.29966027060041656,-0.5826615781451887,-0.02034790967512116,0.01825,PRM_a1;PRM_b3,18,280,249,13499,6224,5203,11427,0.5446748927977597
6,time_c,0.6359397527063528,-0.2222049134997092,1.5760276122437982,0.93575,PRM_a1;PRM_b3,18,280,249,13499,6224,5203,11427,0.5446748927977597
7,Intercept,0.4814731139514707,0.19690389751465792,0.760238092020898,0.9985,RAI_a3;RAI_b1;RAI_b2,27,516,489,25044,16140,7292,23432,0.6888016387845681
7,time_c,0.005673571828682122,-0.8244240649112141,0.9284380897021813,0.5045,RAI_a3;RAI_b1;RAI_b2,27,516,489,25044,16140,7292,23432,0.6888016387845681
8,Intercept,-0.13905748006865953,-0.4246389651336184,0.1342659784959501,0.1435,REI_a2;REI_b1;REI_b3,12,382,373,18779,10280,7803,18083,0.5684897417463917
8,time_c,0.06808919419726778,-0.7700090733866696,1.0103486910028123,0.56275,REI_a2;REI_b1;REI_b3,12,382,373,18779,10280,7803,18083,0.5684897417463917
9,Intercept,-0.33942730640086693,-0.6286764129449623,-0.06396235473864038,0.01025,RLI__b3;RLI_a1;RLI_b2,14,216,215,10433,6157,4240,10397,0.5921900548235067
9,time_c,0.0952963957275382,-0.7425642688218559,1.0366848565365432,0.59825,RLI__b3;RLI_a1;RLI_b2,14,216,215,10433,6157,4240,10397,0.5921900548235067
10,Intercept,0.5961816785531691,0.31010829322496836,0.8761412896653847,0.9995,SED__a2;SED_a3;SED_b1,27,274,269,13084,9705,3151,12856,0.754900435594275
10,time_c,-0.20461899578206416,-1.0479531803067417,0.6932210964872556,0.3105,SED__a2;SED_a3;SED_b1,27,274,269,13084,9705,3151,12856,0.754900435594275
11,Intercept,-0.019481722993824068,-0.3177799383383161,0.27298338509103465,0.452,SLT_a1,1,48,48,2365,1286,1079,2365,0.5437632135306554
11,time_c,-0.31927080549159403,-1.1847741959003877,0.5963638964910543,0.24025,SLT_a1,1,48,48,2365,1286,1079,2365,0.5437632135306554
12,Intercept,-0.863335271464859,-1.1471662351668064,-0.5871737960150013,0,TVG__a2;TVG_a3;TVG_b1,7,124,104,5996,2359,2419,4778,0.49372122226873166
12,time_c,-0.12852070799072302,-0.9717421522807733,0.8090532286095556,0.3895,TVG__a2;TVG_a3;TVG_b1,7,124,104,5996,2359,2419,4778,0.49372122226873166
13,Intercept,-0.14525850675322788,-0.43498307921996854,0.13434680564790735,0.14375,ZAL_b1;ZAL_b3,8,162,109,7820,3369,1759,5128,0.65698127925117
13,time_c,0.04207168947192848,-0.7891579020569512,0.9681112349355059,0.54175,ZAL_b1;ZAL_b3,8,162,109,7820,3369,1759,5128,0.65698127925117
14,Intercept,0.6625853348881093,0.3253564321549583,1.0034866442097483,0.99975,TPM_a1,1,21,21,1049,845,204,1049,0.8055290753098189
14,time_c,3.896935486529168,2.9225779800457246,5.076032455539461,1,TPM_a1,1,21,21,1049,845,204,1049,0.8055290753098189
