participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
PRM_b3,agent,0,0.100000,0.316228,10,0.000000,0.300000
PRM_b3,agent,50,0.102000,0.315588,10,0.000000,0.301595
PRM_b3,agent,100,0.234000,0.417405,10,0.000000,0.497990
PRM_b3,agent,150,0.196000,0.408227,10,0.000000,0.454185
PRM_b3,agent,200,0.250000,0.410447,10,0.000000,0.509589
PRM_b3,agent,250,0.506000,0.502797,10,0.188003,0.823997
PRM_b3,agent,300,0.582000,0.503892,10,0.263311,0.900689
PRM_b3,agent,350,0.520000,0.482586,10,0.214786,0.825214
PRM_b3,agent,400,0.480000,0.453235,10,0.193349,0.766651
PRM_b3,agent,450,0.400000,0.516398,10,0.073401,0.726599
PRM_b3,agent,500,0.382000,0.495890,10,0.068372,0.695628
PRM_b3,agent,550,0.380000,0.493964,10,0.067590,0.692410
PRM_b3,agent,600,0.400000,0.516398,10,0.073401,0.726599
PRM_b3,agent,650,0.400000,0.516398,10,0.073401,0.726599
PRM_b3,agent,700,0.400000,0.516398,10,0.073401,0.726599
PRM_b3,agent,750,0.464000,0.500737,10,0.147306,0.780694
PRM_b3,agent,800,0.522000,0.501593,10,0.204765,0.839235
PRM_b3,agent,850,0.500000,0.527046,10,0.166667,0.833333
PRM_b3,agent,900,0.454000,0.432466,10,0.180485,0.727515
PRM_b3,agent,950,0.334000,0.471409,10,0.035855,0.632145
PRM_b3,agent,1000,0.326000,0.471975,10,0.027497,0.624503
PRM_b3,agent,1050,0.368000,0.483983,10,0.061902,0.674098
PRM_b3,agent,1100,0.440000,0.497103,10,0.125605,0.754395
PRM_b3,agent,1150,0.526000,0.505617,10,0.206220,0.845780
PRM_b3,agent,1200,0.526000,0.505617,10,0.206220,0.845780
PRM_b3,agent,1250,0.500000,0.527046,10,0.166667,0.833333
PRM_b3,agent,1300,0.500000,0.527046,10,0.166667,0.833333
PRM_b3,agent,1350,0.512000,0.515640,10,0.185881,0.838119
PRM_b3,agent,1400,0.548000,0.485451,10,0.240974,0.855026
PRM_b3,agent,1450,0.312000,0.430318,10,0.039843,0.584157
PRM_b3,agent,1500,0.200000,0.421637,10,0.000000,0.466667
PRM_b3,agent,1550,0.200000,0.421637,10,0.000000,0.466667
PRM_b3,agent,1600,0.388000,0.460454,10,0.096783,0.679217
PRM_b3,agent,1650,0.460000,0.453137,10,0.173411,0.746589
PRM_b3,agent,1700,0.578000,0.499818,10,0.261888,0.894112
PRM_b3,agent,1750,0.446000,0.485162,10,0.139157,0.752843
PRM_b3,agent,1800,0.500000,0.527046,10,0.166667,0.833333
PRM_b3,agent,1850,0.464000,0.500737,10,0.147306,0.780694
