participant,n_passive_trials,eligible_gt_threshold,mean_speech_onset_ms
PRM_b3,10,no,1855.800000
RAI_b1,10,no,2582.600000
RAI_b2,9,no,2372.666667
SED__a2,9,no,1344.444444
SED_a3,9,no,1698.000000
SED_b1,9,no,1666.333333
PRM_a1,8,no,2406.625000
RAI_a3,8,no,2389.500000
IMI_b1,7,no,2600.714286
REI_b1,7,no,4081.571429
RLI__b3,7,no,1621.428571
IEM_b3,6,no,3085.500000
RLI_b2,6,no,2529.500000
ATL_a3,5,no,2520.000000
GVD_b3,5,no,1604.600000
IEM_a2,5,no,2950.400000
ZAL_b3,5,no,2492.400000
GVD_a2,4,no,1571.750000
IEM_a1,4,no,2300.500000
IMI_a3,4,no,2717.750000
IMI_b2,4,no,3090.000000
TVG_a3,4,no,2711.250000
ATL_b2,3,no,2688.333333
KSM_a1,3,no,3507.000000
KSM_b2,3,no,2184.000000
REI_a2,3,no,3460.000000
ZAL_b1,3,no,2661.000000
REI_b3,2,no,2906.500000
TVG__a2,2,no,1946.000000
RLI_a1,1,no,2746.000000
SLT_a1,1,no,5331.000000
TPM_a1,1,no,2699.000000
TVG_b1,1,no,1458.000000
