participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
RAI,agent,0,0.400000,0.481184,27,0.214792,0.585208
RAI,agent,50,0.457778,0.498901,27,0.265751,0.649805
RAI,agent,100,0.481481,0.509175,27,0.285500,0.677463
RAI,agent,150,0.478519,0.446316,27,0.306732,0.650306
RAI,agent,200,0.433333,0.415211,27,0.273519,0.593148
RAI,agent,250,0.451111,0.492789,27,0.261437,0.640786
RAI,agent,300,0.402963,0.495757,27,0.212146,0.593780
RAI,agent,350,0.418519,0.488543,27,0.230478,0.606559
RAI,agent,400,0.454815,0.489791,27,0.266294,0.643335
RAI,agent,450,0.468148,0.476599,27,0.284705,0.651591
RAI,agent,500,0.522963,0.497987,27,0.331288,0.714638
RAI,agent,550,0.532593,0.492190,27,0.343149,0.722037
RAI,agent,600,0.551852,0.502004,27,0.358630,0.745073
RAI,agent,650,0.639259,0.480592,27,0.454279,0.824239
RAI,agent,700,0.668889,0.477311,27,0.485172,0.852606
RAI,agent,750,0.731852,0.443596,27,0.561112,0.902592
RAI,agent,800,0.711852,0.454321,27,0.536983,0.886720
RAI,agent,850,0.689630,0.461748,27,0.511903,0.867357
RAI,agent,900,0.699259,0.462950,27,0.521070,0.877449
RAI,agent,950,0.691111,0.454696,27,0.516098,0.866124
RAI,agent,1000,0.710370,0.443218,27,0.539776,0.880965
RAI,agent,1050,0.680741,0.465435,27,0.501595,0.859887
RAI,agent,1100,0.664444,0.462712,27,0.486346,0.842542
RAI,agent,1150,0.608889,0.455508,27,0.433564,0.784214
RAI,agent,1200,0.523704,0.489208,27,0.335408,0.712000
RAI,agent,1250,0.488148,0.490346,27,0.299414,0.676882
RAI,agent,1300,0.494074,0.500947,27,0.301259,0.686889
RAI,agent,1350,0.468889,0.499979,27,0.276447,0.661331
RAI,agent,1400,0.462222,0.498531,27,0.270337,0.654107
RAI,agent,1450,0.444444,0.506370,27,0.249543,0.639346
RAI,agent,1500,0.400000,0.471626,27,0.218471,0.581529
RAI,agent,1550,0.366667,0.480096,27,0.181878,0.551456
RAI,agent,1600,0.368889,0.472940,27,0.186854,0.550923
RAI,agent,1650,0.374815,0.489162,27,0.186536,0.563093
RAI,agent,1700,0.395556,0.487800,27,0.207801,0.583310
RAI,agent,1750,0.357778,0.478598,27,0.173565,0.541990
RAI,agent,1800,0.370370,0.492103,27,0.180960,0.559781
RAI,agent,1850,0.389630,0.487201,27,0.202106,0.577154
RAI,agent,1900,0.416296,0.485989,27,0.229239,0.603354
RAI,agent,1950,0.454074,0.488256,27,0.266144,0.642004
RAI,agent,2000,0.506667,0.501199,27,0.313755,0.699578
RAI,agent,2050,0.442963,0.495913,27,0.252086,0.633840
RAI,agent,2100,0.418519,0.485384,27,0.231694,0.605343
RAI,agent,2150,0.404444,0.497295,27,0.213035,0.595853
RAI,agent,2200,0.368889,0.465992,27,0.189528,0.548249
RAI,agent,2250,0.432593,0.495026,27,0.242057,0.623128
RAI,agent,2300,0.444444,0.506370,27,0.249543,0.639346
RAI,agent,2350,0.380000,0.486400,27,0.192785,0.567215
RAI,agent,2400,0.367407,0.488393,27,0.179425,0.555390
RAI,agent,2450,0.331852,0.478307,27,0.147752,0.515952
RAI,agent,2500,0.365926,0.462761,27,0.187809,0.544043
RAI,agent,2550,0.397037,0.483090,27,0.211096,0.582978
RAI,agent,2600,0.371852,0.491004,27,0.182864,0.560839
RAI,agent,2650,0.414074,0.488445,27,0.226071,0.602077
RAI,agent,2700,0.372593,0.490499,27,0.183799,0.561386
RAI,agent,2750,0.379259,0.487300,27,0.191698,0.566821
RAI,agent,2800,0.422222,0.494067,27,0.232056,0.612389
RAI,agent,2850,0.401481,0.482459,27,0.215783,0.587180
RAI,agent,2900,0.430370,0.494006,27,0.240227,0.620513
RAI,agent,2950,0.381481,0.486334,27,0.194291,0.568672
RAI,agent,3000,0.407407,0.500712,27,0.214683,0.600131
RAI,agent,3050,0.380000,0.484022,27,0.193700,0.566300
RAI,agent,3100,0.373333,0.490024,27,0.184723,0.561943
RAI,agent,3150,0.346667,0.467695,27,0.166651,0.526682
RAI,agent,3200,0.314815,0.444508,27,0.143724,0.485906
