graph_id,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act_all,agent,0,0.389227,0.473782,414,0.342657,0.435797
act_all,agent,50,0.388309,0.475993,414,0.341522,0.435097
act_all,agent,100,0.385942,0.479128,414,0.338846,0.433038
act_all,agent,150,0.398116,0.465093,414,0.352400,0.443832
act_all,agent,200,0.451353,0.454660,414,0.406662,0.496043
act_all,agent,250,0.461787,0.474282,414,0.415168,0.508407
act_all,agent,300,0.487101,0.477513,414,0.440165,0.534038
act_all,agent,350,0.496763,0.482909,414,0.449296,0.544231
act_all,agent,400,0.507440,0.481918,414,0.460070,0.554810
act_all,agent,450,0.522077,0.485228,414,0.474382,0.569773
act_all,agent,500,0.517198,0.488766,414,0.469155,0.565241
act_all,agent,550,0.529903,0.484644,414,0.482265,0.577541
act_all,agent,600,0.549758,0.484998,414,0.502086,0.597431
act_all,agent,650,0.583140,0.479593,414,0.535999,0.630282
act_all,agent,700,0.589420,0.480401,414,0.542199,0.636641
act_all,agent,750,0.621014,0.471683,414,0.574651,0.667378
act_all,agent,800,0.621353,0.476704,414,0.574495,0.668210
act_all,agent,850,0.625507,0.466373,414,0.579665,0.671349
act_all,agent,900,0.621643,0.470049,414,0.575439,0.667846
act_all,agent,950,0.605845,0.470241,414,0.559623,0.652068
act_all,agent,1000,0.592512,0.478459,414,0.545482,0.639542
act_all,agent,1050,0.591063,0.476578,414,0.544218,0.637908
act_all,agent,1100,0.601401,0.476001,414,0.554613,0.648189
act_all,agent,1150,0.604783,0.474789,414,0.558113,0.651452
act_all,agent,1200,0.580676,0.475601,414,0.533927,0.627425
act_all,agent,1250,0.558019,0.485861,414,0.510262,0.605777
act_all,agent,1300,0.543140,0.490509,414,0.494926,0.591355
act_all,agent,1350,0.543671,0.480839,414,0.496408,0.590935
act_all,agent,1400,0.540338,0.488715,414,0.492300,0.588376
act_all,agent,1450,0.530000,0.482204,414,0.482602,0.577398
act_all,agent,1500,0.535749,0.483337,414,0.488239,0.583258
act_all,agent,1550,0.541643,0.485839,414,0.493887,0.589398
act_all,agent,1600,0.524155,0.485655,414,0.476417,0.571892
act_all,agent,1650,0.515411,0.484296,414,0.467807,0.563014
act_all,agent,1700,0.505700,0.488485,414,0.457685,0.553716
act_all,agent,1750,0.496763,0.485000,414,0.449090,0.544436
act_all,agent,1800,0.501304,0.491435,414,0.452999,0.549610
act_all,agent,1850,0.494589,0.487062,414,0.446714,0.542465
act_all,agent,1900,0.495217,0.489470,414,0.447105,0.543330
act_all,agent,1950,0.493333,0.484207,414,0.445738,0.540928
act_all,agent,2000,0.477923,0.486558,414,0.430097,0.525749
act_all,agent,2050,0.459130,0.486710,414,0.411289,0.506971
act_all,agent,2100,0.440193,0.487822,414,0.392243,0.488143
act_all,agent,2150,0.444251,0.484492,414,0.396628,0.491874
act_all,agent,2200,0.460000,0.483186,414,0.412505,0.507495
act_all,agent,2250,0.444396,0.489078,414,0.396322,0.492470
act_all,agent,2300,0.442222,0.486962,414,0.394356,0.490088
act_all,agent,2350,0.436957,0.483143,414,0.389466,0.484447
act_all,agent,2400,0.442512,0.486867,414,0.394656,0.490369
act_all,agent,2450,0.421546,0.481170,414,0.374249,0.468842
act_all,agent,2500,0.403913,0.480271,414,0.356705,0.451121
act_all,agent,2550,0.385845,0.475273,414,0.339129,0.432562
act_all,agent,2600,0.376377,0.473501,414,0.329834,0.422919
act_all,agent,2650,0.365797,0.469994,414,0.319599,0.411995
act_all,agent,2700,0.362367,0.472675,414,0.315906,0.408829
act_all,agent,2750,0.354638,0.468812,414,0.308556,0.400719
act_all,agent,2800,0.359275,0.469224,414,0.313153,0.405398
act_all,agent,2850,0.355749,0.466357,414,0.309908,0.401589
act_all,agent,2900,0.342657,0.467007,414,0.296753,0.388561
act_all,agent,2950,0.325604,0.457111,414,0.280672,0.370535
act_all,agent,3000,0.319227,0.456392,414,0.274366,0.364088
act_all,agent,3050,0.322657,0.454528,414,0.277979,0.367335
act_all,agent,3100,0.329565,0.460223,414,0.284328,0.374803
act_all,agent,3150,0.333382,0.461474,414,0.288021,0.378742
