participant,type,referent,time_bin_start_ms,time_bin_end_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
ATL_a3,act,agent,0,50,0.525882,0.494255,17,0.286133,0.765631
ATL_a3,act,agent,50,100,0.525882,0.511261,17,0.277884,0.773881
ATL_a3,act,agent,100,150,0.470588,0.514496,17,0.221021,0.720155
ATL_a3,act,agent,150,200,0.472941,0.488259,17,0.236101,0.709782
ATL_a3,act,agent,200,250,0.405882,0.457426,17,0.183998,0.627766
ATL_a3,act,agent,250,300,0.376471,0.484161,17,0.141618,0.611323
ATL_a3,act,agent,300,350,0.416471,0.468147,17,0.189386,0.643555
ATL_a3,act,agent,350,400,0.396471,0.476038,17,0.165558,0.627383
ATL_a3,act,agent,400,450,0.528235,0.495533,17,0.287866,0.768604
ATL_a3,act,agent,450,500,0.621176,0.454284,17,0.400817,0.841536
ATL_a3,act,agent,500,550,0.614118,0.486198,17,0.378277,0.849958
ATL_a3,act,agent,550,600,0.661176,0.459373,17,0.438348,0.884005
ATL_a3,act,agent,600,650,0.705882,0.469668,17,0.478060,0.933705
ATL_a3,act,agent,650,700,0.743529,0.398825,17,0.550071,0.936988
ATL_a3,act,agent,700,750,0.764706,0.437237,17,0.552615,0.976797
ATL_a3,act,agent,750,800,0.802353,0.378278,17,0.618861,0.985845
ATL_a3,act,agent,800,850,0.850588,0.345696,17,0.682901,1.000000
ATL_a3,act,agent,850,900,0.768235,0.430875,17,0.559230,0.977240
ATL_a3,act,agent,900,950,0.789412,0.391160,17,0.599671,0.979152
ATL_a3,act,agent,950,1000,0.808235,0.390708,17,0.618714,0.997757
ATL_a3,act,agent,1000,1050,0.811765,0.389747,17,0.622710,1.000000
ATL_a3,act,agent,1050,1100,0.705882,0.469668,17,0.478060,0.933705
ATL_a3,act,agent,1100,1150,0.703529,0.468201,17,0.476419,0.930640
ATL_a3,act,agent,1150,1200,0.638824,0.487466,17,0.402368,0.875279
ATL_a3,act,agent,1200,1250,0.520000,0.471434,17,0.291321,0.748679
ATL_a3,act,agent,1250,1300,0.434118,0.496274,17,0.193389,0.674846
ATL_a3,act,agent,1300,1350,0.502353,0.500094,17,0.259772,0.744934
ATL_a3,act,agent,1350,1400,0.501176,0.496562,17,0.260309,0.742044
ATL_a3,act,agent,1400,1450,0.475294,0.498374,17,0.233547,0.717041
ATL_a3,act,agent,1450,1500,0.387059,0.486669,17,0.150990,0.623128
ATL_a3,act,agent,1500,1550,0.427059,0.478745,17,0.194833,0.659284
ATL_a3,act,agent,1550,1600,0.452000,0.484727,15,0.201688,0.702312
ATL_a3,act,agent,1600,1650,0.476000,0.508567,15,0.213377,0.738623
ATL_a3,act,agent,1650,1700,0.571429,0.513553,14,0.296923,0.845934
ATL_a3,act,agent,1700,1750,0.518571,0.504043,14,0.249149,0.787994
ATL_a3,act,agent,1750,1800,0.462857,0.490140,14,0.200866,0.724848
ATL_a3,act,agent,1800,1850,0.538462,0.518875,13,0.250642,0.826281
ATL_a3,act,agent,1850,1900,0.535385,0.442655,13,0.289844,0.780926
ATL_a3,act,agent,1900,1950,0.580000,0.493153,13,0.306448,0.853552
ATL_a3,act,agent,1950,2000,0.600000,0.516398,10,0.273401,0.926599
ATL_a3,act,agent,2000,2050,0.636000,0.475703,10,0.335139,0.936861
ATL_a3,act,agent,2050,2100,0.600000,0.516398,10,0.273401,0.926599
ATL_a3,act,agent,2100,2150,0.600000,0.516398,10,0.273401,0.926599
ATL_a3,act,agent,2150,2200,0.552000,0.481774,10,0.247299,0.856701
ATL_a3,act,agent,2200,2250,0.563876,0.463154,9,0.255106,0.872646
ATL_a3,act,agent,2250,2300,0.517500,0.517846,8,0.151328,0.883672
ATL_a3,act,agent,2300,2350,0.625000,0.517549,8,0.259037,0.990963
ATL_a3,act,agent,2350,2400,0.454286,0.514421,7,0.065420,0.843151
ATL_a3,act,agent,2400,2450,0.626667,0.494233,6,0.223127,1.000000
ATL_a3,act,agent,2450,2500,0.666667,0.516398,6,0.245030,1.000000
ATL_a3,act,agent,2500,2550,0.600000,0.547723,5,0.110102,1.000000
ATL_a3,act,agent,2550,2600,0.600000,0.547723,5,0.110102,1.000000
ATL_a3,act,agent,2600,2650,0.600000,0.547723,5,0.110102,1.000000
ATL_a3,act,agent,2650,2700,0.600000,0.547723,5,0.110102,1.000000
ATL_a3,act,agent,2700,2750,0.600000,0.547723,5,0.110102,1.000000
ATL_a3,act,agent,2750,2800,0.676000,0.463552,5,0.261387,1.000000
ATL_a3,act,agent,2800,2850,0.884000,0.259384,5,0.652000,1.000000
ATL_a3,act,agent,2850,2900,0.910000,0.132162,4,0.777838,1.000000
ATL_a3,act,agent,2900,2950,0.555000,0.521632,4,0.033368,1.000000
ATL_a3,act,agent,2950,3000,0.400000,0.425519,4,0.000000,0.825519
ATL_a3,act,agent,3000,3050,0.690000,0.473709,4,0.216291,1.000000
ATL_a3,act,agent,3050,3100,0.635000,0.475640,4,0.159360,1.000000
ATL_a3,act,agent,3100,3150,0.500000,0.577350,4,0.000000,1.000000
ATL_a3,act,agent,3150,3200,0.666667,0.577350,3,0.000000,1.000000
ATL_a3,act,agent,3200,3250,0.666667,0.577350,3,0.000000,1.000000
ATL_a3,act,agent,3250,3300,0.500000,0.707107,2,0.000000,1.000000
ATL_a3,act,agent,3300,3350,0.500000,0.707107,2,0.000000,1.000000
ATL_a3,act,agent,3350,3400,0.500000,0.707107,2,0.000000,1.000000
ATL_a3,act,agent,3400,3450,0.500000,0.707107,2,0.000000,1.000000
ATL_a3,act,agent,3450,3500,0.500000,0.707107,2,0.000000,1.000000
ATL_a3,act,patient,0,50,0.471765,0.491684,17,0.233263,0.710266
ATL_a3,act,patient,50,100,0.371765,0.484307,17,0.136841,0.606688
ATL_a3,act,patient,100,150,0.352941,0.492592,17,0.113999,0.591883
ATL_a3,act,patient,150,200,0.365882,0.481755,17,0.132197,0.599568
ATL_a3,act,patient,200,250,0.510588,0.487192,17,0.274265,0.746911
