participant,item,type,condition,word_order,sol,time_bin_start_ms,time_bin_end_ms,agent_prop,patient_prop,n_samples
ATL_a3,1,act,none,APV,1792.000000,0,50,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,50,100,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,100,150,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,150,200,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,200,250,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,250,300,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,300,350,0.680000,0.320000,50
ATL_a3,1,act,none,APV,1792.000000,350,400,0.000000,1.000000,50
ATL_a3,1,act,none,APV,1792.000000,400,450,0.000000,1.000000,50
ATL_a3,1,act,none,APV,1792.000000,450,500,0.000000,1.000000,50
ATL_a3,1,act,none,APV,1792.000000,500,550,0.000000,1.000000,50
ATL_a3,1,act,none,APV,1792.000000,550,600,0.000000,1.000000,50
ATL_a3,1,act,none,APV,1792.000000,600,650,0.000000,1.000000,50
ATL_a3,1,act,none,APV,1792.000000,650,700,0.000000,1.000000,50
ATL_a3,1,act,none,APV,1792.000000,700,750,0.000000,1.000000,50
ATL_a3,1,act,none,APV,1792.000000,750,800,0.440000,0.560000,50
ATL_a3,1,act,none,APV,1792.000000,800,850,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,850,900,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,900,950,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,950,1000,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,1000,1050,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,1050,1100,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,1100,1150,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,1150,1200,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,1200,1250,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,1250,1300,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,1300,1350,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,1350,1400,1.000000,0.000000,50
ATL_a3,1,act,none,APV,1792.000000,1400,1450,1.000000,0.000000,50
