participant,item,type,condition,word_order,sol,reaches_3500ms,last_available_sample_ms_1based,n_extracted_samples
ATL_a3,1,act,none,APV,1792.000000,no,1793,1793
ATL_a3,10,act,none,APV,1641.000000,no,1642,1642
ATL_a3,12,act,P,APV,4312.000000,yes,3500,3500
ATL_a3,13,act,none,APV,3214.000000,no,3215,3215
ATL_a3,14,act,A,APV,2474.000000,no,2475,2475
ATL_a3,15,pass,P,PAV,1738.000000,no,1739,1739
ATL_a3,16,act,none,APV,3504.000000,yes,3500,3500
ATL_a3,17,act,A,APV,1919.000000,no,1920,1920
ATL_a3,18,pass,P,PAV,2200.000000,no,2201,2201
ATL_a3,19,act,none,APV,2160.000000,no,2161,2161
ATL_a3,2,act,A,APV,1900.000000,no,1901,1901
ATL_a3,20,act,A,APV,2397.000000,no,2398,2398
ATL_a3,21,pass,P,PAV,2250.000000,no,2251,2251
ATL_a3,22,act,none,APV,2340.000000,no,2341,2341
ATL_a3,23,pass,A,PAV,2696.000000,no,2697,2697
ATL_a3,24,pass,P,PAV,3716.000000,yes,3500,3500
ATL_a3,3,act,P,APV,2830.000000,no,2831,2831
ATL_a3,4,act,none,APV,1912.000000,no,1913,1913
ATL_a3,5,act,A,APV,1505.000000,no,1506,1506
ATL_a3,6,act,P,APV,3120.000000,no,3121,3121
ATL_a3,7,act,none,APV,1531.000000,no,1532,1532
ATL_a3,9,act,P,APV,2242.000000,no,2243,2243
ATL_b2,1,pass,P,PAV,2418.000000,no,2419,2419
ATL_b2,10,pass,P,PAV,2084.000000,no,2085,2085
ATL_b2,12,act,A,APV,3225.000000,no,3226,3226
ATL_b2,13,act,P,APV,4230.000000,yes,3500,3500
ATL_b2,14,act,none,APV,1934.000000,no,1935,1935
ATL_b2,15,act,A,APV,2081.000000,no,2082,2082
ATL_b2,16,act,P,APV,2842.000000,no,2843,2843
ATL_b2,17,act,none,APV,1500.000000,no,1501,1501
ATL_b2,18,act,A,APV,1835.000000,no,1836,1836
ATL_b2,19,act,P,APV,1714.000000,no,1715,1715
ATL_b2,2,act,none,APV,2614.000000,no,2615,2615
ATL_b2,20,act,none,APV,2315.000000,no,2316,2316
ATL_b2,21,act,A,APV,3335.000000,no,3336,3336
ATL_b2,22,pass,P,PAV,3563.000000,yes,3500,3500
ATL_b2,23,act,none,APV,2709.000000,no,2710,2710
ATL_b2,24,act,A,APV,1943.000000,no,1944,1944
ATL_b2,3,act,A,APV,2649.000000,no,2650,2650
ATL_b2,4,act,P,APV,3088.000000,no,3089,3089
ATL_b2,5,act,none,APV,3730.000000,yes,3500,3500
ATL_b2,6,act,A,APV,2247.000000,no,2248,2248
ATL_b2,7,act,P,APV,2061.000000,no,2062,2062
GVD_a2,1,pass,P,AV,1410.000000,no,1411,1411
GVD_a2,10,pass,P,AP,1697.000000,no,1698,1698
GVD_a2,14,act,none,APV,6296.000000,yes,3500,3500
GVD_a2,15,act,A,PV,2043.000000,no,2044,2044
GVD_a2,2,act,none,APV,2604.000000,no,2605,2605
GVD_a2,23,act,none,APV,1909.000000,no,1910,1910
GVD_a2,24,act,A,APV,1527.000000,no,1528,1528
GVD_a2,3,act,A,APV,1377.000000,no,1378,1378
GVD_a2,4,pass,P,AV,1735.000000,no,1736,1736
GVD_a2,6,act,A,PV,1387.000000,no,1388,1388
GVD_a2,7,pass,P,AV,1445.000000,no,1446,1446
GVD_a2,9,act,A,APV,1451.000000,no,1452,1452
GVD_b3,11,act,A,PV,1447.000000,no,1448,1448
GVD_b3,13,act,none,APV,1144.000000,no,1145,1145
GVD_b3,18,pass,P,PAV,2075.000000,no,2076,2076
GVD_b3,24,pass,P,PAV,1546.000000,yes,3500,3500
GVD_b3,3,pass,P,AV,1261.000000,no,1262,1262
GVD_b3,4,act,none,APV,2799.000000,no,2800,2800
GVD_b3,6,pass,P,AV,1312.000000,no,1313,1313
GVD_b3,8,act,A,PV,2035.000000,no,2036,2036
GVD_b3,9,pass,P,APV,1829.000000,no,1830,1830
IEM_a1,1,act,A,APV,2361.000000,no,2362,2362
IEM_a1,10,act,A,APV,2298.000000,no,2299,2299
IEM_a1,12,act,none,APV,2371.000000,no,2372,2372
IEM_a1,13,act,A,APV,2903.000000,no,2904,2904
IEM_a1,14,act,P,APV,2046.000000,no,2047,2047
IEM_a1,16,act,A,APV,1710.000000,no,1711,1711
IEM_a1,19,act,A,APV,1822.000000,no,1823,1823
IEM_a1,2,pass,P,AV,1503.000000,no,1504,1504
IEM_a1,20,pass,P,PAV,2589.000000,no,2590,2590
IEM_a1,21,act,none,APV,2868.000000,no,2869,2869
IEM_a1,22,act,A,APV,1908.000000,no,1909,1909
IEM_a1,23,pass,P,APV,3133.000000,no,3134,3134
IEM_a1,24,act,none,APV,1348.000000,no,1349,1349
IEM_a1,3,act,none,APV,2258.000000,no,2259,2259
IEM_a1,5,act,P,APV,1900.000000,no,1901,1901
IEM_a1,6,act,none,APV,1699.000000,no,1700,1700
IEM_a1,7,act,A,APV,1992.000000,no,1993,1993
IEM_a1,8,pass,P,A-PAV,1977.000000,no,1978,1978
