time_from_display_ms,sample_ms_1based,item,type,cond,block,time,xp,yp,ps,who,agent,patient,ms,rev_ms,time_bin50,a_prop_50,p_prop_50,time_bin20,a_prop_20,p_prop_20,time_bin50_neg,a_prop_50n,p_prop_50n,time_bin20_neg,a_prop_20n,p_prop_20n,ppt_id,rep,wo,sol,time_start,time_end,tw,ppt.no
0,1,10,pass,A,37,1449669,873.6,454.5,726,a,1,0,1,5332,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
1,2,10,pass,A,37,1449670,873.2,453.6,723,a,1,0,2,5331,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
2,3,10,pass,A,37,1449671,873.1,452.6,722,a,1,0,3,5330,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
3,4,10,pass,A,37,1449672,873,451.4,721,a,1,0,4,5329,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
4,5,10,pass,A,37,1449673,872.9,450.2,721,a,1,0,5,5328,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
5,6,10,pass,A,37,1449674,873.7,449.6,720,a,1,0,6,5327,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
6,7,10,pass,A,37,1449675,874.4,449.2,720,a,1,0,7,5326,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
7,8,10,pass,A,37,1449676,875.2,448.7,719,a,1,0,8,5325,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
8,9,10,pass,A,37,1449677,875.5,448.8,719,a,1,0,9,5324,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
9,10,10,pass,A,37,1449678,876,448.6,720,a,1,0,10,5323,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
10,11,10,pass,A,37,1449679,876.6,447.7,720,a,1,0,11,5322,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
11,12,10,pass,A,37,1449680,876.7,446.8,720,a,1,0,12,5321,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
12,13,10,pass,A,37,1449681,876.8,445.4,720,a,1,0,13,5320,0,1,0,0,1,0,106,1,0,266,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
13,14,10,pass,A,37,1449682,876.6,444.6,724,a,1,0,14,5319,0,1,0,0,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
14,15,10,pass,A,37,1449683,875.8,443.9,728,a,1,0,15,5318,0,1,0,0,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
15,16,10,pass,A,37,1449684,875.1,443.8,731,a,1,0,16,5317,0,1,0,0,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
16,17,10,pass,A,37,1449685,874.4,443.8,731,a,1,0,17,5316,0,1,0,0,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
17,18,10,pass,A,37,1449686,874.5,443.9,730,a,1,0,18,5315,0,1,0,0,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
18,19,10,pass,A,37,1449687,874.6,444.2,731,a,1,0,19,5314,0,1,0,0,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
19,20,10,pass,A,37,1449688,874.9,444.8,731,a,1,0,20,5313,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
20,21,10,pass,A,37,1449689,875.6,445.2,732,a,1,0,21,5312,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
21,22,10,pass,A,37,1449690,876.2,445.5,732,a,1,0,22,5311,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
22,23,10,pass,A,37,1449691,876.7,445.5,733,a,1,0,23,5310,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
23,24,10,pass,A,37,1449692,876.5,445.8,734,a,1,0,24,5309,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
24,25,10,pass,A,37,1449693,876.1,446.1,734,a,1,0,25,5308,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
25,26,10,pass,A,37,1449694,875.7,446.3,734,a,1,0,26,5307,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
26,27,10,pass,A,37,1449695,875.4,446.1,735,a,1,0,27,5306,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
27,28,10,pass,A,37,1449696,875.4,445.9,735,a,1,0,28,5305,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
28,29,10,pass,A,37,1449697,875.3,445.9,734,a,1,0,29,5304,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
29,30,10,pass,A,37,1449698,875.3,446.1,734,a,1,0,30,5303,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
30,31,10,pass,A,37,1449699,875.4,444.6,734,a,1,0,31,5302,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
31,32,10,pass,A,37,1449700,875.8,441.9,733,a,1,0,32,5301,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
32,33,10,pass,A,37,1449701,876.1,439.2,733,a,1,0,33,5300,0,1,0,1,1,0,106,1,0,265,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
33,34,10,pass,A,37,1449702,876.2,438.2,732,a,1,0,34,5299,0,1,0,1,1,0,105,1,0,264,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
34,35,10,pass,A,37,1449703,875.6,438.2,731,a,1,0,35,5298,0,1,0,1,1,0,105,1,0,264,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
35,36,10,pass,A,37,1449704,875.1,438.1,729,a,1,0,36,5297,0,1,0,1,1,0,105,1,0,264,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
36,37,10,pass,A,37,1449705,874.8,437.9,728,a,1,0,37,5296,0,1,0,1,1,0,105,1,0,264,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
37,38,10,pass,A,37,1449706,875.1,437.7,727,a,1,0,38,5295,0,1,0,1,1,0,105,1,0,264,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
38,39,10,pass,A,37,1449707,874.9,437.6,727,a,1,0,39,5294,0,1,0,1,1,0,105,1,0,264,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
39,40,10,pass,A,37,1449708,874.4,436.4,726,a,1,0,40,5293,0,1,0,2,1,0,105,1,0,264,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
40,41,10,pass,A,37,1449709,873.8,435.2,725,a,1,0,41,5292,0,1,0,2,1,0,105,1,0,264,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
41,42,10,pass,A,37,1449710,873.6,433.8,725,a,1,0,42,5291,0,1,0,2,1,0,105,1,0,264,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
42,43,10,pass,A,37,1449711,873.3,433.5,727,a,1,0,43,5290,0,1,0,2,1,0,105,1,0,264,1,0,SLT_a1,ok,PVA,5331,1449669,1455000,0,11
