window_key,window,referent,time_rel,mean_prop,sd_prop,n_trial_bins,lower,upper
window1,"EEA, 100-600 ms",agent,0.000000,0.534138,0.502848,58,0.402084,0.666192
window1,"EEA, 100-600 ms",agent,0.100000,0.511379,0.479416,58,0.385478,0.637280
window1,"EEA, 100-600 ms",agent,0.200000,0.378621,0.445183,58,0.261710,0.495531
window1,"EEA, 100-600 ms",agent,0.300000,0.359655,0.460777,58,0.238649,0.480661
window1,"EEA, 100-600 ms",agent,0.400000,0.386897,0.477487,58,0.261502,0.512291
window1,"EEA, 100-600 ms",agent,0.500000,0.424483,0.469162,58,0.301275,0.547691
window1,"EEA, 100-600 ms",agent,0.600000,0.452414,0.482040,58,0.325824,0.579004
window1,"EEA, 100-600 ms",agent,0.700000,0.483103,0.485159,58,0.355694,0.610513
window1,"EEA, 100-600 ms",agent,0.800000,0.515517,0.502555,58,0.383540,0.647495
window1,"EEA, 100-600 ms",agent,0.900000,0.494828,0.486268,58,0.367127,0.622528
window1,"EEA, 100-600 ms",agent,1.000000,0.469310,0.486739,58,0.341486,0.597134
window1,"EEA, 100-600 ms",patient,0.000000,0.313103,0.465174,58,0.190943,0.435264
window1,"EEA, 100-600 ms",patient,0.100000,0.371724,0.459229,58,0.251125,0.492324
window1,"EEA, 100-600 ms",patient,0.200000,0.523103,0.461923,58,0.401797,0.644410
window1,"EEA, 100-600 ms",patient,0.300000,0.580690,0.478623,58,0.454997,0.706382
window1,"EEA, 100-600 ms",patient,0.400000,0.593793,0.479798,58,0.467792,0.719794
window1,"EEA, 100-600 ms",patient,0.500000,0.535862,0.470024,58,0.412428,0.659297
window1,"EEA, 100-600 ms",patient,0.600000,0.503793,0.485386,58,0.376325,0.631262
window1,"EEA, 100-600 ms",patient,0.700000,0.473793,0.480193,58,0.347688,0.599898
window1,"EEA, 100-600 ms",patient,0.800000,0.434828,0.496621,58,0.304409,0.565247
window1,"EEA, 100-600 ms",patient,0.900000,0.453448,0.484024,58,0.326337,0.580559
window1,"EEA, 100-600 ms",patient,1.000000,0.478276,0.495627,58,0.348118,0.608434
window2,Linguistic encoding I,agent,0.000000,0.469388,0.486638,58,0.341590,0.597185
window2,Linguistic encoding I,agent,0.050000,0.580000,0.476722,26,0.393014,0.766986
window2,Linguistic encoding I,agent,0.100000,0.565208,0.490636,48,0.423574,0.706843
window2,Linguistic encoding I,agent,0.150000,0.584681,0.477861,47,0.445274,0.724087
window2,Linguistic encoding I,agent,0.200000,0.689545,0.450911,44,0.553591,0.825500
window2,Linguistic encoding I,agent,0.250000,0.633958,0.466384,48,0.499325,0.768592
window2,Linguistic encoding I,agent,0.300000,0.662000,0.462727,45,0.524041,0.799959
window2,Linguistic encoding I,agent,0.350000,0.788000,0.401345,50,0.674483,0.901517
window2,Linguistic encoding I,agent,0.400000,0.779286,0.392350,42,0.658204,0.900368
window2,Linguistic encoding I,agent,0.450000,0.710612,0.447607,49,0.582725,0.838500
window2,Linguistic encoding I,agent,0.500000,0.774565,0.399164,46,0.656858,0.892272
window2,Linguistic encoding I,agent,0.550000,0.628333,0.464466,48,0.494253,0.762413
window2,Linguistic encoding I,agent,0.600000,0.497778,0.466887,36,0.342149,0.653407
window2,Linguistic encoding I,agent,0.650000,0.572549,0.485320,51,0.436632,0.708466
window2,Linguistic encoding I,agent,0.700000,0.546122,0.494393,49,0.404867,0.687378
window2,Linguistic encoding I,agent,0.750000,0.481395,0.469537,43,0.338188,0.624603
window2,Linguistic encoding I,agent,0.800000,0.532609,0.494240,46,0.386865,0.678352
window2,Linguistic encoding I,agent,0.850000,0.461250,0.501222,48,0.316560,0.605940
window2,Linguistic encoding I,agent,0.900000,0.444848,0.486176,47,0.303016,0.586680
window2,Linguistic encoding I,agent,0.950000,0.422500,0.489894,44,0.274791,0.570209
window2,Linguistic encoding I,agent,1.000000,0.393519,0.491567,48,0.251615,0.535422
window2,Linguistic encoding I,patient,0.000000,0.478184,0.495582,58,0.348038,0.608330
window2,Linguistic encoding I,patient,0.050000,0.381538,0.468322,26,0.197847,0.565229
window2,Linguistic encoding I,patient,0.100000,0.402292,0.490468,48,0.260706,0.543877
window2,Linguistic encoding I,patient,0.150000,0.400000,0.479420,47,0.260139,0.539861
window2,Linguistic encoding I,patient,0.200000,0.310455,0.450911,44,0.174500,0.446409
window2,Linguistic encoding I,patient,0.250000,0.331667,0.458858,48,0.199206,0.464127
window2,Linguistic encoding I,patient,0.300000,0.319556,0.458505,45,0.182856,0.456255
window2,Linguistic encoding I,patient,0.350000,0.212000,0.401345,50,0.098483,0.325517
window2,Linguistic encoding I,patient,0.400000,0.199048,0.378230,42,0.082323,0.315772
window2,Linguistic encoding I,patient,0.450000,0.215918,0.407124,49,0.099597,0.332239
window2,Linguistic encoding I,patient,0.500000,0.166957,0.358372,46,0.061278,0.272635
window2,Linguistic encoding I,patient,0.550000,0.248333,0.413230,48,0.129044,0.367623
window2,Linguistic encoding I,patient,0.600000,0.376944,0.457720,36,0.224371,0.529518
window2,Linguistic encoding I,patient,0.650000,0.382745,0.480533,51,0.248169,0.517321
