type,split,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act,less_than_mean,agent,0,0.393222,0.477060,239,0.331505,0.454939
act,less_than_mean,agent,50,0.377238,0.475897,239,0.315672,0.438805
act,less_than_mean,agent,100,0.379247,0.479041,239,0.317274,0.441220
act,less_than_mean,agent,150,0.403933,0.466829,239,0.343540,0.464326
act,less_than_mean,agent,200,0.459498,0.453520,239,0.400826,0.518169
act,less_than_mean,agent,250,0.462510,0.482463,239,0.400095,0.524926
act,less_than_mean,agent,300,0.493975,0.481682,239,0.431660,0.556290
act,less_than_mean,agent,350,0.514059,0.481276,239,0.451796,0.576321
act,less_than_mean,agent,400,0.539414,0.481644,239,0.477104,0.601724
act,less_than_mean,agent,450,0.558577,0.484370,239,0.495915,0.621240
act,less_than_mean,agent,500,0.549874,0.486893,239,0.486885,0.612863
act,less_than_mean,agent,550,0.555481,0.484794,239,0.492764,0.618199
act,less_than_mean,agent,600,0.570962,0.483466,239,0.508417,0.633508
act,less_than_mean,agent,650,0.617155,0.471228,239,0.556192,0.678117
act,less_than_mean,agent,700,0.619414,0.475686,239,0.557875,0.680953
act,less_than_mean,agent,750,0.642510,0.465734,239,0.582259,0.702762
act,less_than_mean,agent,800,0.640084,0.473643,239,0.578809,0.701359
act,less_than_mean,agent,850,0.635565,0.461629,239,0.575844,0.695285
act,less_than_mean,agent,900,0.617824,0.468796,239,0.557176,0.678472
act,less_than_mean,agent,950,0.604184,0.471075,239,0.543241,0.665127
act,less_than_mean,agent,1000,0.581004,0.480786,239,0.518805,0.643203
act,less_than_mean,agent,1050,0.589456,0.475797,239,0.527903,0.651010
act,less_than_mean,agent,1100,0.610042,0.477141,239,0.548314,0.671769
act,less_than_mean,agent,1150,0.623264,0.470502,239,0.562395,0.684132
act,less_than_mean,agent,1200,0.600586,0.468738,239,0.539945,0.661226
act,less_than_mean,agent,1250,0.583598,0.475884,239,0.522034,0.645163
act,less_than_mean,agent,1300,0.565272,0.489717,239,0.501918,0.628626
act,less_than_mean,agent,1350,0.571213,0.477762,239,0.509406,0.633021
act,less_than_mean,agent,1400,0.569707,0.483561,239,0.507149,0.632265
act,less_than_mean,agent,1450,0.558661,0.481937,239,0.496313,0.621009
act,less_than_mean,agent,1500,0.559079,0.482923,239,0.496604,0.621555
act,less_than_mean,agent,1550,0.558661,0.488470,239,0.495468,0.621854
act,less_than_mean,agent,1600,0.524100,0.487692,239,0.461008,0.587193
act,less_than_mean,agent,1650,0.490962,0.483883,239,0.428363,0.553562
act,less_than_mean,agent,1700,0.465690,0.489614,239,0.402349,0.529031
act,less_than_mean,agent,1750,0.449205,0.483724,239,0.386626,0.511784
act,less_than_mean,agent,1800,0.456736,0.488707,239,0.393513,0.519960
act,less_than_mean,agent,1850,0.452887,0.486529,239,0.389945,0.515829
act,less_than_mean,agent,1900,0.458326,0.487546,239,0.395253,0.521400
act,less_than_mean,agent,1950,0.450962,0.479189,239,0.388970,0.512955
act,less_than_mean,agent,2000,0.431715,0.485688,239,0.368882,0.494549
act,less_than_mean,agent,2050,0.403515,0.476233,239,0.341905,0.465125
act,less_than_mean,agent,2100,0.387364,0.478270,239,0.325491,0.449237
act,less_than_mean,agent,2150,0.380921,0.473220,239,0.319700,0.442141
act,less_than_mean,agent,2200,0.390795,0.470397,239,0.329940,0.451650
act,less_than_mean,agent,2250,0.364519,0.476475,239,0.302878,0.426160
act,less_than_mean,agent,2300,0.356318,0.473538,239,0.295057,0.417579
act,less_than_mean,agent,2350,0.352971,0.462748,239,0.293105,0.412836
act,less_than_mean,agent,2400,0.348285,0.467034,239,0.287865,0.408704
act,less_than_mean,agent,2450,0.330377,0.459725,239,0.270902,0.389851
act,less_than_mean,agent,2500,0.305021,0.450510,239,0.246739,0.363303
act,less_than_mean,agent,2550,0.281757,0.436112,239,0.225338,0.338177
act,less_than_mean,agent,2600,0.270544,0.430531,239,0.214846,0.326241
act,less_than_mean,agent,2650,0.257573,0.425181,239,0.202568,0.312579
act,less_than_mean,agent,2700,0.254644,0.426750,239,0.199436,0.309853
act,less_than_mean,agent,2750,0.241674,0.423083,239,0.186940,0.296408
act,less_than_mean,agent,2800,0.242092,0.418453,239,0.187957,0.296227
act,less_than_mean,agent,2850,0.243431,0.414096,239,0.189860,0.297002
act,less_than_mean,agent,2900,0.240921,0.420321,239,0.186544,0.295297
act,less_than_mean,agent,2950,0.231715,0.413251,239,0.178254,0.285177
act,less_than_mean,agent,3000,0.227782,0.410396,239,0.174690,0.280875
act,less_than_mean,agent,3050,0.227029,0.402948,239,0.174900,0.279158
act,less_than_mean,agent,3100,0.252971,0.426426,239,0.197804,0.308137
act,less_than_mean,agent,3150,0.266778,0.433926,239,0.210642,0.322915
act,less_than_mean,agent,3200,0.254812,0.427150,239,0.199552,0.310072
act,less_than_mean,agent,3250,0.276569,0.433462,239,0.220492,0.332646
act,less_than_mean,agent,3300,0.286360,0.442392,239,0.229128,0.343592
act,less_than_mean,agent,3350,0.304937,0.453595,239,0.246256,0.363619
act,less_than_mean,agent,3400,0.323849,0.461057,239,0.264203,0.383496
act,less_than_mean,patient,0,0.421841,0.481283,239,0.359578,0.484104
act,less_than_mean,patient,50,0.434059,0.486203,239,0.371159,0.496958
act,less_than_mean,patient,100,0.428870,0.487785,239,0.365766,0.491975
act,less_than_mean,patient,150,0.430042,0.475864,239,0.368480,0.491604
act,less_than_mean,patient,200,0.433138,0.452496,239,0.374599,0.491677
act,less_than_mean,patient,250,0.473138,0.485009,239,0.410393,0.535883
act,less_than_mean,patient,300,0.455816,0.481443,239,0.393532,0.518100
act,less_than_mean,patient,350,0.442678,0.479029,239,0.380706,0.504649
act,less_than_mean,patient,400,0.417071,0.475723,239,0.355527,0.478615
act,less_than_mean,patient,450,0.390879,0.474165,239,0.329536,0.452221
act,less_than_mean,patient,500,0.389038,0.478396,239,0.327148,0.450927
act,less_than_mean,patient,550,0.371632,0.467664,239,0.311130,0.432133
act,less_than_mean,patient,600,0.350795,0.466464,239,0.290449,0.411141
act,less_than_mean,patient,650,0.316653,0.449102,239,0.258553,0.374753
act,less_than_mean,patient,700,0.315230,0.455896,239,0.256251,0.374209
act,less_than_mean,patient,750,0.297238,0.441964,239,0.240062,0.354415
act,less_than_mean,patient,800,0.283096,0.444097,239,0.225644,0.340549
act,less_than_mean,patient,850,0.264100,0.427144,239,0.208841,0.319360
act,less_than_mean,patient,900,0.254310,0.419260,239,0.200070,0.308549
act,less_than_mean,patient,950,0.249791,0.420055,239,0.195449,0.304133
act,less_than_mean,patient,1000,0.270377,0.436525,239,0.213904,0.326849
act,less_than_mean,patient,1050,0.284937,0.438535,239,0.228204,0.341670
act,less_than_mean,patient,1100,0.271297,0.434420,239,0.215097,0.327498
act,less_than_mean,patient,1150,0.262678,0.429414,239,0.207125,0.318231
act,less_than_mean,patient,1200,0.277657,0.429369,239,0.222110,0.333204
act,less_than_mean,patient,1250,0.298326,0.441884,239,0.241160,0.355492
act,less_than_mean,patient,1300,0.315481,0.459323,239,0.256059,0.374903
act,less_than_mean,patient,1350,0.317406,0.454318,239,0.258631,0.376181
act,less_than_mean,patient,1400,0.306444,0.451675,239,0.248011,0.364876
act,less_than_mean,patient,1450,0.319079,0.450543,239,0.260793,0.377366
act,less_than_mean,patient,1500,0.326276,0.456791,239,0.267181,0.385371
act,less_than_mean,patient,1550,0.324184,0.458048,239,0.264927,0.383441
act,less_than_mean,patient,1600,0.353222,0.459374,239,0.293793,0.412651
act,less_than_mean,patient,1650,0.371967,0.470954,239,0.311040,0.432893
act,less_than_mean,patient,1700,0.385021,0.473728,239,0.323735,0.446307
act,less_than_mean,patient,1750,0.383682,0.473066,239,0.322482,0.444882
act,less_than_mean,patient,1800,0.370795,0.467529,239,0.310311,0.431279
act,less_than_mean,patient,1850,0.366778,0.475917,239,0.305209,0.428347
act,less_than_mean,patient,1900,0.380000,0.474822,239,0.318573,0.441427
act,less_than_mean,patient,1950,0.411715,0.471422,239,0.350728,0.472703
act,less_than_mean,patient,2000,0.417155,0.478989,239,0.355188,0.479121
act,less_than_mean,patient,2050,0.425356,0.483608,239,0.362792,0.487920
act,less_than_mean,patient,2100,0.432469,0.483259,239,0.369950,0.494988
act,less_than_mean,patient,2150,0.448703,0.482718,239,0.386254,0.511152
act,less_than_mean,patient,2200,0.451046,0.472574,239,0.389909,0.512183
act,less_than_mean,patient,2250,0.462092,0.490056,239,0.398694,0.525490
act,less_than_mean,patient,2300,0.454477,0.484856,239,0.391752,0.517202
act,less_than_mean,patient,2350,0.458577,0.474573,239,0.397182,0.519973
act,less_than_mean,patient,2400,0.443264,0.488690,239,0.380042,0.506485
act,less_than_mean,patient,2450,0.448954,0.487896,239,0.385835,0.512073
act,less_than_mean,patient,2500,0.477741,0.487204,239,0.414711,0.540770
act,less_than_mean,patient,2550,0.494812,0.487828,239,0.431702,0.557922
act,less_than_mean,patient,2600,0.513640,0.483290,239,0.451117,0.576163
act,less_than_mean,patient,2650,0.506695,0.485430,239,0.443895,0.569494
act,less_than_mean,patient,2700,0.494728,0.487464,239,0.431665,0.557791
act,less_than_mean,patient,2750,0.500251,0.483501,239,0.437701,0.562801
act,less_than_mean,patient,2800,0.487364,0.488447,239,0.424174,0.550554
act,less_than_mean,patient,2850,0.478159,0.480171,239,0.416040,0.540278
act,less_than_mean,patient,2900,0.515983,0.488583,239,0.452776,0.579191
act,less_than_mean,patient,2950,0.540000,0.483113,239,0.477500,0.602500
act,less_than_mean,patient,3000,0.554226,0.482520,239,0.491803,0.616649
act,less_than_mean,patient,3050,0.552050,0.479606,239,0.490004,0.614097
act,less_than_mean,patient,3100,0.548619,0.483789,239,0.486032,0.611207
act,less_than_mean,patient,3150,0.543431,0.486787,239,0.480456,0.606406
act,less_than_mean,patient,3200,0.532301,0.489573,239,0.468966,0.595637
act,less_than_mean,patient,3250,0.514644,0.485817,239,0.451795,0.577494
act,less_than_mean,patient,3300,0.513389,0.488092,239,0.450245,0.576533
act,less_than_mean,patient,3350,0.496318,0.491863,239,0.432686,0.559950
