type,word_order,split,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act,APV,less_than_mean,agent,0,0.372680,0.472517,194,0.304831,0.440530
act,APV,less_than_mean,agent,50,0.350206,0.472845,194,0.282310,0.418103
act,APV,less_than_mean,agent,100,0.357629,0.472625,194,0.289764,0.425494
act,APV,less_than_mean,agent,150,0.393711,0.465390,194,0.326885,0.460538
act,APV,less_than_mean,agent,200,0.462784,0.453681,194,0.397639,0.527928
act,APV,less_than_mean,agent,250,0.460619,0.479269,194,0.391799,0.529438
act,APV,less_than_mean,agent,300,0.498866,0.482700,194,0.429554,0.568178
act,APV,less_than_mean,agent,350,0.530309,0.479478,194,0.461460,0.599158
act,APV,less_than_mean,agent,400,0.567732,0.482794,194,0.498407,0.637057
act,APV,less_than_mean,agent,450,0.591134,0.478833,194,0.522378,0.659890
act,APV,less_than_mean,agent,500,0.570412,0.485095,194,0.500757,0.640068
act,APV,less_than_mean,agent,550,0.558660,0.482812,194,0.489332,0.627987
act,APV,less_than_mean,agent,600,0.574639,0.483086,194,0.505272,0.644006
act,APV,less_than_mean,agent,650,0.621649,0.469582,194,0.554221,0.689078
act,APV,less_than_mean,agent,700,0.617629,0.478656,194,0.548898,0.686360
act,APV,less_than_mean,agent,750,0.640412,0.467510,194,0.573282,0.707543
act,APV,less_than_mean,agent,800,0.636598,0.474545,194,0.568457,0.704739
act,APV,less_than_mean,agent,850,0.636289,0.461323,194,0.570046,0.702531
act,APV,less_than_mean,agent,900,0.629175,0.466641,194,0.562170,0.696181
act,APV,less_than_mean,agent,950,0.631237,0.468449,194,0.563972,0.698502
act,APV,less_than_mean,agent,1000,0.616701,0.474657,194,0.548544,0.684858
act,APV,less_than_mean,agent,1050,0.618763,0.469998,194,0.551275,0.686251
act,APV,less_than_mean,agent,1100,0.628041,0.475542,194,0.559757,0.696325
act,APV,less_than_mean,agent,1150,0.636907,0.465670,194,0.570041,0.703774
act,APV,less_than_mean,agent,1200,0.613918,0.464693,194,0.547191,0.680644
act,APV,less_than_mean,agent,1250,0.600722,0.472486,194,0.532877,0.668567
act,APV,less_than_mean,agent,1300,0.587113,0.486775,194,0.517217,0.657010
act,APV,less_than_mean,agent,1350,0.591031,0.475771,194,0.522714,0.659348
act,APV,less_than_mean,agent,1400,0.587216,0.479872,194,0.518311,0.656122
act,APV,less_than_mean,agent,1450,0.579897,0.479981,194,0.510976,0.648818
act,APV,less_than_mean,agent,1500,0.592062,0.477043,194,0.523563,0.660561
act,APV,less_than_mean,agent,1550,0.594330,0.483993,194,0.524833,0.663827
act,APV,less_than_mean,agent,1600,0.556186,0.486263,194,0.486362,0.626009
act,APV,less_than_mean,agent,1650,0.523918,0.485112,194,0.454259,0.593576
