sentence_type,window_key,window,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.000000,0.539989,0.489219,37,0.379135,0.700843
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.050000,0.363448,0.472896,29,0.187819,0.539077
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.100000,0.328750,0.451304,48,0.198470,0.459030
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.150000,0.405652,0.470436,46,0.266928,0.544376
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.200000,0.436087,0.487818,46,0.292237,0.579937
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.250000,0.505217,0.494025,46,0.359537,0.650898
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.300000,0.522083,0.491013,48,0.380340,0.663826
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.350000,0.440909,0.483513,44,0.295124,0.586694
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.400000,0.486667,0.478461,48,0.348547,0.624786
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.450000,0.543673,0.494986,49,0.402249,0.685098
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.500000,0.518182,0.476378,44,0.374548,0.661815
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.550000,0.548333,0.492408,48,0.406188,0.690479
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.600000,0.488333,0.478345,48,0.350247,0.626420
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.650000,0.578696,0.468063,46,0.440671,0.716720
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.700000,0.617674,0.483267,43,0.470279,0.765069
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.750000,0.609811,0.482184,53,0.477345,0.742278
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.800000,0.495814,0.484926,43,0.347913,0.643715
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.850000,0.497391,0.503192,46,0.349008,0.645774
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.900000,0.556667,0.489608,48,0.415329,0.698004
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.950000,0.479048,0.497819,42,0.325417,0.632678
direct,linguistic_encoding_1,Linguistic encoding I,agent,1.000000,0.446508,0.492437,54,0.312484,0.580532
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.000000,0.350248,0.474036,37,0.194386,0.506110
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.050000,0.455862,0.481289,29,0.277116,0.634608
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.100000,0.426667,0.473939,48,0.289852,0.563481
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.150000,0.356522,0.466177,46,0.219054,0.493990
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.200000,0.446087,0.480146,46,0.304500,0.587674
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.250000,0.427826,0.495374,46,0.281748,0.573904
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.300000,0.380417,0.486437,48,0.239994,0.520839
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.350000,0.345455,0.460644,44,0.206565,0.484344
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.400000,0.344167,0.465617,48,0.209755,0.478579
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.450000,0.326531,0.473804,49,0.191158,0.461903
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.500000,0.284091,0.445872,44,0.149656,0.418526
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.550000,0.225000,0.404096,48,0.108348,0.341652
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.600000,0.142500,0.333814,48,0.046136,0.238864
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.650000,0.237391,0.394915,46,0.120937,0.353845
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.700000,0.269302,0.441175,43,0.134745,0.403859
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.750000,0.265660,0.438518,53,0.145190,0.386131
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.800000,0.358140,0.477530,43,0.212494,0.503785
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.850000,0.413043,0.497821,46,0.266244,0.559843
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.900000,0.258750,0.423891,48,0.136383,0.381117
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.950000,0.356667,0.471343,42,0.211207,0.502126
direct,linguistic_encoding_1,Linguistic encoding I,patient,1.000000,0.285567,0.444507,54,0.164587,0.406546
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.000000,0.480541,0.494918,37,0.317812,0.643269
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.050000,0.416552,0.482318,29,0.237423,0.595680
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.100000,0.448333,0.495079,48,0.305416,0.591250
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.150000,0.432609,0.485311,46,0.289498,0.575719
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.200000,0.551304,0.482966,46,0.408885,0.693723
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.250000,0.566522,0.483672,46,0.423895,0.709149
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.300000,0.582083,0.474297,48,0.445166,0.719001
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.350000,0.639545,0.467701,44,0.498528,0.780563
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.400000,0.564167,0.493635,48,0.421666,0.706667
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.450000,0.494286,0.483839,49,0.356046,0.632525
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.500000,0.442727,0.493956,44,0.293794,0.591661
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.550000,0.573333,0.488930,48,0.432191,0.714475
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.600000,0.570000,0.492652,48,0.427784,0.712216
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.650000,0.610870,0.465918,46,0.473478,0.748261
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.700000,0.619070,0.485621,43,0.470957,0.767183
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.750000,0.693208,0.460985,53,0.566565,0.819850
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.800000,0.684186,0.451000,43,0.546632,0.821740
