asc_file,participant,asc_trials,clean_merged_trials,clean_candidate_bins
k01.asc,К01,76,0,0
k01_2.asc,К01,69,0,0
k02.asc,К02,71,0,0
k03.asc,К03,70,0,0
k03_2.asc,К03,70,0,0
k04.asc,К04,69,3,299
k04_1.asc,К04,68,1,83
k05.asc,К05,91,0,0
k06.asc,К06,67,0,0
k06_1.asc,К06,68,0,0
k07.asc,К07,77,1,127
k07_2.asc,К07,69,0,0
k08_2_p2.asc,К08,159,0,0
k09.asc,К09,67,0,0
k09_2.asc,К09,67,0,0
k10.asc,К10,74,0,0
k10_1.asc,К10,71,0,0
k11.asc,К11,71,0,0
k11_2.asc,К11,70,0,0
k13.asc,К13,73,3,421
k13_2.asc,К13,78,1,149
k14.asc,К14,88,24,2522
k14_1.asc,К14,72,20,2061
k15.asc,К15,111,0,0
k15_1.asc,К15,75,0,0
k15_2.asc,К15,69,0,0
k16.asc,К16,67,1,137
k16_2.asc,К16,70,2,190
k17.asc,К17,67,4,466
k17_1.asc,К17,67,4,376
k18.asc,К18,74,0,0
k18_2.asc,К18,75,0,0
k19.asc,К19,88,0,0
k19_1.asc,К19,78,0,0
k20.asc,К20,93,0,0
k20_2.asc,К20,94,0,0
k22.asc,К22,91,0,0
k22_1.asc,К22,85,0,0
k24.asc,К24,82,0,0
k24_1.asc,К24,84,4,548
k25.asc,К25,67,1,85
k25_2.asc,К25,72,0,0
