sentence_type,window_key,window,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.000000,0.452060,0.490946,53,0.317187,0.586933
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.050000,0.339412,0.466307,34,0.179470,0.499354
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.100000,0.328889,0.454891,63,0.214267,0.443511
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.150000,0.371475,0.467454,61,0.251773,0.491178
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.200000,0.409180,0.483964,61,0.285250,0.533111
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.250000,0.453333,0.482952,60,0.328636,0.578031
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.300000,0.451935,0.481765,62,0.329567,0.574304
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.350000,0.481356,0.486449,59,0.354695,0.608016
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.400000,0.514921,0.475652,63,0.395068,0.634774
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.450000,0.532923,0.496606,65,0.409730,0.656116
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.500000,0.560000,0.477742,55,0.431163,0.688837
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.550000,0.507463,0.486245,67,0.388654,0.626271
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.600000,0.443000,0.477377,60,0.319742,0.566258
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.650000,0.566774,0.470256,62,0.447329,0.686219
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.700000,0.553684,0.495338,57,0.422466,0.684902
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.750000,0.592941,0.487023,68,0.474821,0.711062
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.800000,0.487857,0.488391,56,0.357329,0.618385
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.850000,0.520952,0.500972,63,0.394719,0.647186
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.900000,0.588889,0.479419,63,0.468087,0.709691
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.950000,0.553793,0.495796,58,0.423591,0.683995
direct,linguistic_encoding_1,Linguistic encoding I,agent,1.000000,0.486116,0.495926,64,0.362135,0.610097
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.000000,0.452060,0.496090,53,0.315774,0.588347
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.050000,0.503529,0.482957,34,0.337876,0.669182
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.100000,0.467937,0.483609,63,0.346078,0.589795
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.150000,0.432787,0.486498,61,0.308207,0.557366
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.200000,0.483934,0.487207,61,0.359173,0.608695
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.250000,0.445000,0.489657,60,0.318571,0.571429
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.300000,0.437742,0.489658,62,0.313369,0.562115
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.350000,0.356610,0.464493,59,0.235666,0.477554
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.400000,0.352698,0.463149,63,0.235996,0.469401
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.450000,0.369231,0.486352,65,0.248582,0.489880
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.500000,0.281818,0.445791,55,0.161597,0.402039
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.550000,0.326866,0.451147,67,0.216633,0.437099
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.600000,0.260333,0.426932,60,0.150100,0.370567
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.650000,0.284516,0.426767,62,0.176117,0.392915
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.700000,0.361053,0.479262,57,0.234093,0.488012
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.750000,0.310000,0.460454,68,0.198323,0.421677
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.800000,0.398929,0.487374,56,0.268672,0.529185
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.850000,0.397143,0.492916,63,0.272940,0.521346
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.900000,0.252063,0.416724,63,0.147059,0.357068
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.950000,0.310000,0.456489,58,0.190120,0.429880
direct,linguistic_encoding_1,Linguistic encoding I,patient,1.000000,0.287362,0.446019,64,0.175858,0.398867
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.000000,0.601887,0.481939,53,0.469488,0.734286
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.050000,0.443529,0.487951,34,0.276164,0.610895
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.100000,0.542857,0.492929,63,0.418651,0.667064
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.150000,0.506557,0.492527,61,0.380434,0.632681
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.200000,0.606885,0.473397,61,0.485661,0.728110
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.250000,0.616333,0.475594,60,0.493535,0.739131
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.300000,0.611935,0.472516,62,0.491916,0.731955
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.350000,0.663390,0.463080,59,0.542814,0.783966
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.400000,0.595556,0.483314,63,0.473772,0.717339
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.450000,0.559385,0.482325,65,0.439735,0.679035
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.500000,0.499636,0.497884,55,0.365367,0.633906
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.550000,0.628060,0.475115,67,0.511971,0.744149
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.600000,0.589333,0.489960,60,0.462826,0.715840
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.650000,0.659355,0.453199,62,0.544242,0.774468
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.700000,0.677544,0.467089,57,0.553809,0.801279
