participant,item,rt,fluency,sentence_type,word_order,direct
К01,call-1-1-r.png,1353,yes,direct,AVP,1
К01,break-2-2-r.png,1288,yes,inverse,AVP,0
К01,feed-1-2-l.png,1340,yes,direct,AVP,1
К01,eat-2-1-l.png,1678,yes,inverse,AVP,0
К01,wake-2-2-r.png,2861,yes,inverse,AVP,0
К01,pick-1-1-r.png,2056,yes,direct,AVP,1
К01,makelaugh-2-1-l.png,3515,yes,inverse,AVP,0
К01,carry-1-2-l.png,2097,yes,direct,AVP,1
К01,teach-1-1-r.png,3168,yes,direct,AVP,1
К01,open-2-2-r.png,1752,yes,inverse,AVP,0
К01,dress-1-2-l.png,1623,yes,direct,AVP,1
К01,throw-2-1-l.png,1420,yes,inverse,AVP,0
К01,cover-1-1-r.png,2224,yes,direct,AVP,1
К01,wash-2-1-l.png,2249,yes,inverse,AVP,0
К01,paint-1-2-l.png,1275,yes,direct,AVP,1
К01,give_water-1-1-r.png,2844,yes,direct,AVP,1
К01,clean-2-2-r.png,1634,yes,inverse,AVP,0
К01,push-1-2-l.png,2362,yes,direct,AVP,1
К01,water-2-1-l.png,2535,yes,inverse,AVP,0
К01,pour-2-2-r.png,2561,yes,inverse,AVP,0
К01,plant-1-1-r.png,1495,yes,direct,AVP,1
К01,tie-2-1-l.png,3727,yes,inverse,AVP,0
К01,boil-1-2-l.png,4037,yes,direct,AVP,1
К01,shoot-1-1-r.png,2061,yes,direct,AVP,1
К01,hang-2-2-r.png,2297,yes,inverse,AVP,0
К01,treat-1-2-l.png,2791,yes,direct,AVP,1
К01,pull-2-1-l.png,2163,yes,inverse,AVP,0
К01,saw-1-2-l.png,1589,yes,direct,AVP,1
К01,give_water-2-1-l.png,2620,yes,inverse,AVP,0
К01,break-1-2-l.png,1551,yes,direct,AVP,1
К01,push-2-2-r.png,2297,yes,inverse,AVP,0
К01,eat-1-1-r.png,2007,yes,direct,AVP,1
К01,pour-1-2-l.png,1754,yes,direct,AVP,1
К01,pick-2-1-l.png,3464,yes,inverse,AVP,0
К01,tie-1-1-r.png,2241,yes,direct,AVP,1
К01,carry-2-2-r.png,2677,yes,direct,AVP,1
К01,call-2-1-l.png,1542,yes,inverse,AVP,0
К01,clean-1-2-l.png,1299,yes,direct,AVP,1
К01,feed-2-2-r.png,1606,yes,inverse,AVP,0
К01,water-1-1-r.png,1806,yes,direct,AVP,1
К01,wake-1-2-l.png,4232,yes,direct,AVP,1
К01,plant-2-1-l.png,2218,yes,inverse,AVP,0
К01,makelaugh-1-1-r.png,2279,yes,direct,AVP,1
К01,teach-2-1-l.png,2411,yes,inverse,AVP,0
К01,hang-1-2-l.png,1807,yes,direct,AVP,1
К01,dress-2-2-r.png,1293,yes,inverse,AVP,0
К01,pull-1-1-r.png,1627,yes,direct,AVP,1
К01,cut_hair-1-2-l.png,1307,yes,direct,AVP,1
К01,burn-2-1-l.png,1529,yes,inverse,AVP,0
К01,wash-1-1-r.png,1052,yes,direct,AVP,1
К01,saw-2-2-r.png,3049,yes,inverse,AVP,0
К01,shoot-2-1-l.png,1707,yes,inverse,AVP,0
К01,open-1-2-l.png,1486,yes,direct,AVP,1
