contrast_id,comparison,model,term,estimate,estimate_error,q2.5,q97.5,rhat,bulk_ess,tail_ess
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,Intercept,0.9737774543177657,0.34669627054903634,0.30536952842791504,1.6582860022593877,1.0031366284766434,1160.1904522717148,1770.0422941641268
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ31,29.848930820148393,9.952545368555306,10.9181513110113,49.65394479388222,1.0030951779705217,2191.081358235504,2754.589414248184
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ32,-0.816861667777462,8.623198078205087,-17.816293195849468,15.586815510503024,1.0002445807081268,2703.1925210379936,2683.353306210322
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ33,-10.975554243377983,6.293598341649325,-24.175833867572855,0.6059028577857244,1.0001309213974856,2896.846598963954,2960.7253060081416
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,contrast_code,0.21055214158130686,0.15296496556109862,-0.0835149234638594,0.5235604386331838,1.0007984292748568,2239.3673594868137,2804.6599352658313
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ31:contrast_code,-4.542889339561939,9.915764115622686,-24.13472832366771,14.729623782189096,1.0004067536202106,2218.3636423937114,2444.462463104768
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ32:contrast_code,-4.962037482287745,9.641307966588753,-23.751187935871197,14.633031334066128,1.0018020113603203,2201.388250122758,2570.735272854843
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ33:contrast_code,-5.709514295166829,6.893617503144678,-18.90912549243706,8.870084788553056,1.0006748948899626,2346.9672183678736,2683.2658020108893
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,Intercept,-2.1013881636263547,0.3876991490309843,-2.8876895754002643,-1.3331318851745815,1.0057705501458831,1105.4617008992163,1664.1596735070243
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ31,-30.545269779792342,14.789191794811718,-59.35439444280556,-1.5844933450654743,1.0006351162420535,2533.945236546235,2858.9858992233926
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ32,-1.0207806222501112,9.816207173945212,-20.56156890476848,17.756462581750476,1.0011014856562046,2343.5904498331706,2646.4822804546507
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ33,5.746163640232149,6.571218080473289,-6.473897173681877,19.481567345927893,1.0010101253856645,2223.2867026279496,3036.919196848985
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,contrast_code,-0.11629463116531093,0.18616397051838254,-0.4938414447295621,0.24063959123614062,1.0014063100960446,2310.828055244194,2398.453073717575
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ31:contrast_code,-3.058010948513532,13.394218733817258,-29.202022866326875,23.956281530841174,1.0033715557225389,2384.443941965337,2639.76855164305
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ32:contrast_code,7.441903817400998,11.47405358622269,-15.211773775081234,29.71307894309722,1.0013627741948705,2337.543997297294,2437.0119343398187
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ33:contrast_code,-3.456731790241112,8.342242395519127,-20.183848583554255,12.774936332930453,1.0011165047347685,2965.1646904650493,3137.5964453855454
