contrast_id,comparison,model,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0,full_difference_estimate,full_difference_ci_95_lower,full_difference_ci_95_upper
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,Intercept,1.2536463489923402,0.6853493735855214,1.9128519578002017,1,NA,NA,NA
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ31,43.58816363049949,19.52834557590872,68.17040190730164,0.99975,NA,NA,NA
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ32,-2.921087824517035,-23.29827985200025,17.16370231144485,0.38725,NA,NA,NA
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ33,-9.33449695763479,-19.430278964922785,0.4197652195872965,0.028,NA,NA,NA
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,contrast_code,0.059950500273422656,-0.4638244043510552,0.5904115438814888,0.59725,0.11990100054684531,-0.9276488087021104,1.1808230877629775
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ31:contrast_code,-19.553989553713134,-39.59522608903662,-0.34661358046158797,0.02375,-39.10797910742627,-79.19045217807324,-0.6932271609231759
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ32:contrast_code,-1.6802708458686362,-20.420812046352577,17.66171883606493,0.42725,-3.3605416917372724,-40.84162409270515,35.32343767212986
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ33:contrast_code,-5.564877850505451,-14.968878730892902,3.694410189742311,0.124,-11.129755701010902,-29.937757461785804,7.388820379484622
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,Intercept,-2.4712502659823916,-3.242108485489095,-1.7308488713380992,0,NA,NA,NA
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ31,-39.747244914992976,-70.07896873448645,-9.984013902796239,0.007,NA,NA,NA
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ32,8.291381734551003,-15.814673730887199,33.0114337885728,0.74975,NA,NA,NA
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ33,3.3263117274451073,-8.865487738515316,15.80675102646393,0.69975,NA,NA,NA
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,contrast_code,0.05992298043620806,-0.5433427502382372,0.649648313254002,0.58575,0.11984596087241613,-1.0866855004764744,1.299296626508004
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ31:contrast_code,13.2506627793663,-8.982785280230921,35.69138262884768,0.88975,26.5013255587326,-17.965570560461842,71.38276525769535
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ32:contrast_code,0.1473041746258561,-21.064407206037103,20.133831515906383,0.51475,0.2946083492517122,-42.128814412074206,40.267663031812766
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ33:contrast_code,-1.6578004651170575,-15.276459980294074,10.967630276498964,0.39825,-3.315600930234115,-30.55291996058815,21.935260552997928
