contrast_id,comparison,model,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0,full_difference_estimate,full_difference_ci_95_lower,full_difference_ci_95_upper
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,agent_looks,Intercept,0.1504501464412886,-0.7059839730025187,0.9725378480911274,0.646,NA,NA,NA
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,agent_looks,polytimedegreeEQ31,-30.919507935070595,-54.7002506651947,-8.087046860996642,0.006,NA,NA,NA
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,agent_looks,polytimedegreeEQ32,-1.0857428910772648,-13.94020488964458,11.545297246838956,0.43375,NA,NA,NA
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,agent_looks,polytimedegreeEQ33,-2.1284882882424725,-12.066858169798968,8.054800616266363,0.331,NA,NA,NA
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,agent_looks,contrast_code,-0.40501195597755046,-1.1108545811437034,0.2815547128424167,0.1255,-0.8100239119551009,-2.221709162287407,0.5631094256848334
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,agent_looks,polytimedegreeEQ31:contrast_code,-0.45918205477199436,-19.176222985457432,18.950379651576718,0.476,-0.9183641095439887,-38.352445970914864,37.900759303153436
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,agent_looks,polytimedegreeEQ32:contrast_code,0.35911205991833695,-12.430981645670778,13.060096984627974,0.525,0.7182241198366739,-24.861963291341556,26.120193969255947
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,agent_looks,polytimedegreeEQ33:contrast_code,-1.6791738702959556,-9.959575960661134,6.383002279440148,0.33675,-3.358347740591911,-19.919151921322268,12.766004558880296
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,patient_looks,Intercept,-1.426660595154117,-2.41198479301507,-0.46416109430335867,0.002,NA,NA,NA
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,patient_looks,polytimedegreeEQ31,27.11006775955927,10.02664271341052,44.84752176711151,0.99875,NA,NA,NA
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,patient_looks,polytimedegreeEQ32,-7.55007277224495,-14.39454078441073,-1.1501605508117267,0.0105,NA,NA,NA
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,patient_looks,polytimedegreeEQ33,5.27724419052492,-3.17367903951099,13.667630588245718,0.89625,NA,NA,NA
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,patient_looks,contrast_code,0.29915049087515044,-0.3529917564218809,0.9145551951215426,0.828,0.5983009817503009,-0.7059835128437618,1.8291103902430852
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,patient_looks,polytimedegreeEQ31:contrast_code,-4.442859244680909,-19.19120469097507,9.499196209630382,0.27325,-8.885718489361818,-38.38240938195014,18.998392419260764
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,patient_looks,polytimedegreeEQ32:contrast_code,-5.955815006429721,-17.956193018250026,6.0113055000235445,0.1585,-11.911630012859442,-35.91238603650005,12.022611000047089
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,patient_looks,polytimedegreeEQ33:contrast_code,1.4521162504939664,-5.8453762758681735,8.895593235282204,0.6585,2.904232500987933,-11.690752551736347,17.79118647056441
