contrast_id,comparison,model,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0,full_difference_estimate,full_difference_ci_95_lower,full_difference_ci_95_upper
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,Intercept,-1.0110275578113517,-2.115610295866045,0.050153935996458204,0.03025,NA,NA,NA
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ31,-21.931368657139174,-42.97544049098236,-0.5790142741151552,0.02175,NA,NA,NA
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ32,4.630224162104014,-11.114989533495631,21.449273677770076,0.7115,NA,NA,NA
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ33,-6.140098283110786,-17.02095076732104,4.258932363162989,0.11125,NA,NA,NA
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,contrast_code,-0.17425116914984992,-0.564966706953399,0.20432173790289404,0.18875,-0.34850233829969984,-1.129933413906798,0.4086434758057881
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ31:contrast_code,10.914767067589208,-13.191789287492623,33.703024857849925,0.826,21.829534135178417,-26.383578574985247,67.40604971569985
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ32:contrast_code,-13.441933671481996,-30.558598889343664,3.189626813590722,0.0565,-26.883867342963992,-61.11719777868733,6.379253627181444
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,agent_looks,polytimedegreeEQ33:contrast_code,-5.651656846719194,-15.678512142098604,4.070411526008988,0.11775,-11.303313693438389,-31.35702428419721,8.140823052017977
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,Intercept,-0.2082823295192247,-1.0231336049030852,0.633815825743074,0.29775,NA,NA,NA
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ31,19.344852477332175,2.363169346315779,37.198965018710766,0.984,NA,NA,NA
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ32,-5.228168285826968,-17.1335317783918,6.366376809420949,0.18175,NA,NA,NA
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ33,18.22241902478566,9.327030633767977,26.742250245714125,0.9995,NA,NA,NA
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,contrast_code,0.06684001678822765,-0.4561602107069817,0.5509172235608526,0.628,0.1336800335764553,-0.9123204214139634,1.1018344471217052
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ31:contrast_code,-6.93958945218648,-25.59075538862021,10.26139328279163,0.22875,-13.87917890437296,-51.18151077724042,20.52278656558326
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ32:contrast_code,1.1545018807929452,-12.667928889220898,15.719652319134788,0.56025,2.3090037615858905,-25.335857778441795,31.439304638269576
direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,patient_looks,polytimedegreeEQ33:contrast_code,7.754143620186083,-3.7288890474931518,19.580080856888976,0.9085,15.508287240372166,-7.4577780949863035,39.16016171377795
