contrast_id,comparison,model,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0,full_difference_estimate,full_difference_ci_95_lower,full_difference_ci_95_upper
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,agent_looks,Intercept,0.8930498022404344,0.04001013341225332,1.778654494665557,0.98025,NA,NA,NA
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,agent_looks,polytimedegreeEQ31,-24.21951818281511,-44.54395031950953,-3.7913088941756796,0.01075,NA,NA,NA
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,agent_looks,polytimedegreeEQ32,-1.92964091442908,-16.2365394354671,11.801679898422439,0.40175,NA,NA,NA
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,agent_looks,polytimedegreeEQ33,0.13173494756051216,-8.021495278165592,8.451563258134168,0.516,NA,NA,NA
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,agent_looks,contrast_code,-0.1790741358981302,-0.7260095432843419,0.36906139623341977,0.248,-0.3581482717962604,-1.4520190865686837,0.7381227924668395
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,agent_looks,polytimedegreeEQ31:contrast_code,-5.845523785793664,-28.11506048488378,17.51735531289946,0.294,-11.691047571587328,-56.23012096976756,35.03471062579892
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,agent_looks,polytimedegreeEQ32:contrast_code,2.968478076540264,-10.61779334725371,16.94819592441895,0.67025,5.936956153080528,-21.23558669450742,33.8963918488379
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,agent_looks,polytimedegreeEQ33:contrast_code,-1.0863116311443013,-11.949255035328779,9.654115834430701,0.42175,-2.1726232622886026,-23.898510070657558,19.308231668861403
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,patient_looks,Intercept,-2.0001068283609524,-2.820582504321686,-1.1914733481335242,0,NA,NA,NA
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,patient_looks,polytimedegreeEQ31,29.064842728209992,11.594571122470533,45.817691210142144,0.999,NA,NA,NA
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,patient_looks,polytimedegreeEQ32,-5.174484415429824,-20.721130876416954,10.618431813415482,0.24875,NA,NA,NA
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,patient_looks,polytimedegreeEQ33,6.754941401361646,-1.5618766296261128,14.671623407312733,0.948,NA,NA,NA
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,patient_looks,contrast_code,0.33810814977688397,-0.39056564697778673,1.0585310276562447,0.81575,0.6762162995537679,-0.7811312939555735,2.1170620553124895
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,patient_looks,polytimedegreeEQ31:contrast_code,2.469941921567186,-17.69532791207905,22.867548466748943,0.594,4.939883843134372,-35.3906558241581,45.735096933497886
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,patient_looks,polytimedegreeEQ32:contrast_code,2.4654788791769597,-6.520919388130573,10.745954037494325,0.73425,4.9309577583539195,-13.041838776261146,21.49190807498865
inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,patient_looks,polytimedegreeEQ33:contrast_code,-2.370646956102772,-9.5394721969437,4.959336238371225,0.25925,-4.741293912205544,-19.0789443938874,9.91867247674245
