window_key,window,participant,asc_file,block,image,sentence_type,patient_animacy,agent_num,patient_num,condition_key,condition,filename_suffix,rt,time_bin50,time_rel,agent_prop,patient_prop,n_samples,item,time,N,agent.sum,pat.sum,log.agent,wts.agent,log.pat,wts.pat,contrast_code,participant_condition
linguistic_encoding_1,Linguistic encoding I,К01,k01_2.asc,27,boil-2-1-l.png,inverse,inanimate,2,1,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2225,12,0,0.469388,0,49,boil-2-1-l.png,0,49,23,0,-0.12014431184206321,0.08028904054596547,-4.59511985013459,2.0202020202020203,1,К01.inverse_2_agents_1_patient
linguistic_encoding_1,Linguistic encoding I,К01,k01_2.asc,27,boil-2-1-l.png,inverse,inanimate,2,1,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2225,13,0.1,0,0,50,boil-2-1-l.png,0.1,50,0,0,-4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802,1,К01.inverse_2_agents_1_patient
linguistic_encoding_1,Linguistic encoding I,К01,k01_2.asc,27,boil-2-1-l.png,inverse,inanimate,2,1,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2225,14,0.15,0,0,50,boil-2-1-l.png,0.15,50,0,0,-4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802,1,К01.inverse_2_agents_1_patient
linguistic_encoding_1,Linguistic encoding I,К01,k01_2.asc,27,boil-2-1-l.png,inverse,inanimate,2,1,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2225,15,0.2,0.8,0,50,boil-2-1-l.png,0.2,50,40,0,1.349926716949016,0.11992945326278659,-4.61512051684126,2.01980198019802,1,К01.inverse_2_agents_1_patient
linguistic_encoding_1,Linguistic encoding I,К01,k01_2.asc,27,boil-2-1-l.png,inverse,inanimate,2,1,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2225,16,0.25,1,0,50,boil-2-1-l.png,0.25,50,50,0,4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802,1,К01.inverse_2_agents_1_patient
linguistic_encoding_1,Linguistic encoding I,К01,k01_2.asc,27,boil-2-1-l.png,inverse,inanimate,2,1,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2225,17,0.35,1,0,50,boil-2-1-l.png,0.35,50,50,0,4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802,1,К01.inverse_2_agents_1_patient
linguistic_encoding_1,Linguistic encoding I,К01,k01_2.asc,27,boil-2-1-l.png,inverse,inanimate,2,1,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2225,18,0.4,1,0,50,boil-2-1-l.png,0.4,50,50,0,4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802,1,К01.inverse_2_agents_1_patient
linguistic_encoding_1,Linguistic encoding I,К01,k01_2.asc,27,boil-2-1-l.png,inverse,inanimate,2,1,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2225,19,0.45,0.14,0,50,boil-2-1-l.png,0.45,50,7,0,-1.7578579175523736,0.15632183908045977,-4.61512051684126,2.01980198019802,1,К01.inverse_2_agents_1_patient
linguistic_encoding_1,Linguistic encoding I,К01,k01_2.asc,27,boil-2-1-l.png,inverse,inanimate,2,1,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2225,20,0.5,0,0,50,boil-2-1-l.png,0.5,50,0,0,-4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802,1,К01.inverse_2_agents_1_patient
linguistic_encoding_1,Linguistic encoding I,К01,k01_2.asc,27,boil-2-1-l.png,inverse,inanimate,2,1,inverse_2_agents_1_patient,"2 agents, 1 patient",2_agents_1_patient,2225,21,0.6,0,0,50,boil-2-1-l.png,0.6,50,0,0,-4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802,1,К01.inverse_2_agents_1_patient
