contrast_id,comparison,model,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0,full_difference_estimate,full_difference_ci_95_lower,full_difference_ci_95_upper
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",agent_looks,Intercept,0.5083559512002306,-0.23897449335440693,1.2863935012306953,0.90675,NA,NA,NA
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",agent_looks,polytimedegreeEQ31,-20.4741290746756,-34.99166990486791,-5.615910182693756,0.0065,NA,NA,NA
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",agent_looks,polytimedegreeEQ32,-7.106970329821851,-12.32622037427572,-1.7656702261675392,0.00725,NA,NA,NA
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",agent_looks,polytimedegreeEQ33,-1.763919223541693,-7.473334470961228,3.7895077114485676,0.261,NA,NA,NA
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",agent_looks,contrast_code,-0.30966794196596203,-0.8919389377126717,0.2901981027477908,0.1485,-0.6193358839319241,-1.7838778754253435,0.5803962054955816
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",agent_looks,polytimedegreeEQ31:contrast_code,2.748147666266086,-9.306591900527252,15.722620430665149,0.66125,5.496295332532172,-18.613183801054504,31.445240861330298
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",agent_looks,polytimedegreeEQ32:contrast_code,7.792926466671008,2.1944210771702384,13.31751317893893,0.99825,15.585852933342016,4.388842154340477,26.63502635787786
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",agent_looks,polytimedegreeEQ33:contrast_code,-1.314888368128204,-6.728610861489789,4.184574911845683,0.31525,-2.629776736256408,-13.457221722979577,8.369149823691366
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",patient_looks,Intercept,-1.3967106995882834,-2.4235822103749287,-0.40787997969516426,0.005,NA,NA,NA
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",patient_looks,polytimedegreeEQ31,19.50132149802512,-3.094802478642771,41.728756918293186,0.954,NA,NA,NA
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",patient_looks,polytimedegreeEQ32,-2.6833117619485076,-8.210064117111889,2.9857111931420732,0.16425,NA,NA,NA
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",patient_looks,polytimedegreeEQ33,10.590117557517845,5.063340961414075,16.176121861700246,1,NA,NA,NA
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",patient_looks,contrast_code,0.44598472795596794,-0.32231973321241625,1.2149544020394545,0.8775,0.8919694559119359,-0.6446394664248325,2.429908804078909
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",patient_looks,polytimedegreeEQ31:contrast_code,0.80455619177355,-15.858932572161198,17.787921697679717,0.531,1.6091123835471,-31.717865144322396,35.575843395359435
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",patient_looks,polytimedegreeEQ32:contrast_code,-0.6101676372940058,-6.193266253233457,5.065158236270953,0.413,-1.2203352745880116,-12.386532506466914,10.130316472541907
inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",patient_looks,polytimedegreeEQ33:contrast_code,1.9595804636582261,-3.915573591479905,7.728780490855929,0.753,3.9191609273164523,-7.83114718295981,15.457560981711858
