asc_file,participant,asc_trials,clean_merged_trials,clean_candidate_bins
k01.asc,К01,76,4,334
k01_2.asc,К01,69,0,0
k02.asc,К02,71,0,0
k03.asc,К03,70,2,190
k03_2.asc,К03,70,0,0
k04.asc,К04,69,1,121
k04_1.asc,К04,68,2,210
k05.asc,К05,91,5,477
k06.asc,К06,67,0,0
k06_1.asc,К06,68,4,342
k07.asc,К07,77,0,0
k07_2.asc,К07,69,2,260
k08_2_p2.asc,К08,159,0,0
k09.asc,К09,67,0,0
k09_2.asc,К09,67,0,0
k10.asc,К10,74,1,131
k10_1.asc,К10,71,0,0
k11.asc,К11,71,0,0
k11_2.asc,К11,70,0,0
k13.asc,К13,73,4,562
k13_2.asc,К13,78,1,103
k14.asc,К14,88,0,0
k14_1.asc,К14,72,1,113
k15.asc,К15,111,0,0
k15_1.asc,К15,75,2,176
k15_2.asc,К15,69,0,0
k16.asc,К16,67,1,157
k16_2.asc,К16,70,0,0
k17.asc,К17,67,0,0
k17_1.asc,К17,67,3,323
k18.asc,К18,74,0,0
k18_2.asc,К18,75,0,0
k19.asc,К19,88,0,0
k19_1.asc,К19,78,0,0
k20.asc,К20,93,4,184
k20_2.asc,К20,94,3,248
k22.asc,К22,91,3,222
k22_1.asc,К22,85,1,91
k24.asc,К24,82,0,0
k24_1.asc,К24,84,0,0
k25.asc,К25,67,3,255
k25_2.asc,К25,72,0,0
