window_key,window,sentence_type,condition_key,condition,filename_suffix,agent_num,patient_num,patient_animacy,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.000000,0.502610,0.493106,43,0.352215,0.653006
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.050000,0.565455,0.485766,22,0.358323,0.772586
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.100000,0.452889,0.496628,45,0.304823,0.600955
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.150000,0.500000,0.481026,44,0.354965,0.645035
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.200000,0.554359,0.482252,39,0.399915,0.708803
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.250000,0.567500,0.480082,48,0.428912,0.706088
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.300000,0.576170,0.483675,47,0.435068,0.717273
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.350000,0.750270,0.405480,37,0.616949,0.883591
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.400000,0.669787,0.454750,47,0.537123,0.802452
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.450000,0.702727,0.438954,44,0.570378,0.835077
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.500000,0.782791,0.406110,43,0.658928,0.906653
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.550000,0.644186,0.479237,43,0.498020,0.790352
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.600000,0.794884,0.383793,43,0.677828,0.911939
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.650000,0.800000,0.405096,40,0.671897,0.928103
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.700000,0.833469,0.345070,49,0.734878,0.932061
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.750000,0.801395,0.389344,43,0.682647,0.920144
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2,1,mixed,agent,0.800000,0.783256,0.410642,43,0.658011,0.908501
