window_key,window,participant,asc_file,block,image,sentence_type,patient_animacy,agent_num,patient_num,condition_key,condition,filename_suffix,rt,time_bin50,time_rel,agent_prop,patient_prop,n_samples
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,12,0.000000,0.000000,1.000000,49
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,13,0.100000,0.000000,1.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,14,0.150000,0.000000,1.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,15,0.250000,0.000000,1.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,16,0.300000,0.000000,1.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,17,0.400000,0.000000,1.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,18,0.450000,0.500000,0.380000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,19,0.500000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,20,0.600000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,21,0.650000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,22,0.750000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,23,0.800000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,24,0.900000,0.220000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,25,0.950000,0.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,26,1.000000,0.000000,0.000000,4
linguistic_encoding_2,Linguistic encoding II,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,0,0.000000,0.040000,0.000000,50
linguistic_encoding_2,Linguistic encoding II,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,1,0.100000,1.000000,0.000000,50
linguistic_encoding_2,Linguistic encoding II,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,2,0.150000,1.000000,0.000000,50
linguistic_encoding_2,Linguistic encoding II,К01,k01.asc,46,eat-1-1-r.png,direct,inanimate,2,1,direct_2_agents_1_patient,All direct 2-1,2_agents_1_patient,2007.000000,3,0.250000,1.000000,0.000000,50
