sentence_type,window_key,window,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.000000,0.596613,0.474610,470,0.552829,0.640397
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.050000,0.530708,0.471503,226,0.467980,0.593436
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.100000,0.587558,0.477631,471,0.543542,0.631575
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.150000,0.634280,0.459083,486,0.592631,0.675929
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.200000,0.619426,0.471122,453,0.575156,0.663697
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.250000,0.631440,0.465124,493,0.589544,0.673336
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.300000,0.608133,0.467884,450,0.564021,0.652246
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.350000,0.635859,0.464809,483,0.593560,0.678158
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.400000,0.633179,0.463566,475,0.590639,0.675719
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.450000,0.656317,0.461161,467,0.613637,0.698997
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.500000,0.642531,0.462995,482,0.600353,0.684709
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.550000,0.681038,0.449585,443,0.638318,0.723759
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.600000,0.712415,0.432223,472,0.672626,0.752205
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.650000,0.717921,0.439504,481,0.677842,0.758000
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.700000,0.713333,0.435999,480,0.673532,0.753134
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.750000,0.725451,0.426896,466,0.685899,0.765002
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.800000,0.743048,0.421551,479,0.704526,0.781570
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.850000,0.729190,0.431811,457,0.688792,0.769589
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.900000,0.724254,0.431774,468,0.684337,0.764172
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.950000,0.730377,0.431004,470,0.690616,0.770138
direct,linguistic_encoding_1,Linguistic encoding I,agent,1.000000,0.698905,0.450418,485,0.658000,0.739809
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.000000,0.272905,0.435593,470,0.232720,0.313090
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.050000,0.344336,0.446506,226,0.284934,0.403739
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.100000,0.304883,0.447129,471,0.263678,0.346088
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.150000,0.245350,0.414849,486,0.207714,0.282986
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.200000,0.236821,0.415152,453,0.197810,0.275832
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.250000,0.235132,0.417107,493,0.197561,0.272703
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.300000,0.251289,0.422305,450,0.211474,0.291104
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.350000,0.226667,0.408705,483,0.189473,0.263860
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.400000,0.232337,0.408251,475,0.194873,0.269800
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.450000,0.211649,0.399465,467,0.174679,0.248619
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.500000,0.198631,0.387586,482,0.163323,0.233939
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.550000,0.187675,0.379338,443,0.151629,0.223721
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.600000,0.172458,0.362233,472,0.139111,0.205804
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.650000,0.168316,0.367000,481,0.134848,0.201784
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.700000,0.160250,0.358491,480,0.127524,0.192976
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.750000,0.151760,0.342827,466,0.119997,0.183522
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.800000,0.131691,0.329051,479,0.101622,0.161760
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.850000,0.152473,0.351966,457,0.119544,0.185401
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.900000,0.161999,0.360798,468,0.128643,0.195354
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.950000,0.152894,0.354360,470,0.120203,0.185584
direct,linguistic_encoding_1,Linguistic encoding I,patient,1.000000,0.169055,0.369925,485,0.135460,0.202650
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.000000,0.735532,0.419330,470,0.696847,0.774216
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.050000,0.652301,0.461197,226,0.590944,0.713658
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.100000,0.724968,0.433313,471,0.685036,0.764900
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.150000,0.687572,0.450629,486,0.646690,0.728454
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.200000,0.706623,0.441546,453,0.665131,0.748114
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.250000,0.716755,0.430867,493,0.677944,0.755565
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.300000,0.733511,0.426842,450,0.693268,0.773754
