sentence_type,window_key,window,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.000000,0.589700,0.473138,363,0.540034,0.639367
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.050000,0.512515,0.470069,171,0.440620,0.584409
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.100000,0.587411,0.476102,367,0.537707,0.637116
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.150000,0.645054,0.455761,372,0.597794,0.692314
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.200000,0.633750,0.464745,352,0.584208,0.683292
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.250000,0.652308,0.457911,377,0.605140,0.699475
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.300000,0.621437,0.463164,348,0.571780,0.671093
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.350000,0.644096,0.462763,376,0.596365,0.691826
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.400000,0.645824,0.459458,364,0.597660,0.693989
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.450000,0.680500,0.450862,360,0.632975,0.728025
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.500000,0.665914,0.454554,372,0.618779,0.713049
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.550000,0.693033,0.446018,333,0.644150,0.741916
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.600000,0.726432,0.424147,370,0.682332,0.770533
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.650000,0.706486,0.444445,370,0.660275,0.752698
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.700000,0.700160,0.442751,375,0.654433,0.745887
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.750000,0.700000,0.439239,344,0.652636,0.747364
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.800000,0.735567,0.426074,388,0.692306,0.778828
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.850000,0.733959,0.430990,341,0.687280,0.780638
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.900000,0.716063,0.434522,368,0.670761,0.761365
direct,linguistic_encoding_1,Linguistic encoding I,agent,0.950000,0.726715,0.431690,357,0.681020,0.772410
direct,linguistic_encoding_1,Linguistic encoding I,agent,1.000000,0.701371,0.450282,374,0.654804,0.747938
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.000000,0.274583,0.435168,363,0.228902,0.320263
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.050000,0.357895,0.451143,171,0.288895,0.426894
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.100000,0.293243,0.441394,367,0.247161,0.339324
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.150000,0.222419,0.400917,372,0.180846,0.263993
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.200000,0.211989,0.396130,352,0.169761,0.254216
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.250000,0.208753,0.397386,377,0.167820,0.249686
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.300000,0.222931,0.404689,348,0.179544,0.266318
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.350000,0.201543,0.392289,376,0.161081,0.242004
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.400000,0.215165,0.396103,364,0.173642,0.256688
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.450000,0.172389,0.367833,360,0.133616,0.211162
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.500000,0.169301,0.363387,372,0.131620,0.206983
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.550000,0.165526,0.360449,333,0.126021,0.205031
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.600000,0.156649,0.348382,370,0.120426,0.192872
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.650000,0.183676,0.379630,370,0.144204,0.223148
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.700000,0.177547,0.375134,375,0.138803,0.216290
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.750000,0.171919,0.362420,344,0.132838,0.210999
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.800000,0.144588,0.340962,388,0.109968,0.179207
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.850000,0.162581,0.363532,341,0.123208,0.201953
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.900000,0.169064,0.366836,368,0.130818,0.207309
direct,linguistic_encoding_1,Linguistic encoding I,patient,0.950000,0.159664,0.359616,357,0.121598,0.197730
direct,linguistic_encoding_1,Linguistic encoding I,patient,1.000000,0.172571,0.373313,374,0.133964,0.211178
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.000000,0.729752,0.422127,363,0.685440,0.774064
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.050000,0.645029,0.463339,171,0.574164,0.715894
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.100000,0.721035,0.435117,367,0.675610,0.766461
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.150000,0.664247,0.459589,372,0.616590,0.711904
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.200000,0.699659,0.446594,352,0.652052,0.747266
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.250000,0.711936,0.433809,377,0.667252,0.756621
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.300000,0.718333,0.434010,348,0.671803,0.764864
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.350000,0.696489,0.441740,376,0.650927,0.742051
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.400000,0.684231,0.447909,364,0.637277,0.731184
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.450000,0.668167,0.458180,360,0.619870,0.716463
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.500000,0.668226,0.457270,372,0.620809,0.715642
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.550000,0.611111,0.470465,333,0.559548,0.662674
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.600000,0.636973,0.466125,370,0.588508,0.685438
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.650000,0.618432,0.471155,370,0.569444,0.667421
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.700000,0.639787,0.464647,375,0.591798,0.687775
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.750000,0.663140,0.449733,344,0.614644,0.711635
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.800000,0.665876,0.457982,388,0.619375,0.712377
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.850000,0.660762,0.454267,341,0.611563,0.709962
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.900000,0.682093,0.455231,368,0.634632,0.729554
direct,linguistic_encoding_2,Linguistic encoding II,agent,0.950000,0.638349,0.460390,357,0.589616,0.687082
direct,linguistic_encoding_2,Linguistic encoding II,agent,1.000000,0.585013,0.481202,372,0.535115,0.634912
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.000000,0.130964,0.324819,363,0.096867,0.165061
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.050000,0.189240,0.379760,171,0.131158,0.247322
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.100000,0.165232,0.364569,367,0.127171,0.203292
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.150000,0.190914,0.385207,372,0.150970,0.230858
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.200000,0.179318,0.376043,352,0.139232,0.219404
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.250000,0.180424,0.377277,377,0.141563,0.219286
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.300000,0.161897,0.357184,348,0.123602,0.200191
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.350000,0.160319,0.355002,376,0.123703,0.196935
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.400000,0.159780,0.356988,364,0.122358,0.197203
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.450000,0.198944,0.389194,360,0.157920,0.239969
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.500000,0.205591,0.396949,372,0.164430,0.246753
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.550000,0.224505,0.404960,333,0.180121,0.268888
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.600000,0.205459,0.396466,370,0.164237,0.246682
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.650000,0.223784,0.407867,370,0.181376,0.266192
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.700000,0.214880,0.400878,375,0.173478,0.256282
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.750000,0.188372,0.377723,344,0.147641,0.229103
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.800000,0.191495,0.385846,388,0.152318,0.230672
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.850000,0.189795,0.382381,341,0.148380,0.231209
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.900000,0.184294,0.376433,368,0.145049,0.223540
direct,linguistic_encoding_2,Linguistic encoding II,patient,0.950000,0.184131,0.377741,357,0.144146,0.224115
direct,linguistic_encoding_2,Linguistic encoding II,patient,1.000000,0.236197,0.419717,372,0.192674,0.279720
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.000000,0.540451,0.482856,363,0.489764,0.591138
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.050000,0.519669,0.486296,363,0.468622,0.570717
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.100000,0.504022,0.483098,363,0.453310,0.554734
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.150000,0.478347,0.488719,363,0.427045,0.529649
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.200000,0.452617,0.478710,363,0.402366,0.502869
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.250000,0.433939,0.486263,363,0.382895,0.484984
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.300000,0.439780,0.488642,363,0.388485,0.491074
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.350000,0.433168,0.486269,363,0.382123,0.484213
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.400000,0.431515,0.482119,363,0.380906,0.482124
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.450000,0.420882,0.482424,363,0.370240,0.471523
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.500000,0.414931,0.475853,363,0.364980,0.464883
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.550000,0.413444,0.482711,363,0.362772,0.464115
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.600000,0.409311,0.479203,363,0.359008,0.459615
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.650000,0.397521,0.477527,363,0.347393,0.447648
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.700000,0.391791,0.474908,363,0.341938,0.441643
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.750000,0.363526,0.471442,363,0.314038,0.413015
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.800000,0.369146,0.472583,363,0.319538,0.418754
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.850000,0.359614,0.468156,363,0.310471,0.408758
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.900000,0.353554,0.471735,363,0.304034,0.403073
direct,linguistic_encoding_3,Linguistic encoding III,agent,0.950000,0.339890,0.461815,363,0.291412,0.388368
direct,linguistic_encoding_3,Linguistic encoding III,agent,1.000000,0.322149,0.457324,363,0.274142,0.370155
direct,linguistic_encoding_3,Linguistic encoding III,patient,0.000000,0.284028,0.434039,363,0.238465,0.329590
direct,linguistic_encoding_3,Linguistic encoding III,patient,0.050000,0.303416,0.447842,363,0.256405,0.350427
direct,linguistic_encoding_3,Linguistic encoding III,patient,0.100000,0.335262,0.458366,363,0.287146,0.383378
direct,linguistic_encoding_3,Linguistic encoding III,patient,0.150000,0.369311,0.470888,363,0.319881,0.418742
