verb,any_error_form_trials,vf_acc_inverse_marking_errors,vn_acc_verb_number_errors,pn_acc_patient_number_errors,participant_count,participants,image_count,images,pn_acc,vn_acc,vn_acc+pn_acc,condition_count,conditions
carry,14,0,8,11,9,К01; К03; К05; К06; К10; К17; К20; К22; К25,4,carry-1-1-r.png; carry-1-2-l.png; carry-2-1-l.png; carry-2-2-r.png,6,3,5,4,"direct: 1 agent, 1 patient, inanimate patient; direct: 1 agent, 2 patients, inanimate patient; inverse: 2 agents, 1 patient, inanimate patient; inverse: 2 agents, 2 patients, inanimate patient"
water,12,0,7,10,9,К01; К04; К05; К06; К10; К17; К22; К24; К25,4,water-1-1-r.png; water-1-2-l.png; water-2-1-l.png; water-2-2-r.png,5,2,5,4,"direct: 1 agent, 1 patient, inanimate patient; direct: 1 agent, 2 patients, inanimate patient; inverse: 2 agents, 1 patient, inanimate patient; inverse: 2 agents, 2 patients, inanimate patient"
pick,11,0,5,9,9,К01; К04; К05; К06; К16; К17; К20; К22; К25,3,pick-1-2-l.png; pick-2-1-l.png; pick-2-2-r.png,6,2,3,3,"direct: 1 agent, 2 patients, inanimate patient; inverse: 2 agents, 1 patient, inanimate patient; inverse: 2 agents, 2 patients, inanimate patient"
break,9,0,6,8,7,К05; К06; К14; К16; К17; К22; К25,2,break-1-2-l.png; break-2-2-r.png,3,1,5,2,"direct: 1 agent, 2 patients, inanimate patient; inverse: 2 agents, 2 patients, inanimate patient"
cover,9,0,4,8,8,К04; К05; К06; К10; К14; К16; К17; К25,2,cover-1-2-l.png; cover-2-2-r.png,5,1,3,2,"direct: 1 agent, 2 patients, inanimate patient; inverse: 2 agents, 2 patients, inanimate patient"
hang,9,0,2,7,6,К01; К04; К05; К06; К10; К14,4,hang-1-1-r.png; hang-1-2-l.png; hang-2-1-l.png; hang-2-2-r.png,7,2,0,4,"direct: 1 agent, 1 patient, inanimate patient; direct: 1 agent, 2 patients, inanimate patient; inverse: 2 agents, 1 patient, inanimate patient; inverse: 2 agents, 2 patients, inanimate patient"
wake,9,0,5,6,7,К04; К05; К06; К10; К17; К22; К24,2,wake-1-2-l.png; wake-2-2-r.png,4,3,2,2,"direct: 1 agent, 2 patients, animate patient; inverse: 2 agents, 2 patients, animate patient"
boil,8,0,3,8,4,К04; К05; К06; К17,4,boil-1-1-r.png; boil-1-2-l.png; boil-2-1-l.png; boil-2-2-r.png,5,0,3,4,"direct: 1 agent, 1 patient, inanimate patient; direct: 1 agent, 2 patients, inanimate patient; inverse: 2 agents, 1 patient, inanimate patient; inverse: 2 agents, 2 patients, inanimate patient"
cut_hair,8,0,4,7,7,К04; К05; К06; К10; К14; К16; К22,3,cut_hair-1-2-l.png; cut_hair-2-1-l.png; cut_hair-2-2-r.png,4,1,3,3,"direct: 1 agent, 2 patients, animate patient; inverse: 2 agents, 1 patient, animate patient; inverse: 2 agents, 2 patients, animate patient"
feed,8,0,5,6,6,К05; К06; К10; К14; К16; К22,3,feed-1-1-r.png; feed-1-2-l.png; feed-2-2-r.png,3,2,3,3,"direct: 1 agent, 1 patient, animate patient; direct: 1 agent, 2 patients, animate patient; inverse: 2 agents, 2 patients, animate patient"
