window_key,window,sentence_type,condition_key,condition,filename_suffix,agent_num,patient_num,patient_animacy,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.000000,0.596166,0.464530,99,0.502792,0.689540
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.050000,0.556889,0.456707,45,0.420725,0.693053
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.100000,0.619216,0.473996,102,0.525350,0.713081
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.150000,0.679608,0.449193,102,0.590654,0.768561
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.200000,0.682626,0.463101,99,0.589539,0.775713
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.250000,0.703208,0.440711,106,0.617596,0.788819
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.300000,0.684176,0.448033,91,0.590243,0.778109
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.350000,0.726602,0.434361,103,0.641004,0.812200
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.400000,0.695354,0.437897,99,0.607333,0.783374
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.450000,0.667647,0.456201,102,0.577306,0.757988
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.500000,0.599808,0.471647,104,0.507310,0.692305
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.550000,0.660879,0.463196,91,0.563767,0.757991
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.600000,0.747379,0.413090,103,0.665973,0.828785
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.650000,0.730200,0.429239,100,0.644352,0.816048
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.700000,0.695534,0.442107,103,0.608410,0.782658
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.750000,0.648866,0.464049,97,0.554632,0.743100
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.800000,0.688462,0.447211,104,0.600756,0.776167
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.850000,0.615152,0.479397,99,0.518789,0.711514
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.900000,0.662268,0.454045,97,0.570065,0.754471
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,0.950000,0.701808,0.443879,98,0.612131,0.791485
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,agent,1.000000,0.699922,0.454452,103,0.610365,0.789479
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",1_agent_1_patient_animate_patient,1,1,animate,patient,0.000000,0.276850,0.434824,99,0.189447,0.364253
