asc_file,participant,asc_trials,clean_merged_trials,clean_candidate_bins
k01.asc,К01,76,57,4736
k01_2.asc,К01,69,53,4812
k02.asc,К02,71,0,0
k03.asc,К03,70,44,4509
k03_2.asc,К03,70,56,5356
k04.asc,К04,69,42,4252
k04_1.asc,К04,68,23,2420
k05.asc,К05,91,42,3780
k06.asc,К06,67,43,4062
k06_1.asc,К06,68,42,3921
k07.asc,К07,77,3,403
k07_2.asc,К07,69,12,1314
k08_2_p2.asc,К08,159,0,0
k09.asc,К09,67,0,0
k09_2.asc,К09,67,0,0
k10.asc,К10,74,12,1030
k10_1.asc,К10,71,17,1834
k11.asc,К11,71,0,0
k11_2.asc,К11,70,0,0
k13.asc,К13,73,12,1692
k13_2.asc,К13,78,37,4198
k14.asc,К14,88,7,625
k14_1.asc,К14,72,18,1967
k15.asc,К15,111,37,2191
k15_1.asc,К15,75,21,2179
k15_2.asc,К15,69,20,2320
k16.asc,К16,67,15,1595
k16_2.asc,К16,70,13,1309
k17.asc,К17,67,20,2088
k17_1.asc,К17,67,26,2684
k18.asc,К18,74,0,0
k18_2.asc,К18,75,0,0
k19.asc,К19,88,0,0
k19_1.asc,К19,78,0,0
k20.asc,К20,93,14,1001
k20_2.asc,К20,94,14,1234
k22.asc,К22,91,12,1217
k22_1.asc,К22,85,19,1904
k24.asc,К24,82,10,1183
k24_1.asc,К24,84,18,2246
k25.asc,К25,67,27,2447
k25_2.asc,К25,72,44,3183
