window_key,window,sentence_type,condition_key,condition,filename_suffix,agent_num,patient_num,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.000000,0.604566,0.471979,194,0.536793,0.672338
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.050000,0.536889,0.468648,90,0.438089,0.635688
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.100000,0.602737,0.472782,190,0.534138,0.671335
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.150000,0.671856,0.449333,194,0.607335,0.736376
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.200000,0.655556,0.465437,189,0.587844,0.723267
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.250000,0.686939,0.445671,196,0.623272,0.750606
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.300000,0.626816,0.460684,179,0.557949,0.695682
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.350000,0.668182,0.457515,198,0.603154,0.733210
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.400000,0.644249,0.459629,193,0.578079,0.710418
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.450000,0.686526,0.450382,190,0.621178,0.751875
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.500000,0.643535,0.463272,198,0.577689,0.709382
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,agent,0.550000,0.705116,0.440470,172,0.637945,0.772287
