window_key,window,sentence_type,condition_key,condition,filename_suffix,agent_num,patient_num,patient_animacy,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.000000,0.604814,0.470979,184,0.535372,0.674256
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.050000,0.561975,0.470549,81,0.457409,0.666542
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.100000,0.615281,0.468714,178,0.545018,0.685544
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.150000,0.696067,0.441267,178,0.629919,0.762216
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.200000,0.669379,0.461382,177,0.600019,0.738738
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.250000,0.704667,0.438153,180,0.639351,0.769983
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.300000,0.626265,0.460181,166,0.554831,0.697699
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.350000,0.670435,0.458517,184,0.602830,0.738039
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.400000,0.651667,0.456030,180,0.583686,0.719648
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.450000,0.700455,0.444074,176,0.633508,0.767401
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.500000,0.660652,0.459465,184,0.592908,0.728397
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.550000,0.715443,0.437444,158,0.645841,0.785045
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.600000,0.744615,0.420293,182,0.682307,0.806924
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.650000,0.734176,0.426487,182,0.670949,0.797402
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.700000,0.695495,0.445088,182,0.629510,0.761479
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.750000,0.699012,0.445403,162,0.629024,0.769001
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.800000,0.748542,0.423753,192,0.687378,0.809705
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,mixed,agent,0.850000,0.729634,0.438545,164,0.661145,0.798123
