window_key,window,sentence_type,condition_key,condition,agent_num,patient_num,clean_behavior_trials,plotted_trials,plotted_50ms_bins
speech_planning,Speech planning,direct,animate,animate patient,1,1,250,240,2640
speech_planning,Speech planning,direct,animate,animate patient,1,2,250,240,2640
speech_planning,Speech planning,direct,animate,animate patient,2,1,250,240,2640
speech_planning,Speech planning,direct,animate,animate patient,2,2,250,240,2640
speech_planning,Speech planning,direct,inanimate,inanimate patient,1,1,246,230,2530
speech_planning,Speech planning,direct,inanimate,inanimate patient,1,2,246,230,2530
speech_planning,Speech planning,direct,inanimate,inanimate patient,2,1,246,230,2530
speech_planning,Speech planning,direct,inanimate,inanimate patient,2,2,246,230,2530
speech_planning,Speech planning,inverse,animate,animate patient,1,2,200,186,2046
speech_planning,Speech planning,inverse,animate,animate patient,2,1,200,186,2046
speech_planning,Speech planning,inverse,animate,animate patient,2,2,200,186,2046
speech_planning,Speech planning,inverse,inanimate,inanimate patient,1,1,183,174,1914
speech_planning,Speech planning,inverse,inanimate,inanimate patient,1,2,183,174,1914
speech_planning,Speech planning,inverse,inanimate,inanimate patient,2,1,183,174,1914
speech_planning,Speech planning,inverse,inanimate,inanimate patient,2,2,183,174,1914
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,1,1,250,240,5025
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,1,2,250,240,5025
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,2,1,250,240,5025
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,2,2,250,240,5025
linguistic_encoding_1,Linguistic encoding I,direct,inanimate,inanimate patient,1,1,246,230,4632
linguistic_encoding_1,Linguistic encoding I,direct,inanimate,inanimate patient,1,2,246,230,4632
linguistic_encoding_1,Linguistic encoding I,direct,inanimate,inanimate patient,2,1,246,230,4632
linguistic_encoding_1,Linguistic encoding I,direct,inanimate,inanimate patient,2,2,246,230,4632
linguistic_encoding_1,Linguistic encoding I,inverse,animate,animate patient,1,2,200,186,4236
linguistic_encoding_1,Linguistic encoding I,inverse,animate,animate patient,2,1,200,186,4236
linguistic_encoding_1,Linguistic encoding I,inverse,animate,animate patient,2,2,200,186,4236
linguistic_encoding_1,Linguistic encoding I,inverse,inanimate,inanimate patient,1,1,183,174,3472
linguistic_encoding_1,Linguistic encoding I,inverse,inanimate,inanimate patient,1,2,183,174,3472
linguistic_encoding_1,Linguistic encoding I,inverse,inanimate,inanimate patient,2,1,183,174,3472
linguistic_encoding_1,Linguistic encoding I,inverse,inanimate,inanimate patient,2,2,183,174,3472
linguistic_encoding_2,Linguistic encoding II,direct,animate,animate patient,1,1,250,240,5023
linguistic_encoding_2,Linguistic encoding II,direct,animate,animate patient,1,2,250,240,5023
linguistic_encoding_2,Linguistic encoding II,direct,animate,animate patient,2,1,250,240,5023
linguistic_encoding_2,Linguistic encoding II,direct,animate,animate patient,2,2,250,240,5023
linguistic_encoding_2,Linguistic encoding II,direct,inanimate,inanimate patient,1,1,246,230,4631
linguistic_encoding_2,Linguistic encoding II,direct,inanimate,inanimate patient,1,2,246,230,4631
linguistic_encoding_2,Linguistic encoding II,direct,inanimate,inanimate patient,2,1,246,230,4631
linguistic_encoding_2,Linguistic encoding II,direct,inanimate,inanimate patient,2,2,246,230,4631
linguistic_encoding_2,Linguistic encoding II,inverse,animate,animate patient,1,2,200,186,4233
linguistic_encoding_2,Linguistic encoding II,inverse,animate,animate patient,2,1,200,186,4233
linguistic_encoding_2,Linguistic encoding II,inverse,animate,animate patient,2,2,200,186,4233
linguistic_encoding_2,Linguistic encoding II,inverse,inanimate,inanimate patient,1,1,183,174,3472
linguistic_encoding_2,Linguistic encoding II,inverse,inanimate,inanimate patient,1,2,183,174,3472
linguistic_encoding_2,Linguistic encoding II,inverse,inanimate,inanimate patient,2,1,183,174,3472
linguistic_encoding_2,Linguistic encoding II,inverse,inanimate,inanimate patient,2,2,183,174,3472
linguistic_encoding_3,Linguistic encoding III,direct,animate,animate patient,1,1,250,240,5040
linguistic_encoding_3,Linguistic encoding III,direct,animate,animate patient,1,2,250,240,5040
linguistic_encoding_3,Linguistic encoding III,direct,animate,animate patient,2,1,250,240,5040
linguistic_encoding_3,Linguistic encoding III,direct,animate,animate patient,2,2,250,240,5040
linguistic_encoding_3,Linguistic encoding III,direct,inanimate,inanimate patient,1,1,246,230,4830
linguistic_encoding_3,Linguistic encoding III,direct,inanimate,inanimate patient,1,2,246,230,4830
linguistic_encoding_3,Linguistic encoding III,direct,inanimate,inanimate patient,2,1,246,230,4830
linguistic_encoding_3,Linguistic encoding III,direct,inanimate,inanimate patient,2,2,246,230,4830
linguistic_encoding_3,Linguistic encoding III,inverse,animate,animate patient,1,2,200,186,3906
linguistic_encoding_3,Linguistic encoding III,inverse,animate,animate patient,2,1,200,186,3906
linguistic_encoding_3,Linguistic encoding III,inverse,animate,animate patient,2,2,200,186,3906
linguistic_encoding_3,Linguistic encoding III,inverse,inanimate,inanimate patient,1,1,183,174,3654
