asc_file,participant,asc_trials,clean_merged_trials,clean_candidate_bins
k01.asc,К01,76,67,5559
k01_2.asc,К01,69,54,4911
k02.asc,К02,71,0,0
k03.asc,К03,70,50,5087
k03_2.asc,К03,70,58,5459
k04.asc,К04,69,43,4373
k04_1.asc,К04,68,27,2850
k05.asc,К05,91,49,4471
k06.asc,К06,67,45,4252
k06_1.asc,К06,68,48,4437
k07.asc,К07,77,4,572
k07_2.asc,К07,69,16,1786
k08_2_p2.asc,К08,159,0,0
k09.asc,К09,67,0,0
k09_2.asc,К09,67,0,0
k10.asc,К10,74,13,1161
k10_1.asc,К10,71,18,1959
k11.asc,К11,71,0,0
k11_2.asc,К11,70,0,0
k13.asc,К13,73,18,2510
k13_2.asc,К13,78,39,4466
k14.asc,К14,88,7,625
k14_1.asc,К14,72,20,2161
k15.asc,К15,111,38,2314
k15_1.asc,К15,75,26,2678
k15_2.asc,К15,69,21,2443
k16.asc,К16,67,16,1752
k16_2.asc,К16,70,14,1480
k17.asc,К17,67,22,2264
k17_1.asc,К17,67,32,3290
k18.asc,К18,74,0,0
k18_2.asc,К18,75,0,0
k19.asc,К19,88,0,0
k19_1.asc,К19,78,0,0
k20.asc,К20,93,20,1294
k20_2.asc,К20,94,21,1672
k22.asc,К22,91,16,1530
k22_1.asc,К22,85,22,2219
k24.asc,К24,82,10,1183
k24_1.asc,К24,84,19,2355
k25.asc,К25,67,32,2870
k25_2.asc,К25,72,46,3345
