participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,rt,matched_accuracy,matched_by,vf_acc,vn_acc,pn_acc,is_error_form,error_fields,excluded_from_graphs
К01,call-1-1-r.png,direct,animate,animate patient,1,1,animate,1353.000000,yes,participant_image,1,1,1,no,,no
К01,break-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,1288.000000,yes,participant_image,1,1,1,no,,no
К01,feed-1-2-l.png,direct,animate,animate patient,1,2,animate,1340.000000,yes,participant_image,1,1,1,no,,no
К01,eat-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1678.000000,yes,participant_image,1,1,1,no,,no
К01,wake-2-2-r.png,inverse,animate,animate patient,2,2,animate,2861.000000,yes,participant_image,1,1,1,no,,no
К01,pick-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2056.000000,yes,participant_image,1,1,1,no,,no
К01,makelaugh-2-1-l.png,inverse,animate,animate patient,2,1,animate,3515.000000,yes,participant_image,1,1,1,no,,no
К01,carry-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2097.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,teach-1-1-r.png,direct,animate,animate patient,1,1,animate,3168.000000,yes,participant_image,1,1,1,no,,no
К01,open-2-2-r.png,inverse,inanimate,inanimate patient,1,1,inanimate,1752.000000,yes,participant_image,1,1,1,no,,no
К01,dress-1-2-l.png,direct,animate,animate patient,1,2,animate,1623.000000,yes,participant_image,1,1,1,no,,no
К01,throw-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1420.000000,yes,participant_image,1,1,1,no,,no
К01,cover-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2224.000000,yes,participant_image,1,1,1,no,,no
К01,wash-2-1-l.png,inverse,animate,animate patient,2,1,animate,2249.000000,yes,participant_image,1,1,1,no,,no
К01,paint-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,1275.000000,yes,participant_image,1,1,1,no,,no
К01,give_water-1-1-r.png,direct,animate,animate patient,1,1,animate,2844.000000,yes,participant_image,1,1,1,no,,no
К01,clean-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,1634.000000,yes,participant_image,1,1,1,no,,no
К01,push-1-2-l.png,direct,animate,animate patient,1,2,animate,2362.000000,yes,participant_image,1,1,1,no,,no
К01,water-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2535.000000,yes,participant_image,1,1,1,no,,no
К01,pour-2-2-r.png,inverse,animate,animate patient,2,2,animate,2561.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,plant-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,1495.000000,yes,participant_image,1,1,1,no,,no
К01,tie-2-1-l.png,inverse,animate,animate patient,1,2,animate,3727.000000,yes,participant_image,1,1,1,no,,no
К01,boil-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,4037.000000,yes,participant_image,1,1,1,no,,no
К01,shoot-1-1-r.png,direct,animate,animate patient,2,2,animate,2061.000000,yes,participant_image,1,1,1,no,,no
