asc_file,participant,asc_trials,clean_merged_trials,clean_candidate_bins
k01.asc,К01,76,60,4967
k01_2.asc,К01,69,47,4353
k02.asc,К02,71,0,0
k03.asc,К03,70,46,4679
k03_2.asc,К03,70,55,5237
k04.asc,К04,69,25,2481
k04_1.asc,К04,68,17,1728
k05.asc,К05,91,23,2287
k06.asc,К06,67,29,2744
k06_1.asc,К06,68,35,3243
k07.asc,К07,77,3,403
k07_2.asc,К07,69,12,1312
k08_2_p2.asc,К08,159,0,0
k09.asc,К09,67,0,0
k09_2.asc,К09,67,0,0
k10.asc,К10,74,8,649
k10_1.asc,К10,71,5,594
k11.asc,К11,71,0,0
k11_2.asc,К11,70,0,0
k13.asc,К13,73,18,2510
k13_2.asc,К13,78,39,4466
k14.asc,К14,88,6,524
k14_1.asc,К14,72,12,1325
k15.asc,К15,111,38,2314
k15_1.asc,К15,75,26,2678
k15_2.asc,К15,69,21,2443
k16.asc,К16,67,14,1516
k16_2.asc,К16,70,9,911
k17.asc,К17,67,11,1087
k17_1.asc,К17,67,20,2076
k18.asc,К18,74,0,0
k18_2.asc,К18,75,0,0
k19.asc,К19,88,0,0
k19_1.asc,К19,78,0,0
k20.asc,К20,93,9,654
k20_2.asc,К20,94,11,754
k22.asc,К22,91,10,1009
k22_1.asc,К22,85,2,184
k24.asc,К24,82,7,897
k24_1.asc,К24,84,14,1857
k25.asc,К25,67,28,2525
k25_2.asc,К25,72,31,2343
