window_key,window,sentence_type,condition_key,condition,filename_suffix,agent_num,patient_num,patient_animacy,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.000000,0.626334,0.458881,197,0.560946,0.691722
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.050000,0.548046,0.468639,87,0.447559,0.648533
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.100000,0.629347,0.466462,199,0.563213,0.695480
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.150000,0.670202,0.450438,198,0.606180,0.734224
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.200000,0.659479,0.459198,192,0.593200,0.725759
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.250000,0.677366,0.452317,205,0.614183,0.740548
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.300000,0.676284,0.449047,183,0.609895,0.742673
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.350000,0.690837,0.442290,203,0.628752,0.752923
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.400000,0.676970,0.450203,198,0.612981,0.740959
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.450000,0.677053,0.451616,190,0.611525,0.742580
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.500000,0.645930,0.459836,199,0.580736,0.711124
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.550000,0.657127,0.458680,181,0.588940,0.725314
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.600000,0.726869,0.424342,198,0.666555,0.787182
linguistic_encoding_1,Linguistic encoding I,direct,animate,animate patient,animate_patient,mixed,mixed,animate,agent,0.650000,0.707817,0.444414,197,0.644491,0.771144
