window_key,window,sentence_type,condition_key,condition,filename_suffix,agent_num,patient_num,patient_animacy,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.000000,0.608163,0.466818,35,0.450350,0.765977
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.050000,0.611765,0.472232,17,0.382699,0.840831
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.100000,0.638421,0.452940,38,0.491468,0.785374
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.150000,0.627647,0.470358,34,0.466316,0.788979
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.200000,0.683333,0.456283,36,0.531239,0.835428
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.250000,0.582778,0.483963,36,0.421457,0.744099
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.300000,0.653529,0.477588,34,0.489718,0.817341
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.350000,0.641212,0.482570,33,0.473203,0.809221
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.400000,0.713684,0.433692,38,0.572976,0.854392
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.450000,0.773889,0.412486,36,0.636394,0.911384
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.500000,0.713514,0.448975,37,0.565891,0.861136
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.550000,0.757647,0.428550,34,0.610656,0.904638
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.600000,0.704848,0.430350,33,0.555020,0.854677
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.650000,0.674872,0.461957,39,0.526927,0.822817
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,direct_2_2,2,2,mixed,agent,0.700000,0.780000,0.403361,33,0.639568,0.920432
