window_key,window,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,clean_behavior_trials,plotted_trials,plotted_50ms_bins
speech_planning,Early event apprehension,direct,direct_2_agents_2_patients,Direct used for 2-2,2,2,mixed,14,13,143
speech_planning,Early event apprehension,inverse,inverse_1_agent_1_patient,Inverse used for 1-1,1,1,inanimate,2,2,22
linguistic_encoding_1,Linguistic encoding I,direct,direct_2_agents_2_patients,Direct used for 2-2,2,2,mixed,14,13,290
linguistic_encoding_1,Linguistic encoding I,inverse,inverse_1_agent_1_patient,Inverse used for 1-1,1,1,inanimate,2,2,68
linguistic_encoding_2,Linguistic encoding II,direct,direct_2_agents_2_patients,Direct used for 2-2,2,2,mixed,14,13,290
linguistic_encoding_2,Linguistic encoding II,inverse,inverse_1_agent_1_patient,Inverse used for 1-1,1,1,inanimate,2,2,68
linguistic_encoding_3,Linguistic encoding III,direct,direct_2_agents_2_patients,Direct used for 2-2,2,2,mixed,14,13,273
linguistic_encoding_3,Linguistic encoding III,inverse,inverse_1_agent_1_patient,Inverse used for 1-1,1,1,inanimate,2,2,42
post_onset_1000_2500,1000-2500 ms after speech onset,direct,direct_2_agents_2_patients,Direct used for 2-2,2,2,mixed,14,13,403
post_onset_1000_2500,1000-2500 ms after speech onset,inverse,inverse_1_agent_1_patient,Inverse used for 1-1,1,1,inanimate,2,2,62
