asc_file,included_participant,asc_trials,matched_clean_trials,raw_timecourse_samples,blink_samples_excluded,nonblink_samples,track_loss_samples,track_loss_percent_excluding_blinks
k01.asc,yes,76,67,266297,32235,234062,0,0.000000
k01_2.asc,yes,69,54,234749,49949,184800,474,0.256494
k02.asc,no,71,26,113370,30245,83125,0,0.000000
k03.asc,yes,70,50,244363,17183,227180,0,0.000000
k03_2.asc,yes,70,58,261625,30461,231164,0,0.000000
k04.asc,yes,69,43,210482,19042,191440,0,0.000000
k04_1.asc,yes,68,27,137196,7309,129887,0,0.000000
k05.asc,yes,91,49,214919,15,214904,0,0.000000
k06.asc,yes,67,45,203704,35910,167794,0,0.000000
k06_1.asc,yes,68,48,212408,52917,159491,0,0.000000
k07.asc,yes,77,4,27764,48,27716,0,0.000000
k07_2.asc,yes,69,16,86181,476,85705,0,0.000000
k08_2_p2.asc,no,159,6,13651,492,13159,0,0.000000
k09.asc,no,67,6,28404,2378,26026,0,0.000000
k09_2.asc,no,67,6,31937,531,31406,0,0.000000
k10.asc,yes,74,13,56195,2496,53699,0,0.000000
k10_1.asc,yes,71,18,94933,2771,92162,0,0.000000
k11.asc,no,71,2,16328,1748,14580,0,0.000000
k11_2.asc,no,70,4,25750,1767,23983,0,0.000000
k13.asc,yes,73,18,121983,4444,117539,11,0.009359
k13_2.asc,yes,78,39,216154,8729,207425,0,0.000000
k14.asc,yes,88,7,30210,2431,27779,0,0.000000
k14_1.asc,yes,72,20,104203,10658,93545,0,0.000000
k15.asc,yes,111,38,111998,27952,84046,0,0.000000
k15_1.asc,yes,75,26,129017,20457,108560,0,0.000000
k15_2.asc,yes,69,21,118229,15361,102868,0,0.000000
k16.asc,yes,67,16,84263,4029,80234,0,0.000000
k16_2.asc,yes,70,14,71184,2505,68679,0,0.000000
k17.asc,yes,67,22,108564,12329,96235,0,0.000000
k17_1.asc,yes,67,32,158074,18167,139907,0,0.000000
k18.asc,no,74,3,17795,1309,16486,0,0.000000
k18_2.asc,no,75,3,19367,1682,17685,0,0.000000
k19.asc,no,88,0,0,0,0,0,
k19_1.asc,no,78,0,0,0,0,0,
k20.asc,yes,93,20,62285,4040,58245,0,0.000000
k20_2.asc,yes,94,21,80344,6390,73954,0,0.000000
k22.asc,yes,91,16,73493,12707,60786,0,0.000000
k22_1.asc,yes,85,22,106801,18631,88170,0,0.000000
k24.asc,yes,82,10,57441,6094,51347,3,0.005843
k24_1.asc,yes,84,19,114192,18497,95695,0,0.000000
k25.asc,yes,67,32,137037,25468,111569,0,0.000000
k25_2.asc,yes,72,46,159349,30031,129318,0,0.000000
