asc_file,included_participant,window_key,window,window_description,matched_clean_trials,raw_samples,blink_samples_excluded,nonblink_samples,track_loss_samples,track_loss_percent_excluding_blinks
k01.asc,yes,speech_planning,Speech planning,100-600 ms after display,67,32450,2696,29754,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,67,44602,10060,34542,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,67,44636,4014,40622,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,67,61891,6698,55193,0,0.000000
k01.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,67,91450,10491,80959,0,0.000000
k01_2.asc,yes,speech_planning,Speech planning,100-600 ms after display,54,29150,2866,26284,0,0.000000
k01_2.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,54,37832,8079,29753,115,0.386516
k01_2.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,54,37864,5775,32089,0,0.000000
k01_2.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,54,55597,13582,42015,0,0.000000
k01_2.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,54,82150,21853,60297,359,0.595386
k02.asc,no,speech_planning,Speech planning,100-600 ms after display,26,13200,0,13200,0,0.000000
k02.asc,no,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,26,20668,1202,19466,0,0.000000
k02.asc,no,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,26,20678,4667,16011,0,0.000000
k02.asc,no,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,26,25176,8663,16513,0,0.000000
k02.asc,no,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,26,37200,16744,20456,0,0.000000
k03.asc,yes,speech_planning,Speech planning,100-600 ms after display,50,26950,14,26936,0,0.000000
k03.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,50,48645,3783,44862,0,0.000000
k03.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,50,48669,4521,44148,0,0.000000
k03.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,50,51401,2881,48520,0,0.000000
k03.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,50,75950,6454,69496,0,0.000000
k03_2.asc,yes,speech_planning,Speech planning,100-600 ms after display,58,30250,246,30004,0,0.000000
k03_2.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,58,48269,7465,40804,0,0.000000
k03_2.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,58,48301,6707,41594,0,0.000000
k03_2.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,58,57695,6991,50704,0,0.000000
k03_2.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,58,85250,9534,75716,0,0.000000
k04.asc,yes,speech_planning,Speech planning,100-600 ms after display,43,22550,781,21769,0,0.000000
k04.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,43,43710,2709,41001,0,0.000000
k04.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,43,43731,2093,41638,0,0.000000
k04.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,43,43009,4955,38054,0,0.000000
k04.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,43,63550,9304,54246,0,0.000000
k04_1.asc,yes,speech_planning,Speech planning,100-600 ms after display,27,14300,475,13825,0,0.000000
k04_1.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,27,29579,2345,27234,0,0.000000
k04_1.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,27,29591,500,29091,0,0.000000
k04_1.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,27,27274,1481,25793,0,0.000000
k04_1.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,27,40300,2808,37492,0,0.000000
k05.asc,yes,speech_planning,Speech planning,100-600 ms after display,49,23650,0,23650,0,0.000000
k05.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,49,42927,0,42927,0,0.000000
k05.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,49,42949,0,42949,0,0.000000
k05.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,49,45107,15,45092,0,0.000000
k05.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,49,66650,0,66650,0,0.000000
k06.asc,yes,speech_planning,Speech planning,100-600 ms after display,45,24750,1274,23476,0,0.000000
k06.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,45,34317,6297,28020,0,0.000000
k06.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,45,34342,7633,26709,0,0.000000
k06.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,45,47205,9920,37285,0,0.000000
k06.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,45,69750,12065,57685,0,0.000000
k06_1.asc,yes,speech_planning,Speech planning,100-600 ms after display,48,25850,1679,24171,0,0.000000
k06_1.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,48,35666,8291,27375,0,0.000000
k06_1.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,48,35695,11507,24188,0,0.000000
k06_1.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,48,49303,13617,35686,0,0.000000
k06_1.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,48,72850,19475,53375,0,0.000000
k07.asc,yes,speech_planning,Speech planning,100-600 ms after display,4,2200,0,2200,0,0.000000
k07.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,4,7879,0,7879,0,0.000000
k07.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,4,7881,48,7833,0,0.000000
k07.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,4,4196,0,4196,0,0.000000
k07.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,4,6200,0,6200,0,0.000000
k07_2.asc,yes,speech_planning,Speech planning,100-600 ms after display,16,8800,52,8748,0,0.000000
k07_2.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,16,19079,325,18754,0,0.000000
k07_2.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,16,19086,0,19086,0,0.000000
k07_2.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,16,16784,8,16776,0,0.000000
k07_2.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,16,24800,128,24672,0,0.000000
k08_2_p2.asc,no,speech_planning,Speech planning,100-600 ms after display,6,1650,0,1650,0,0.000000
k08_2_p2.asc,no,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,6,4322,169,4153,0,0.000000
k08_2_p2.asc,no,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,6,2826,146,2680,0,0.000000
k08_2_p2.asc,no,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,6,2098,0,2098,0,0.000000
k08_2_p2.asc,no,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,6,3100,177,2923,0,0.000000
k09.asc,no,speech_planning,Speech planning,100-600 ms after display,6,3300,177,3123,0,0.000000
k09.asc,no,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,6,5198,325,4873,0,0.000000
k09.asc,no,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,6,5200,531,4669,0,0.000000
k09.asc,no,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,6,6294,514,5780,0,0.000000
k09.asc,no,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,6,9300,831,8469,0,0.000000
k09_2.asc,no,speech_planning,Speech planning,100-600 ms after display,6,3300,7,3293,0,0.000000
k09_2.asc,no,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,6,6964,177,6787,0,0.000000
k09_2.asc,no,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,6,6967,0,6967,0,0.000000
k09_2.asc,no,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,6,6294,2,6292,0,0.000000
k09_2.asc,no,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,6,9287,354,8933,0,0.000000
k10.asc,yes,speech_planning,Speech planning,100-600 ms after display,13,4950,0,4950,0,0.000000
k10.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,13,14590,894,13696,0,0.000000
k10.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,13,14596,1369,13227,0,0.000000
k10.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,13,9441,86,9355,0,0.000000
k10.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,13,13950,147,13803,0,0.000000
k10_1.asc,yes,speech_planning,Speech planning,100-600 ms after display,18,8250,0,8250,0,0.000000
k10_1.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,18,24955,1360,23595,0,0.000000
k10_1.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,18,24963,1411,23552,0,0.000000
k10_1.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,18,15735,0,15735,0,0.000000
k10_1.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,18,23250,0,23250,0,0.000000
k11.asc,no,speech_planning,Speech planning,100-600 ms after display,2,1100,0,1100,0,0.000000
k11.asc,no,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,2,5163,731,4432,0,0.000000
k11.asc,no,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,2,5163,362,4801,0,0.000000
k11.asc,no,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,2,2098,362,1736,0,0.000000
k11.asc,no,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,2,3100,293,2807,0,0.000000
k11_2.asc,no,speech_planning,Speech planning,100-600 ms after display,4,2200,0,2200,0,0.000000
k11_2.asc,no,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,4,6872,189,6683,0,0.000000
k11_2.asc,no,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,4,6874,460,6414,0,0.000000
k11_2.asc,no,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,4,4196,629,3567,0,0.000000
k11_2.asc,no,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,4,6200,539,5661,0,0.000000
k13.asc,yes,speech_planning,Speech planning,100-600 ms after display,18,9900,219,9681,0,0.000000
k13.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,18,33978,1347,32631,9,0.027581
k13.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,18,33987,1558,32429,0,0.000000
k13.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,18,18882,478,18404,0,0.000000
k13.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,18,27900,911,26989,2,0.007410
k13_2.asc,yes,speech_planning,Speech planning,100-600 ms after display,39,19800,246,19554,0,0.000000
k13_2.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,39,54049,1687,52362,0,0.000000
k13_2.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,39,54069,2336,51733,0,0.000000
k13_2.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,39,37764,1240,36524,0,0.000000
k13_2.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,39,55800,3436,52364,0,0.000000
k14.asc,yes,speech_planning,Speech planning,100-600 ms after display,7,2750,24,2726,0,0.000000
k14.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,7,7601,572,7029,0,0.000000
k14.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,7,7604,1008,6596,0,0.000000
k14.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,7,5245,659,4586,0,0.000000
k14.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,7,7750,227,7523,0,0.000000
k14_1.asc,yes,speech_planning,Speech planning,100-600 ms after display,20,10450,113,10337,0,0.000000
k14_1.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,20,23589,3681,19908,0,0.000000
k14_1.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,20,23595,3146,20449,0,0.000000
k14_1.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,20,19931,1990,17941,0,0.000000
k14_1.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,20,29450,1886,27564,0,0.000000
k15.asc,yes,speech_planning,Speech planning,100-600 ms after display,38,10450,369,10081,0,0.000000
k15.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,38,30600,4711,25889,0,0.000000
k15.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,38,30606,11207,19399,0,0.000000
k15.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,38,18882,5516,13366,0,0.000000
k15.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,38,23977,6651,17326,0,0.000000
k15_1.asc,yes,speech_planning,Speech planning,100-600 ms after display,26,13750,120,13630,0,0.000000
k15_1.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,26,26990,3270,23720,0,0.000000
k15_1.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,26,27002,4928,22074,0,0.000000
k15_1.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,26,26225,5476,20749,0,0.000000
k15_1.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,26,38750,6961,31789,0,0.000000
k15_2.asc,yes,speech_planning,Speech planning,100-600 ms after display,21,10450,213,10237,0,0.000000
k15_2.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,21,30600,3091,27509,0,0.000000
k15_2.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,21,30610,3494,27116,0,0.000000
k15_2.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,21,19931,3735,16196,0,0.000000
k15_2.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,21,29450,5283,24167,0,0.000000
k16.asc,yes,speech_planning,Speech planning,100-600 ms after display,16,8800,108,8692,0,0.000000
k16.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,16,18118,238,17880,0,0.000000
k16.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,16,18129,956,17173,0,0.000000
k16.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,16,16784,150,16634,0,0.000000
k16.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,16,24800,2713,22087,0,0.000000
k16_2.asc,yes,speech_planning,Speech planning,100-600 ms after display,14,7700,90,7610,0,0.000000
k16_2.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,14,14582,517,14065,0,0.000000
k16_2.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,14,14588,433,14155,0,0.000000
k16_2.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,14,14686,242,14444,0,0.000000
k16_2.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,14,21700,1371,20329,0,0.000000
k17.asc,yes,speech_planning,Speech planning,100-600 ms after display,22,12100,654,11446,0,0.000000
k17.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,22,21265,2169,19096,0,0.000000
k17.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,22,21277,2763,18514,0,0.000000
k17.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,22,23078,2636,20442,0,0.000000
k17.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,22,34100,4325,29775,0,0.000000
k17_1.asc,yes,speech_planning,Speech planning,100-600 ms after display,32,17600,940,16660,0,0.000000
k17_1.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,32,31014,3334,27680,0,0.000000
k17_1.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,32,31028,3658,27370,0,0.000000
k17_1.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,32,33568,4690,28878,0,0.000000
k17_1.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,32,49600,6175,43425,0,0.000000
k18.asc,no,speech_planning,Speech planning,100-600 ms after display,3,1650,0,1650,0,0.000000
k18.asc,no,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,3,4395,0,4395,0,0.000000
k18.asc,no,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,3,4397,372,4025,0,0.000000
k18.asc,no,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,3,3147,280,2867,0,0.000000
k18.asc,no,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,3,4650,756,3894,0,0.000000
k18_2.asc,no,speech_planning,Speech planning,100-600 ms after display,3,1650,0,1650,0,0.000000
k18_2.asc,no,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,3,5181,117,5064,0,0.000000
k18_2.asc,no,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,3,5183,414,4769,0,0.000000
k18_2.asc,no,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,3,3147,489,2658,0,0.000000
k18_2.asc,no,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,3,4650,711,3939,0,0.000000
k19.asc,no,speech_planning,Speech planning,100-600 ms after display,0,0,0,0,0,
k19.asc,no,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,0,0,0,0,0,
k19.asc,no,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,0,0,0,0,0,
k19.asc,no,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,0,0,0,0,0,
k19.asc,no,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,0,0,0,0,0,
k19_1.asc,no,speech_planning,Speech planning,100-600 ms after display,0,0,0,0,0,
k19_1.asc,no,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,0,0,0,0,0,
k19_1.asc,no,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,0,0,0,0,0,
k19_1.asc,no,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,0,0,0,0,0,
k19_1.asc,no,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,0,0,0,0,0,
k20.asc,yes,speech_planning,Speech planning,100-600 ms after display,20,6600,319,6281,0,0.000000
k20.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,20,13133,458,12675,0,0.000000
k20.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,20,13140,630,12510,0,0.000000
k20.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,20,12588,840,11748,0,0.000000
k20.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,20,18600,1924,16676,0,0.000000
k20_2.asc,yes,speech_planning,Speech planning,100-600 ms after display,21,8800,130,8670,0,0.000000
k20_2.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,21,16160,1058,15102,0,0.000000
k20_2.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,21,16168,1450,14718,0,0.000000
k20_2.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,21,16784,888,15896,0,0.000000
k20_2.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,21,24800,3002,21798,0,0.000000
k22.asc,yes,speech_planning,Speech planning,100-600 ms after display,16,7700,637,7063,0,0.000000
k22.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,16,15736,959,14777,0,0.000000
k22.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,16,15743,2689,13054,0,0.000000
k22.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,16,14686,2280,12406,0,0.000000
k22.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,16,21700,6583,15117,0,0.000000
k22_1.asc,yes,speech_planning,Speech planning,100-600 ms after display,22,11550,653,10897,0,0.000000
k22_1.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,22,21887,3012,18875,0,0.000000
k22_1.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,22,21893,5895,15998,0,0.000000
k22_1.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,22,22029,3270,18759,0,0.000000
k22_1.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,22,32550,6188,26362,0,0.000000
k24.asc,yes,speech_planning,Speech planning,100-600 ms after display,10,4950,481,4469,0,0.000000
k24.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,10,15214,995,14219,3,0.021099
k24.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,10,15218,2694,12524,0,0.000000
k24.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,10,9441,872,8569,0,0.000000
k24.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,10,13920,1248,12672,0,0.000000
k24_1.asc,yes,speech_planning,Speech planning,100-600 ms after display,19,9350,985,8365,0,0.000000
k24_1.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,19,31583,4174,27409,0,0.000000
k24_1.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,19,31592,7363,24229,0,0.000000
k24_1.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,19,17833,2632,15201,0,0.000000
k24_1.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,19,26350,3490,22860,0,0.000000
k25.asc,yes,speech_planning,Speech planning,100-600 ms after display,32,17600,0,17600,0,0.000000
k25.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,32,20496,1477,19019,0,0.000000
k25.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,32,20509,3744,16765,0,0.000000
k25.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,32,33568,7396,26172,0,0.000000
k25.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,32,49600,13525,36075,0,0.000000
k25_2.asc,yes,speech_planning,Speech planning,100-600 ms after display,46,22550,0,22550,0,0.000000
k25_2.asc,yes,linguistic_encoding_1,Linguistic encoding I,1st half of 600 ms to speech onset,46,18143,472,17671,0,0.000000
k25_2.asc,yes,linguistic_encoding_2,Linguistic encoding II,2nd half of 600 ms to speech onset,46,18165,3768,14397,0,0.000000
k25_2.asc,yes,linguistic_encoding_3,Linguistic encoding III,0-1000 ms after speech onset,46,43009,7954,35055,0,0.000000
k25_2.asc,yes,post_onset_1000_2500,Post-onset 1000-2500,1000-2500 ms after speech onset,46,63550,19216,44334,0,0.000000
