asc_file,included_participant,window_key,window,time_rel,raw_samples,blink_samples_excluded,nonblink_samples,track_loss_samples,track_loss_percent_excluding_blinks
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.000000,2891,1047,1844,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.050000,650,281,369,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.100000,2300,975,1325,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.150000,2450,734,1716,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.200000,2100,347,1753,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.250000,2250,431,1819,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.300000,2250,240,2010,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.350000,2150,408,1742,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.400000,2050,559,1491,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.450000,2600,479,2121,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.500000,2200,524,1676,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.550000,2100,383,1717,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.600000,2250,478,1772,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.650000,2150,444,1706,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.700000,2250,433,1817,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.750000,2300,435,1865,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.800000,2250,535,1715,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.850000,2050,574,1476,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.900000,2405,378,2027,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,0.950000,1871,310,1561,0,0.000000
k01.asc,yes,linguistic_encoding_1,Linguistic encoding I,1.000000,1085,65,1020,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.000000,2950,162,2788,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.050000,650,175,475,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.100000,2300,243,2057,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.150000,2450,520,1930,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.200000,2100,478,1622,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.250000,2250,314,1936,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.300000,2250,300,1950,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.350000,2150,66,2084,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.400000,2050,50,2000,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.450000,2600,88,2512,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.500000,2200,50,2150,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.550000,2100,100,2000,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.600000,2250,200,2050,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.650000,2150,169,1981,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.700000,2250,183,2067,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.750000,2300,200,2100,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.800000,2250,218,2032,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.850000,2050,87,1963,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.900000,2403,83,2320,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,0.950000,1866,222,1644,0,0.000000
k01.asc,yes,linguistic_encoding_2,Linguistic encoding II,1.000000,1067,106,961,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.000000,2891,196,2695,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.050000,2950,306,2644,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.100000,2950,291,2659,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.150000,2950,203,2747,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.200000,2950,99,2851,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.250000,2950,6,2944,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.300000,2950,44,2906,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.350000,2950,187,2763,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.400000,2950,107,2843,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.450000,2950,165,2785,0,0.000000
k01.asc,yes,linguistic_encoding_3,Linguistic encoding III,0.500000,2950,333,2617,0,0.000000
